keyword	E195R	F227W	F65L_W68A_R209Y	F65L_W68A_other	G46N_helix	H230Y_5pos
(glutamine-hydrolyzing)	0	0	0	0	6	0
(tyr-3)	0	0	0	0	11	0
2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate	0	0	0	0	11	0
3-amino-4-hydroxybenzoic	0	0	0	0	7	0
3-dehydroquinate	0	0	0	0	11	0
6-phosphogluconate	0	0	7	0	0	0
a-like	0	0	12	1	0	0
acetyl-coa	0	0	0	0	5	0
acid	0	6	9	0	20	3
adaptor	1	6	0	0	0	0
adhesion	6	0	0	0	0	0
aerolysin	8	0	0	0	0	0
afsr/sarp	0	0	0	0	7	0
aldehyde	0	0	2	0	10	1
aldolase	0	0	1	0	5	0
alpha/beta	0	0	10	1	0	5
amidase	0	0	3	0	2	5
amino	0	0	3	0	8	2
ammonia-lyase	1	0	0	0	7	2
ankyrin	6	1	16	0	2	5
antigen	0	0	0	0	6	0
ap-1	0	7	0	0	0	0
apm1	0	6	0	0	0	0
asnc	0	0	0	0	0	9
asparagine	0	0	0	0	8	0
aspartate	0	0	0	0	12	0
atp-binding	2	1	0	0	9	8
atpase	0	0	5	0	4	8
bagremycin/ferroverdin	0	0	0	0	10	0
beta-lactamase-like	14	0	0	0	0	0
bifunctional	0	1	5	0	2	2
binding	0	0	6	0	1	2
biological	6	0	0	0	0	0
biopolymer	0	0	0	0	0	6
biosynthesis	1	0	1	0	16	1
brain	0	0	0	0	6	0
centrosomal	0	0	0	0	5	0
cep89	0	0	0	0	5	0
chromatin	5	0	0	0	0	0
class	1	1	2	0	3	10
cofactor	0	0	0	0	6	0
complex	4	16	6	0	3	0
concanavalin	0	0	12	1	0	0
copper	0	0	0	0	11	0
cysteinyl	0	0	0	0	6	0
cytochrome	0	7	17	1	4	6
decarboxylase	0	0	6	0	12	0
dehydratase	0	4	12	2	2	2
dehydrogenase	0	14	7	0	28	11
deleted	0	0	0	0	6	0
dihydroxy-acid	0	3	9	0	0	0
dna-binding	0	0	0	0	6	1
domain	5	1	26	0	1	6
enzyme	1	5	2	0	2	3
esterase	0	1	5	0	1	5
exbd	0	0	0	0	0	6
facilitator	1	0	17	1	1	2
