product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
2-amino-4, 5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
26s proteasome regulatory subunit rpn6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
2og-fe(ii)oxygenase superfamily protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
3-amino-4-hydroxybenzoic acid synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
3-dehydroquinate synthase ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
3-hydroxyacyl dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
3-hydroxyacyl-coa dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
3-hydroxybutyryl dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
3-hydroxybutyryl- dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
3-hydroxybutyryl-coa dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
37s ribosomal protein rsm24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
37s ribosomal protein s24, mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
40s ribosomal protein s15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
40s ribosomal protein s20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
40s ribosomal protein s21	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40s ribosomal protein s30	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6-hydroxy-d-nicotine oxidase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
6-phosphofructo-2-kinase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
6-phosphofructokinase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6-phosphogluconate decarboxylating	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
6-phosphogluconate dehydrogenase	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
60s acidic ribosomal protein p2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
