product	n_queries	freq_all	freq_with_data	total
origin recognition complex subunit 2	2	0.333	0.667	2
egf-like domain protein	1	0.167	0.333	1
chch domain protein	1	0.167	0.333	1
common central domain of tyrosinase	1	0.167	0.333	1
cadherin domain protein	1	0.167	0.333	3
ribosomal protein l31e	1	0.167	0.333	1
large subunit ribosomal protein l31e	1	0.167	0.333	1
protocadherin fat 1	1	0.167	0.333	1
guanine nucleotide binding protein (g protein) alpha q polypeptide	1	0.167	0.333	1
tyrosinase	1	0.167	0.333	2
nadh dehydrogenase (ubiquinone) 1 alpha subcomplex 8	1	0.167	0.333	1
nuclear receptor sub 5 group a member 2	1	0.167	0.333	1
60s ribosomal protein l31	1	0.167	0.333	1
bahd acyltransferase	1	0.167	0.333	1
tigger transposable element-derived protein 6	1	0.167	0.333	1
tyrosinase precursor, monophenol monooxygenase, variant 2	1	0.167	0.333	1
tyrosinase precursor, monophenol monooxygenase, variant 3	1	0.167	0.333	1
coatomer subunit beta	1	0.167	0.333	1
tyrosinase precursor, monophenol monooxygenase	1	0.167	0.333	1
glucosaminyl phosphatidylinositol (glcn-pi) nositol acylation protein	1	0.167	0.333	1
