keyword	n_queries	freq_all	total
domain	16	0.118	21
tyrosinase	13	0.096	19
repeat	10	0.074	18
synthase	9	0.066	10
alpha	7	0.051	9
tetratricopeptide	7	0.051	11
receptor	7	0.051	9
beta	7	0.051	16
proteasome	6	0.044	6
ankyrin	6	0.044	6
lactamase	6	0.044	14
kinase	5	0.037	8
hydrolase	5	0.037	6
transporter	5	0.037	9
member	5	0.037	8
mitochondrial	5	0.037	10
chromatin	5	0.037	5
acyl	4	0.029	5
aatf	4	0.029	4
only	4	0.029	4
aerolysin	4	0.029	12
fatty	4	0.029	5
factor	4	0.029	8
oxidase	3	0.022	3
ribosomal	3	0.022	4
dependent	3	0.022	5
hemicentin	3	0.022	3
loop	3	0.022	3
kinesin	3	0.022	3
galanin	3	0.022	3
yng2	3	0.022	3
light	3	0.022	3
sulfotransferase	3	0.022	3
c17orf59	3	0.022	3
modification	3	0.022	3
chain	3	0.022	3
carbohydrate	3	0.022	3
nucleoside	3	0.022	3
serine	3	0.022	3
complex	3	0.022	4
isoform	3	0.022	5
nuclear	3	0.022	4
willebrand	3	0.022	5
regulator	2	0.015	3
lyase	2	0.015	3
transcriptional	2	0.015	3
laccase	2	0.015	2
teneurin	2	0.015	2
cassette	2	0.015	2
interacting	2	0.015	2
binding	2	0.015	3
k02a2	2	0.015	2
aminophenol	2	0.015	2
terpenoid	2	0.015	2
triphosphate	2	0.015	2
general	2	0.015	5
forkhead	2	0.015	2
olfactomedin	2	0.015	2
sestrin	2	0.015	2
unconventional	2	0.015	2
tetraspanin	2	0.015	2
acid	2	0.015	3
myosin	2	0.015	2
polymerase	2	0.015	4
amide	2	0.015	3
methyltransferase	2	0.015	3
reductase	2	0.015	3
rich	2	0.015	2
leucine	2	0.015	2
threonine	2	0.015	2
zdhhc21	2	0.015	2
component	2	0.015	2
structure	2	0.015	2
sfh1	2	0.015	2
pup2	2	0.015	2
remodeling	2	0.015	2
protease	2	0.015	2
phosphate	2	0.015	2
matrix	2	0.015	2
ubiquinone	2	0.015	2
superfamily	2	0.015	4
adhesion	2	0.015	6
biological	2	0.015	6
phospholipid	2	0.015	2
small	2	0.015	2
cyclopropane	2	0.015	2
