pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF00264	Common central domain of tyrosinase	46	0.338	0.561	85
PF00001	7 transmembrane receptor (rhodopsin family)	24	0.176	0.293	58
PF00092	von Willebrand factor type A domain	19	0.140	0.232	56
PF00144	Beta-lactamase	18	0.132	0.220	24
PF00227	Proteasome subunit	13	0.096	0.159	13
PF10584	Proteasome subunit A N-terminal signature	13	0.096	0.159	13
PF00059	Lectin C-type domain	13	0.096	0.159	14
PF12796	Ankyrin repeats (3 copies)	13	0.096	0.159	14
PF00090	Thrombospondin type 1 domain	13	0.096	0.159	15
PF00069	Protein kinase domain	13	0.096	0.159	16
PF07019	EMC6	12	0.088	0.146	14
PF07645	Calcium-binding EGF domain	12	0.088	0.146	14
PF04855	SNF5 / SMARCB1 / INI1	11	0.081	0.134	11
PF08164	Apoptosis-antagonizing transcription factor, C-terminal	10	0.074	0.122	10
PF23344	ZP-N domain	10	0.074	0.122	17
PF12770	CHAT domain	10	0.074	0.122	15
PF12937	F-box-like	10	0.074	0.122	10
PF13424	Tetratricopeptide repeat	10	0.074	0.122	17
PF13359	DDE superfamily endonuclease	10	0.074	0.122	15
PF00008	EGF-like domain	10	0.074	0.122	26
PF02353	Mycolic acid cyclopropane synthetase	10	0.074	0.122	10
PF01423	LSM domain	10	0.074	0.122	12
PF13361	UvrD-like helicase C-terminal domain	9	0.066	0.110	12
PF00580	UvrD/REP helicase N-terminal domain	9	0.066	0.110	12
PF13339	Apoptosis antagonizing transcription factor	9	0.066	0.110	9
PF01117	Aerolysin toxin	8	0.059	0.098	24
PF00023	Ankyrin repeat	8	0.059	0.098	9
PF13469	Sulfotransferase family	8	0.059	0.098	8
PF13613	Helix-turn-helix of DDE superfamily endonuclease	7	0.051	0.085	7
PF00754	F5/8 type C domain	7	0.051	0.085	17
PF00685	Sulfotransferase domain	7	0.051	0.085	7
PF00076	RNA recognition motif	6	0.044	0.073	6
PF00005	ABC transporter	6	0.044	0.073	6
PF05485	THAP domain	6	0.044	0.073	6
PF00664	ABC transporter transmembrane region	6	0.044	0.073	6
PF01652	Eukaryotic initiation factor 4E	6	0.044	0.073	6
PF00595	PDZ domain	6	0.044	0.073	7
PF00400	WD domain, G-beta repeat	6	0.044	0.073	7
PF10157	BLOC-1-related complex sub-unit 6 C-terminal helix	5	0.037	0.061	5
PF02191	Olfactomedin-like domain	5	0.037	0.061	7
PF13927	Immunoglobulin domain	5	0.037	0.061	5
PF08547	Complex I intermediate-associated protein 30 (CIA30)	5	0.037	0.061	5
PF24681	KLHDC2/KLHL20/DRC7 Kelch-repeats domain	5	0.037	0.061	5
PF05183	RNA dependent RNA polymerase	5	0.037	0.061	17
PF01344	Kelch motif	5	0.037	0.061	5
PF00179	Ubiquitin-conjugating enzyme	5	0.037	0.061	5
PF00089	Trypsin	5	0.037	0.061	5
PF13378	Enolase C-terminal domain-like	5	0.037	0.061	6
PF02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	5	0.037	0.061	5
PF28331	PCNA-interacting partner N-terminal domain	5	0.037	0.061	5
PF00057	Low-density lipoprotein receptor domain class A	5	0.037	0.061	6
PF03266	NTPase	5	0.037	0.061	5
PF13855	Leucine rich repeat	5	0.037	0.061	5
PF00058	Low-density lipoprotein receptor repeat class B	5	0.037	0.061	6
PF12661	Human growth factor-like EGF	5	0.037	0.061	7
PF13176	Tetratricopeptide repeat	4	0.029	0.049	4
PF00028	Cadherin domain	4	0.029	0.049	6
