keyword	n_queries	freq_all	total
factor	16	0.190	16
ribosomal	15	0.179	17
complex	15	0.179	16
dehydrogenase	12	0.143	16
mitochondrial	11	0.131	13
mrna	10	0.119	10
synthase	9	0.107	9
flavoprotein	9	0.107	10
succinate	9	0.107	10
acid	9	0.107	10
transporter	8	0.095	10
kinase	7	0.083	7
processing	6	0.071	7
nucleoside	6	0.071	6
cytochrome	6	0.071	6
phosphoribosylformylglycinamidine	6	0.071	6
apm1	6	0.071	6
adaptor	6	0.071	6
high	5	0.060	5
repair	5	0.060	5
trna	5	0.060	7
oxidase	5	0.060	5
carrier	5	0.060	5
interacting	5	0.060	5
sad1	5	0.060	5
acyl	5	0.060	5
enzyme	5	0.060	5
concentrative	4	0.048	4
iron	4	0.048	4
large	4	0.048	4
guanine	4	0.048	4
resistance	4	0.048	4
dehydratase	4	0.048	4
reductase	4	0.048	5
glucosidase	4	0.048	4
beta	4	0.048	4
splicing	4	0.048	4
amidase	4	0.048	4
nit3	4	0.048	4
omega	4	0.048	4
fatty	4	0.048	4
l31e	4	0.048	4
deubiquitinating	4	0.048	4
nucleotide	4	0.048	4
synthetase	3	0.036	3
chain	3	0.036	3
rad50	3	0.036	3
alpha	3	0.036	3
affinity	3	0.036	3
ubiquinone	3	0.036	3
methyltransferase	3	0.036	3
serine	3	0.036	4
permease	3	0.036	3
lem3	3	0.036	3
alkylphosphocholine	3	0.036	3
l31b	3	0.036	3
elongase	3	0.036	3
ilv3	3	0.036	3
dihydroxy	3	0.036	3
tryptophan	3	0.036	3
gtpase	3	0.036	3
ligase	3	0.036	3
activating	3	0.036	3
exchange	3	0.036	3
phosphatase	3	0.036	3
oxoacyl	3	0.036	3
nitrilase	3	0.036	3
demethylase	2	0.024	2
p450	2	0.024	2
alcohol	2	0.024	2
monooxygenase	2	0.024	2
member	2	0.024	2
specific	2	0.024	2
membrane	2	0.024	2
phosphate	2	0.024	2
repeat	2	0.024	2
efflux	2	0.024	2
carboxylase	2	0.024	2
proton	2	0.024	2
bisphosphate	2	0.024	2
transcription	2	0.024	2
phosphatidylinositol	2	0.024	2
fact	2	0.024	2
elongation	2	0.024	2
spt16	2	0.024	2
translation	2	0.024	2
initiation	2	0.024	2
homocysteine	2	0.024	2
methyltetrahydropteroyltriglutamate	2	0.024	2
suppressor	2	0.024	2
abf2	2	0.024	2
copy	2	0.024	2
seryl	2	0.024	2
cytosolic	2	0.024	2
aminopeptidase	2	0.024	2
inorganic	2	0.024	2
threonine	2	0.024	2
