pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF00083	Sugar (and other) transporter	16	0.190	0.356	18
PF15508	beta subunit of N-acylethanolamine-hydrolyzing acid amidase	15	0.179	0.333	15
PF12937	F-box-like	13	0.155	0.289	13
PF01773	Na+ dependent nucleoside transporter N-terminus	12	0.143	0.267	12
PF00928	Adaptor complexes medium subunit family	12	0.143	0.267	12
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	12	0.143	0.267	14
PF07670	Nucleoside recognition	12	0.143	0.267	12
PF01217	Clathrin adaptor complex small chain	12	0.143	0.267	12
PF07662	Na+ dependent nucleoside transporter C-terminus	12	0.143	0.267	12
PF02582	RMND1/Sif2-Sif3/Mrx10, DUF155	12	0.143	0.267	12
PF00638	RanBP1 domain	12	0.143	0.267	12
PF13561	Enoyl-(Acyl carrier protein) reductase	12	0.143	0.267	12
PF01198	Ribosomal protein L31e	11	0.131	0.244	11
PF00795	Carbon-nitrogen hydrolase	11	0.131	0.244	11
PF06884	Protein of unknown function (DUF1264)	11	0.131	0.244	12
PF26292	elF2D, PUA domain	11	0.131	0.244	11
PF25304	eIF2D winged helix domain	11	0.131	0.244	11
PF01253	Translation initiation factor SUI1	11	0.131	0.244	11
PF02910	Fumarate reductase flavoprotein C-term	10	0.119	0.222	10
PF14622	Ribonuclease-III-like	10	0.119	0.222	10
PF00890	FAD binding domain	10	0.119	0.222	11
PF10336	Protein of unknown function (DUF2420)	9	0.107	0.200	9
PF11754	Velvet factor	9	0.107	0.200	9
PF00153	Mitochondrial carrier protein	9	0.107	0.200	9
PF00067	Cytochrome P450	8	0.095	0.178	8
PF02769	AIR synthase related protein, C-terminal domain	8	0.095	0.178	8
PF00328	Histidine phosphatase superfamily (branch 2)	8	0.095	0.178	8
PF03151	Triose-phosphate Transporter family	7	0.083	0.156	7
PF03381	LEM3 (ligand-effect modulator 3) family / CDC50 family	7	0.083	0.156	7
PF00806	Pumilio-family RNA binding repeat	7	0.083	0.156	7
PF02731	SKIP/SNW domain	7	0.083	0.156	7
PF00326	Prolyl oligopeptidase family	7	0.083	0.156	7
PF07732	Multicopper oxidase	7	0.083	0.156	7
PF07731	Multicopper oxidase	7	0.083	0.156	7
PF00394	Multicopper oxidase	7	0.083	0.156	7
PF13489	Methyltransferase domain	7	0.083	0.156	7
PF04117	Mpv17 / PMP22 family	7	0.083	0.156	7
PF18076	Formylglycinamide ribonucleotide amidotransferase N-terminal	7	0.083	0.156	7
PF22689	FGAR-AT PurM_N-like domain	7	0.083	0.156	7
PF13507	CobB/CobQ-like glutamine amidotransferase domain	7	0.083	0.156	7
PF01151	GNS1/SUR4 family	7	0.083	0.156	7
PF14826	FACT complex subunit SPT16 N-terminal lobe domain	7	0.083	0.156	7
PF08512	Histone chaperone Rttp106-like, middle domain	7	0.083	0.156	7
PF08644	FACT complex subunit (SPT16/CDC68)	7	0.083	0.156	7
PF21091	FACT complex subunit SPT16, C-terminal domain	7	0.083	0.156	7
PF00557	Metallopeptidase family M24	7	0.083	0.156	7
PF24824	FACT complex subunit SPT16 PH-like domain	7	0.083	0.156	7
PF18072	Formylglycinamide ribonucleotide amidotransferase linker domain	7	0.083	0.156	7
PF04082	Fungal specific transcription factor domain	7	0.083	0.156	9
PF03239	Iron permease FTR1 family	6	0.071	0.133	6
PF00743	Flavin-binding monooxygenase-like	6	0.071	0.133	6
PF00561	alpha/beta hydrolase fold	6	0.071	0.133	6
PF05572	Pregnancy-associated plasma protein-A	5	0.060	0.111	5
PF13649	Methyltransferase domain	5	0.060	0.111	5
PF12796	Ankyrin repeats (3 copies)	5	0.060	0.111	5
PF02668	Taurine catabolism dioxygenase TauD, TfdA family	5	0.060	0.111	5
PF08911	NUP50 (Nucleoporin 50 kDa)	5	0.060	0.111	5
PF07690	Major Facilitator Superfamily	5	0.060	0.111	6
PF00443	Ubiquitin carboxyl-terminal hydrolase	5	0.060	0.111	5
PF13193	AMP-binding enzyme C-terminal domain	5	0.060	0.111	6
PF28440	Domain of unknown function (DUF8399)	5	0.060	0.111	5
PF28442	Domain of unknown function (DUF8400)	5	0.060	0.111	5
PF00501	AMP-binding enzyme	5	0.060	0.111	6
PF12710	haloacid dehalogenase-like hydrolase	5	0.060	0.111	5
PF13476	AAA domain	4	0.048	0.089	4
PF00150	Cellulase (glycosyl hydrolase family 5)	4	0.048	0.089	4
PF00106	short chain dehydrogenase	4	0.048	0.089	4
PF02284	Cytochrome c oxidase subunit Va	4	0.048	0.089	4
PF07859	alpha/beta hydrolase fold	4	0.048	0.089	6
PF00956	Nucleosome assembly protein (NAP)	4	0.048	0.089	4
PF09177	Syntaxin 6/10/61, N-terminal	4	0.048	0.089	4
PF04758	Ribosomal protein S30	4	0.048	0.089	4
PF00240	Ubiquitin family	4	0.048	0.089	4
PF05856	ARP2/3 complex 20 kDa subunit (ARPC4)	4	0.048	0.089	4
PF04479	RTA1 like protein	3	0.036	0.067	3
PF11951	Fungal specific transcription factor domain	3	0.036	0.067	3
PF00023	Ankyrin repeat	3	0.036	0.067	3
PF00176	SNF2-related domain	3	0.036	0.067	3
PF14773	Helicase-associated putative binding domain, C-terminal	3	0.036	0.067	3
PF25806	ERCC6L2-like, ribbon-helix-helix domain	3	0.036	0.067	3
PF00271	Helicase conserved C-terminal domain	3	0.036	0.067	3
PF07714	Protein tyrosine and serine/threonine kinase	3	0.036	0.067	3
PF00069	Protein kinase domain	3	0.036	0.067	3
PF14310	Fibronectin type III-like domain	3	0.036	0.067	3
PF00933	Glycosyl hydrolase family 3 N terminal domain	3	0.036	0.067	3
PF01915	Glycosyl hydrolase family 3 C-terminal domain	3	0.036	0.067	3
PF25871	Helix-turn-helix domain	3	0.036	0.067	3
PF17733	PEX14-like KPWE domain	3	0.036	0.067	3
PF00324	Amino acid permease	3	0.036	0.067	3
PF13520	Amino acid permease	3	0.036	0.067	3
PF00920	Dihydroxy-acid/6-phosphogluconate dehydratase N-terminal	3	0.036	0.067	3
PF24877	Dihydroxy-acid/6-phosphogluconate dehydratase C-terminal	3	0.036	0.067	3
PF23582	RGF3 winged helix domain	3	0.036	0.067	3
PF00566	Rab-GTPase-TBC domain	3	0.036	0.067	3
PF00780	CNH domain	3	0.036	0.067	3
PF00579	tRNA synthetases class I (W and Y)	3	0.036	0.067	3
PF00621	RhoGEF domain	3	0.036	0.067	3
PF04818	CID domain	3	0.036	0.067	3
PF01042	Endoribonuclease L-PSP	2	0.024	0.044	2
PF04055	Radical SAM superfamily	2	0.024	0.044	2
PF00975	Thioesterase domain	2	0.024	0.044	2
PF00698	Acyl transferase domain	2	0.024	0.044	2
PF00406	Adenylate kinase	2	0.024	0.044	2
PF02801	Beta-ketoacyl synthase, C-terminal domain	2	0.024	0.044	2
PF02466	Tim17/Tim22/Tim23/Pmp24 family	2	0.024	0.044	2
PF00550	Phosphopantetheine attachment site	2	0.024	0.044	2
PF00109	Beta-ketoacyl synthase, N-terminal domain	2	0.024	0.044	2
PF22621	CurL-like, PKS C-terminal	2	0.024	0.044	2
PF16073	Starter unit:ACP transacylase in aflatoxin biosynthesis	2	0.024	0.044	2
PF20408	Alpha/beta hydrolase domain	2	0.024	0.044	2
PF14765	Polyketide synthase dehydratase N-terminal domain	2	0.024	0.044	2
PF01284	Membrane-associating domain	2	0.024	0.044	2
PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2	0.024	0.044	2
PF13558	SbcC/RAD50-like, Walker B motif	2	0.024	0.044	2
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	2	0.024	0.044	2
PF05368	NmrA-like family	2	0.024	0.044	2
PF00107	Zinc-binding dehydrogenase	2	0.024	0.044	2
PF08240	Alcohol dehydrogenase GroES-like domain	2	0.024	0.044	3
PF00076	RNA recognition motif	2	0.024	0.044	2
PF06985	Heterokaryon incompatibility protein (HET)	2	0.024	0.044	2
PF20684	Fungal rhodopsin domain	2	0.024	0.044	2
PF02463	RecF/RecN/SMC N terminal domain	2	0.024	0.044	2
PF24883	Nephrocystin 3, N-terminal	2	0.024	0.044	2
PF02785	Biotin carboxylase C-terminal domain	2	0.024	0.044	2
PF00289	Biotin carboxylase, N-terminal domain	2	0.024	0.044	2
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain	2	0.024	0.044	2
PF00364	Biotin-requiring enzyme	2	0.024	0.044	2
PF08510	PIG-P	2	0.024	0.044	2
PF01988	VIT family	2	0.024	0.044	2
PF11807	Mycotoxin biosynthesis protein UstYa	2	0.024	0.044	2
PF00188	Cysteine-rich secretory protein family	2	0.024	0.044	2
PF01753	MYND finger	2	0.024	0.044	2
PF01717	Cobalamin-independent synthase, Catalytic domain	2	0.024	0.044	2
PF00300	Histidine phosphatase superfamily (branch 1)	2	0.024	0.044	2
PF02627	Carboxymuconolactone decarboxylase family	2	0.024	0.044	2
PF21936	Pcf11, C-terminal domain	2	0.024	0.044	2
PF11526	Pcf11, Clp1-interaction domain	2	0.024	0.044	2
PF01494	FAD binding domain	2	0.024	0.044	2
PF00753	Metallo-beta-lactamase superfamily	2	0.024	0.044	2
