keyword	n_queries	freq_all	total
domain	34	0.207	77
binding	31	0.189	53
transporter	27	0.165	52
regulator	26	0.159	45
transcriptional	25	0.152	38
tyrosinase	22	0.134	36
kinase	21	0.128	23
dependent	20	0.122	32
hydrolase	17	0.104	21
dehydrogenase	15	0.091	24
factor	15	0.091	17
beta	14	0.085	18
methyltransferase	13	0.079	17
polymerase	12	0.073	13
oxidoreductase	12	0.073	15
phosphate	11	0.067	12
reductase	11	0.067	14
substrate	11	0.067	16
monooxygenase	10	0.061	10
turn	10	0.061	11
helix	10	0.061	11
ribonuclease	10	0.061	10
cofactor	10	0.061	10
synthase	9	0.055	15
serine	9	0.055	10
permease	9	0.055	15
glutamate	9	0.055	10
cytochrome	8	0.049	10
phosphatase	8	0.049	8
sigma	8	0.049	8
class	8	0.049	8
tyr3	8	0.049	10
lyase	7	0.043	7
histidine	7	0.043	7
acid	7	0.043	10
phosphotransferase	7	0.043	7
repeat	7	0.043	8
sugar	7	0.043	11
globin	7	0.043	7
alcohol	6	0.037	7
tetr	6	0.037	6
aldo	6	0.037	6
keto	6	0.037	6
threonine	6	0.037	7
p450	6	0.037	7
ligase	6	0.037	7
mechanosensitive	6	0.037	6
channel	6	0.037	6
endonuclease	6	0.037	6
phospho	6	0.037	6
alpha	6	0.037	7
membrane	6	0.037	7
acm4	6	0.037	6
cc113	6	0.037	6
st1a1	6	0.037	6
slip	6	0.037	17
sept7	6	0.037	6
superfamily	5	0.030	5
oxidase	5	0.030	6
carbohydrate	5	0.030	6
lysr	5	0.030	5
transferase	5	0.030	7
glucosidase	5	0.030	5
aminoglycoside	5	0.030	5
cell	5	0.030	5
transport	5	0.030	6
tyro	5	0.030	5
esterase	4	0.024	4
biosynthesis	4	0.024	5
amino	4	0.024	7
ubid	4	0.024	4
synthetase	4	0.024	4
dihydroxy	4	0.024	4
lipase	4	0.024	4
glycoside	4	0.024	4
glycine	4	0.024	4
polyprenyl	4	0.024	4
efflux	4	0.024	4
trna	4	0.024	5
acetyltransferase	4	0.024	5
thioesterase	4	0.024	4
acyl	4	0.024	4
helicase	4	0.024	6
decarboxylase	4	0.024	4
peptidase	4	0.024	4
flavin	4	0.024	4
enzyme	4	0.024	4
tetratricopeptide	4	0.024	4
iron	3	0.018	5
dehydroquinate	3	0.018	3
heptanoic	3	0.018	3
glucose	3	0.018	3
epoxide	3	0.018	3
cyclase	3	0.018	3
mitochondrial	3	0.018	3
acrr	3	0.018	3
receptor	3	0.018	4
isomerase	3	0.018	3
response	3	0.018	3
gnat	3	0.018	4
atpase	3	0.018	3
copper	3	0.018	3
prenyltransferase	3	0.018	3
ubix	3	0.018	3
hydroxylase	3	0.018	4
acyltransferase	3	0.018	4
succinate	3	0.018	9
flavoprotein	3	0.018	3
zinc	3	0.018	3
phosphatidylinositol	3	0.018	3
glycosyltransferase	3	0.018	3
f420	3	0.018	3
extracellular	3	0.018	3
sporulation	3	0.018	3
ssga	3	0.018	3
division	3	0.018	3
sigf	3	0.018	3
protease	3	0.018	5
s6a17	3	0.018	3
trpv3	3	0.018	3
oxygenase	2	0.012	2
ammonia	2	0.012	2
delta	2	0.012	2
gtpase	2	0.012	2
deacetylase	2	0.012	2
translation	2	0.012	2
initiation	2	0.012	2
glyoxysomal	2	0.012	2
sodium	2	0.012	2
oxidation	2	0.012	2
ankyrin	2	0.012	2
multifunctional	2	0.012	2
fatty	2	0.012	2
chloride	2	0.012	2
thymidine	2	0.012	2
dehydratase	2	0.012	2
antibiotic	2	0.012	2
caspase	2	0.012	4
solute	2	0.012	2
sensor	2	0.012	2
deaminase	2	0.012	3
cytidine	2	0.012	2
winged	2	0.012	2
transcription	2	0.012	2
repair	2	0.012	2
mscs	2	0.012	2
deah	2	0.012	2
dead	2	0.012	2
aldolase	2	0.012	2
glutathione	2	0.012	4
tenascin	2	0.012	4
ficolin	2	0.012	4
aromatic	2	0.012	2
phenylacetate	2	0.012	2
aminotransferase	2	0.012	2
pyridoxal	2	0.012	3
dioxygenase	2	0.012	2
methoxyphenol	2	0.012	2
arabinose	2	0.012	2
aryl	2	0.012	2
neuronal	2	0.012	2
adhesion	2	0.012	2
molecule	2	0.012	2
ddx31	2	0.012	4
dbp7	2	0.012	4
glutamyl	2	0.012	2
lipoprotein	2	0.012	3
ggdef	2	0.012	2
phosphodiesterase	2	0.012	2
incompatibility	2	0.012	2
heterokaryon	2	0.012	2
catalytic	2	0.012	2
duf6328	2	0.012	2
lactamase	2	0.012	2
adenosyl	2	0.012	3
methionine	2	0.012	3
badf	2	0.012	2
badg	2	0.012	2
bcra	2	0.012	2
bcrd	2	0.012	2
shock	2	0.012	2
cold	2	0.012	2
histone	2	0.012	2
chaperone	2	0.012	2
fumarate	2	0.012	4
sulfur	2	0.012	2
dodecin	2	0.012	2
msno8	2	0.012	2
duf2238	2	0.012	2
nucleotide	2	0.012	2
metallo	2	0.012	3
stress	2	0.012	3
proteolytic	2	0.012	4
fold	2	0.012	4
akts1	2	0.012	2
phkg2	2	0.012	4
heat6	2	0.012	2
ush1c	2	0.012	2
xrp2	2	0.012	2
es8l2	2	0.012	2
un93a	2	0.012	2
apod	2	0.012	2
ikzf5	2	0.012	2
regulatory	2	0.012	2
