pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF00264	Common central domain of tyrosinase	32	0.195	0.258	94
PF06236	Tyrosinase co-factor MelC1	29	0.177	0.234	29
PF07690	Major Facilitator Superfamily	26	0.159	0.210	30
PF00069	Protein kinase domain	23	0.140	0.185	26
PF00067	Cytochrome P450	13	0.079	0.105	18
PF00248	Aldo/keto reductase family	11	0.067	0.089	12
PF01494	FAD binding domain	11	0.067	0.089	12
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	10	0.061	0.081	12
PF08240	Alcohol dehydrogenase GroES-like domain	10	0.061	0.081	11
PF00075	RNase H	10	0.061	0.081	10
PF00498	FHA domain	10	0.061	0.081	10
PF04542	Sigma-70 region 2	10	0.061	0.081	11
PF01381	Helix-turn-helix	9	0.055	0.073	9
PF06983	3-demethylubiquinone-9 3-methyltransferase	8	0.049	0.065	8
PF00440	Bacterial regulatory proteins, tetR family	8	0.049	0.065	8
PF00209	Sodium:neurotransmitter symporter family	8	0.049	0.065	14
PF01636	Phosphotransferase enzyme family	8	0.049	0.065	8
PF00271	Helicase conserved C-terminal domain	8	0.049	0.065	10
PF00501	AMP-binding enzyme	7	0.043	0.056	8
PF00076	RNA recognition motif	7	0.043	0.056	7
PF13581	Histidine kinase-like ATPase domain	7	0.043	0.056	7
PF00024	PAN domain	7	0.043	0.056	7
PF28326	Actinobacterial sensor domain	7	0.043	0.056	7
PF01152	Bacterial-like globin	7	0.043	0.056	7
PF13672	Protein phosphatase 2C	7	0.043	0.056	7
PF13768	von Willebrand factor type A domain	7	0.043	0.056	7
PF26572	Domain of unknown function (DUF8185)	7	0.043	0.056	7
PF26035	Domain of unknown function (DUF8010)	7	0.043	0.056	7
PF18571	von Willebrand factor type A C-terminal domain	7	0.043	0.056	7
PF00497	Bacterial extracellular solute-binding proteins, family 3	7	0.043	0.056	7
PF07679	Immunoglobulin I-set domain	7	0.043	0.056	13
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	7	0.043	0.056	10
PF00001	7 transmembrane receptor (rhodopsin family)	7	0.043	0.056	8
PF00296	Luciferase-like monooxygenase	7	0.043	0.056	7
PF00685	Sulfotransferase domain	7	0.043	0.056	7
PF03125	Sre G protein-coupled chemoreceptor	7	0.043	0.056	8
PF06985	Heterokaryon incompatibility protein (HET)	6	0.037	0.048	6
PF20684	Fungal rhodopsin domain	6	0.037	0.048	7
PF01565	FAD binding domain	6	0.037	0.048	9
PF00400	WD domain, G-beta repeat	6	0.037	0.048	7
PF04686	Streptomyces sporulation and cell division protein, SsgA	6	0.037	0.048	6
PF19853	Family of unknown function (DUF6328)	6	0.037	0.048	6
PF17920	Tetracyclin repressor-like, C-terminal domain	6	0.037	0.048	6
PF12796	Ankyrin repeats (3 copies)	6	0.037	0.048	6
PF00005	ABC transporter	6	0.037	0.048	6
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	6	0.037	0.048	8
PF00528	Binding-protein-dependent transport system inner membrane component	6	0.037	0.048	11
PF21082	Mechanosensitive ion channel MscS, C-terminal	6	0.037	0.048	6
PF14279	HNH endonuclease	6	0.037	0.048	6
PF16918	Protein kinase G tetratricopeptide repeat	6	0.037	0.048	6
PF16919	Protein kinase G rubredoxin domain	6	0.037	0.048	6
PF01547	Bacterial extracellular solute-binding protein	6	0.037	0.048	6
PF21088	Mechanosensitive ion channel, transmembrane helices 2/3	6	0.037	0.048	6
PF00924	Mechanosensitive ion channel, beta-domain	6	0.037	0.048	6
PF16571	FBP C-terminal treble-clef zinc-finger	6	0.037	0.048	6
PF00188	Cysteine-rich secretory protein family	6	0.037	0.048	7
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	6	0.037	0.048	7
PF13927	Immunoglobulin domain	6	0.037	0.048	12
PF00350	Dynamin family	6	0.037	0.048	15
PF00735	Septin	6	0.037	0.048	6
PF13870	CCDC113/CCDC96, coiled-coil	6	0.037	0.048	6
PF24564	Domain of unknown function (DUF7605)	6	0.037	0.048	10
PF25987	Proline-rich transmembrane protein 3 domain	6	0.037	0.048	6
PF01791	DeoC/LacD family aldolase	5	0.030	0.040	5
PF00196	Bacterial regulatory proteins, luxR family	5	0.030	0.040	5
PF00486	Transcriptional regulatory protein, C terminal	5	0.030	0.040	5
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	5	0.030	0.040	5
PF08241	Methyltransferase domain	5	0.030	0.040	5
PF03466	LysR substrate binding domain	5	0.030	0.040	5
PF00004	ATPase family associated with various cellular activities (AAA)	5	0.030	0.040	5
PF00106	short chain dehydrogenase	5	0.030	0.040	6
PF00083	Sugar (and other) transporter	5	0.030	0.040	6
PF11975	Family 4 glycosyl hydrolase C-terminal domain	5	0.030	0.040	5
PF02056	Family 4 glycosyl hydrolase	5	0.030	0.040	5
PF00041	Fibronectin type III domain	5	0.030	0.040	11
PF04539	Sigma-70 region 3	5	0.030	0.040	5
PF04545	Sigma-70, region 4	5	0.030	0.040	5
PF00270	DEAD/DEAH box helicase	5	0.030	0.040	7
PF00990	Diguanylate cyclase, GGDEF domain	5	0.030	0.040	5
PF00104	Ligand-binding domain of nuclear hormone receptor	5	0.030	0.040	5
PF00105	Double treble clef zinc finger, C4 type	5	0.030	0.040	5
PF00107	Zinc-binding dehydrogenase	5	0.030	0.040	6
PF00225	Kinesin motor domain	5	0.030	0.040	5
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	5	0.030	0.040	12
PF00743	Flavin-binding monooxygenase-like	4	0.024	0.032	5
PF13561	Enoyl-(Acyl carrier protein) reductase	4	0.024	0.032	6
PF01959	3-dehydroquinate synthase II N-terminal domain	4	0.024	0.032	4
PF01047	MarR family	4	0.024	0.032	4
PF20696	3-octaprenyl-4-hydroxybenzoate carboxy-lyase C-terminal domain	4	0.024	0.032	4
PF03704	Bacterial transcriptional activator domain	4	0.024	0.032	4
PF08031	Berberine and berberine like	4	0.024	0.032	7
PF20695	3-octaprenyl-4-hydroxybenzoate carboxy-lyase N-terminal domain	4	0.024	0.032	4
PF26558	3-dehydroquinate synthase II C-terminal domain	4	0.024	0.032	4
PF00221	Aromatic amino acid lyase	4	0.024	0.032	4
PF01977	3-octaprenyl-4-hydroxybenzoate carboxy-lyase Rift-related domain	4	0.024	0.032	4
PF13920	Zinc finger, C3HC4 type (RING finger)	4	0.024	0.032	5
PF00027	Cyclic nucleotide-binding domain	4	0.024	0.032	4
PF19086	Terpene synthase family 2, C-terminal metal binding	4	0.024	0.032	4
PF06441	Epoxide hydrolase N terminus	4	0.024	0.032	4
PF19307	Type 2A encapsulin shell protein SrpI-like	4	0.024	0.032	4
PF17862	AAA+ lid domain	4	0.024	0.032	4
