keyword	n_queries	freq_all	total
transporter	120	0.117	179
hydrolase	105	0.103	143
kinase	95	0.093	128
dehydrogenase	88	0.086	126
subunit	88	0.086	102
factor	85	0.083	94
binding	84	0.082	129
cytochrome	79	0.077	101
p450	76	0.074	95
oxidoreductase	72	0.070	86
methyltransferase	70	0.068	77
transcription	68	0.067	74
alpha	66	0.065	77
beta	65	0.064	82
acid	62	0.061	76
synthase	59	0.058	92
reductase	58	0.057	76
chain	48	0.047	52
oxidase	48	0.047	50
alcohol	47	0.046	58
facilitator	44	0.043	60
major	44	0.043	59
serine	42	0.041	47
permease	40	0.039	48
amino	37	0.036	54
methionine	37	0.036	38
regulator	37	0.036	74
phosphatase	36	0.035	42
fungal	36	0.035	37
short	35	0.034	37
tyrosinase	34	0.033	76
membrane	34	0.033	37
ankyrin	33	0.032	39
biosynthesis	33	0.032	50
copper	33	0.032	39
transcriptional	33	0.032	70
ribosomal	32	0.031	33
atpase	32	0.031	43
substrate	32	0.031	40
monooxygenase	32	0.031	32
glycoside	30	0.029	33
complex	29	0.028	30
protease	29	0.028	33
incompatibility	29	0.028	37
glycosyl	28	0.027	34
enzyme	27	0.026	28
general	27	0.026	34
nucleoside	27	0.026	28
heterokaryon	27	0.026	35
transferase	26	0.025	31
adenosyl	26	0.025	26
threonine	25	0.024	26
synthetase	25	0.024	27
ligase	24	0.023	25
lyase	24	0.023	24
zinc	24	0.023	26
alkaline	23	0.023	24
mutase	23	0.023	23
transporting	22	0.022	22
trna	21	0.021	22
sodium	21	0.021	21
mitochondrial	21	0.021	21
precursor	21	0.021	22
acetyltransferase	20	0.020	20
bisphosphate	20	0.020	21
dioxygenase	19	0.019	19
aldehyde	19	0.019	19
cofactor	18	0.018	18
decarboxylase	18	0.018	21
gtpase	18	0.018	18
nadph	17	0.017	17
receptor	17	0.017	28
polymerase	16	0.016	16
oxygenase	16	0.016	18
phosphate	16	0.016	16
efflux	16	0.016	16
potassium	16	0.016	16
component	16	0.016	16
helix	15	0.015	22
loop	15	0.015	16
regulatory	15	0.015	15
bas1	15	0.015	15
aspartate	15	0.015	15
extended	15	0.015	15
synaptotagmin	15	0.015	15
acyl	14	0.014	16
resistance	14	0.014	15
carboxypeptidase	14	0.014	17
acyltransferase	14	0.014	16
glycosyltransferase	14	0.014	17
centre	14	0.014	18
galactopyranose	14	0.014	14
thermostable	14	0.014	14
phosphodiesterase	14	0.014	15
cupin	14	0.014	14
nadh	14	0.014	14
gamma	14	0.014	15
peptidase	13	0.013	14
transport	13	0.013	17
deacetylase	13	0.013	14
dehydratase	13	0.013	13
phospholipid	13	0.013	13
trichothecene	13	0.013	24
phosphatidylinositol	13	0.013	14
activator	13	0.013	13
triphosphate	13	0.013	14
class	12	0.012	12
actin	12	0.012	13
histone	12	0.012	12
wd40	12	0.012	12
ysc84	12	0.012	12
bifunctional	12	0.012	12
hydroxylase	12	0.012	12
tyrosine	12	0.012	14
tetracycline	12	0.012	12
antigen	12	0.012	12
turn	12	0.012	19
transmembrane	11	0.011	13
activating	11	0.011	11
ubiquitin	11	0.011	11
initiation	11	0.011	11
translation	11	0.011	11
helicase	11	0.011	13
small	11	0.011	11
polysaccharide	11	0.011	11
aldolase	11	0.011	11
racemase	11	0.011	11
carrier	11	0.011	15
translocating	11	0.011	11
dehydroquinate	11	0.011	11
glutamine	11	0.011	11
cmgc	11	0.011	14
ulosonate	11	0.011	11
threo	11	0.011	11
dideoxy	11	0.011	11
hept	11	0.011	11
fmo1	10	0.010	10
repair	10	0.010	10
endonuclease	10	0.010	12
vacuolar	10	0.010	10
isomerase	10	0.010	10
tri7	10	0.010	10
esterase	10	0.010	10
integral	10	0.010	11
golgi	10	0.010	10
glutathione	10	0.010	10
member	10	0.010	20
acetyl	10	0.010	10
srpk	10	0.010	11
ribonuclease	10	0.010	10
catalytic	9	0.009	9
endo	9	0.009	9
proteasome	9	0.009	9
nucleotide	9	0.009	9
directed	9	0.009	9
long	9	0.009	9
ncs1	9	0.009	9
nitrogen	9	0.009	12
cytb	9	0.009	9
laci	9	0.009	10
amidase	9	0.009	9
sarp	9	0.009	9
fcf1	9	0.009	9
extracellular	8	0.008	12
exonuclease	8	0.008	8
aromatic	8	0.008	8
aminopeptidase	8	0.008	9
arginine	8	0.008	8
pombe	8	0.008	10
schizosaccharomyces	8	0.008	10
cysteinyl	8	0.008	8
fatty	8	0.008	10
epimerase	8	0.008	8
hydantoin	8	0.008	8
cluster	8	0.008	8
lipase	8	0.008	8
hydroxy	8	0.008	8
otrb	8	0.008	8
dihydroxy	8	0.008	8
luxr	8	0.008	8
core	8	0.008	8
tachykinin	8	0.008	8
asparagine	8	0.008	8
aspartase	8	0.008	8
fold	8	0.008	10
chaperone	8	0.008	8
finger	7	0.007	8
alanine	7	0.007	7
eukaryotic	7	0.007	7
guanine	7	0.007	7
peptidyl	7	0.007	7
trans	7	0.007	7
