pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF07690	Major Facilitator Superfamily	165	0.161	0.288	212
PF00067	Cytochrome P450	134	0.131	0.234	178
PF00264	Common central domain of tyrosinase	96	0.094	0.168	175
PF12796	Ankyrin repeats (3 copies)	91	0.089	0.159	119
PF04082	Fungal specific transcription factor domain	87	0.085	0.152	103
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	85	0.083	0.149	100
PF00106	short chain dehydrogenase	78	0.076	0.136	93
PF06985	Heterokaryon incompatibility protein (HET)	77	0.075	0.135	95
PF00069	Protein kinase domain	77	0.075	0.135	103
PF11951	Fungal specific transcription factor domain	74	0.072	0.129	74
PF08240	Alcohol dehydrogenase GroES-like domain	57	0.056	0.100	68
PF00023	Ankyrin repeat	55	0.054	0.096	63
PF00107	Zinc-binding dehydrogenase	52	0.051	0.091	61
PF01565	FAD binding domain	51	0.050	0.089	59
PF24883	Nephrocystin 3, N-terminal	50	0.049	0.087	57
PF00082	Subtilase family	47	0.046	0.082	50
PF20684	Fungal rhodopsin domain	46	0.045	0.080	50
PF08031	Berberine and berberine like	41	0.040	0.072	49
PF01494	FAD binding domain	41	0.040	0.072	44
PF00122	P-type ATPase actuator domain	40	0.039	0.070	41
PF00501	AMP-binding enzyme	40	0.039	0.070	44
PF00083	Sugar (and other) transporter	40	0.039	0.070	47
PF13246	P-type ATPase, cytoplasmic domain N	39	0.038	0.068	39
PF06236	Tyrosinase co-factor MelC1	39	0.038	0.068	39
PF05199	GMC oxidoreductase	38	0.037	0.066	39
PF00732	GMC oxidoreductase	38	0.037	0.066	39
PF13649	Methyltransferase domain	38	0.037	0.066	42
PF00689	Cation transporting ATPase, C-terminus	37	0.036	0.065	37
PF00168	C2 domain	37	0.036	0.065	37
PF00690	Cation transporter/ATPase, N-terminus	36	0.035	0.063	37
PF00271	Helicase conserved C-terminal domain	35	0.034	0.061	39
PF13489	Methyltransferase domain	34	0.033	0.059	34
PF04479	RTA1 like protein	32	0.031	0.056	35
PF00400	WD domain, G-beta repeat	32	0.031	0.056	33
