product	n_queries	freq_all	freq_with_data	total
cytochrome p450	39	0.038	0.088	51
s-adenosyl-l-methionine-dependent methyltransferase	26	0.025	0.059	26
mfs transporter	22	0.022	0.050	28
mfs general substrate transporter	22	0.022	0.050	26
major facilitator superfamily domain-containing protein	22	0.022	0.050	32
heterokaryon incompatibility protein-domain-containing protein	18	0.018	0.041	25
di-copper centre-containing protein	14	0.014	0.032	18
extended synaptotagmin-3	14	0.014	0.032	14
alpha/beta hydrolase protein	13	0.013	0.029	16
p-loop containing nucleoside triphosphate hydrolase protein	13	0.013	0.029	14
alcohol oxidase	13	0.013	0.029	13
alpha/beta-hydrolase	12	0.012	0.027	14
aspartate kinase	12	0.012	0.027	12
nad(p)-binding protein	12	0.012	0.027	14
sodium potassium-transporting atpase subunit alpha	12	0.012	0.027	12
fad dependent oxidoreductase	12	0.012	0.027	12
fad-binding oxidoreductase	12	0.012	0.027	14
tyrosinase	11	0.011	0.025	16
major facilitator superfamily transporter	11	0.011	0.025	15
udp-galactopyranose mutase	11	0.011	0.025	11
fungal-specific transcription factor domain-containing protein	11	0.011	0.025	12
2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate synthase	11	0.011	0.025	11
ankyrin repeat-containing domain protein	11	0.011	0.025	11
cofactor fmo1 fad enzyme	10	0.010	0.023	10
wd40 repeat-like protein	10	0.010	0.023	10
helix-turn-helix transcriptional regulator	10	0.010	0.023	10
kinase-like protein	9	0.009	0.020	13
alcohol dehydrogenase	9	0.009	0.020	9
kinase-like domain-containing protein	9	0.009	0.020	11
aldehyde dehydrogenase family protein	9	0.009	0.020	9
serine threonine kinase	9	0.009	0.020	9
zinc-type alcohol dehydrogenase	9	0.009	0.020	9
nadph-dependent fmn reductase	9	0.009	0.020	9
thermostable alkaline protease precursor	9	0.009	0.020	9
ysc84-like protein	9	0.009	0.020	9
cmgc srpk kinase	9	0.009	0.020	9
fungal specific transcription factor domain-containing protein	9	0.009	0.020	9
ncs1 nucleoside transporter	8	0.008	0.018	8
tachykinin family	8	0.008	0.018	8
3-dehydroquinate synthase ii	8	0.008	0.018	8
l-aspartase-like protein	8	0.008	0.018	8
fcf1-domain-containing protein	8	0.008	0.018	8
amino acid permease	7	0.007	0.016	7
oxidoreductase	7	0.007	0.016	7
phospholipid-translocating atpase	7	0.007	0.016	7
3-amino-4-hydroxybenzoic acid synthase	7	0.007	0.016	7
tetracycline efflux (otrb)	7	0.007	0.016	7
ankyrin protein	7	0.007	0.016	9
cytochrome p450 monooxygenase oxidoreductase	7	0.007	0.016	7
putative fungal-specific transcription factor	7	0.007	0.016	7
cd5 antigen	7	0.007	0.016	7
receptor-type tyrosine-protein phosphatase s	7	0.007	0.016	7
cysteinyl leukotriene receptor 2	7	0.007	0.016	7
deleted in malignant brain tumors 1 protein	7	0.007	0.016	7
tyrosinase-like protein tyr-1	7	0.007	0.016	19
tyrosinase family member (tyr-3)	7	0.007	0.016	12
40s ribosomal protein s20	6	0.006	0.014	6
cue domain-containing protein	6	0.006	0.014	6
protein kinase	6	0.006	0.014	9
acyltransferase papa2	6	0.006	0.014	6
glycosyl transferase family 1	6	0.006	0.014	6
gmc oxidoreductase	6	0.006	0.014	7
acetyltransferase	6	0.006	0.014	6
protein arginine n-methyltransferase	6	0.006	0.014	6
fad binding domain-containing protein	6	0.006	0.014	6
general substrate transporter	6	0.006	0.014	6
bas1-transcription factor	6	0.006	0.014	6
asparagine synthase (glutamine-hydrolyzing)	6	0.006	0.014	6
glycoside hydrolase superfamily	6	0.006	0.014	6
oxidoreductase short chain dehydrogenase reductase family	6	0.006	0.014	6
nadh cytb-reductase	6	0.006	0.014	6
thioredoxin-like protein	6	0.006	0.014	6
ribonuclease h-like domain-containing protein	6	0.006	0.014	6
tyrosinase-like protein tyr-3	6	0.006	0.014	6
arginase	6	0.006	0.014	6
nad(p)-binding domain-containing protein	6	0.006	0.014	6
tyrosinase cofactor	6	0.006	0.014	6
tyrosinase family oxidase copper chaperone	6	0.006	0.014	6
afsr/sarp family transcriptional regulator	6	0.006	0.014	6
alkaline elastase yab	5	0.005	0.011	5
short chain dehydrogenase/reductase	5	0.005	0.011	5
glycosyl transferase	5	0.005	0.011	5
c6 transcription factor	5	0.005	0.011	5
mitochondrial carrier	5	0.005	0.011	5
polyketide synthase	5	0.005	0.011	5
carbon-nitrogen hydrolase	5	0.005	0.011	5
integral membrane protein	5	0.005	0.011	5
amidohydrolase	5	0.005	0.011	5
glycoside hydrolase	5	0.005	0.011	5
glutathione s-transferase	5	0.005	0.011	5
atp-sulfurylase	5	0.005	0.011	5
prephenate dehydrogenase	5	0.005	0.011	5
trichodiene synthase	5	0.005	0.011	5
cupin domain-containing protein	5	0.005	0.011	5
acid protease	5	0.005	0.011	5
fad-binding domain-containing protein	5	0.005	0.011	5
spx domain-containing protein	5	0.005	0.011	5
exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	5	0.005	0.011	5
glycosyl hydrolase catalytic core-domain-containing protein	5	0.005	0.011	5
chaperonin 10-like protein	5	0.005	0.011	5
phenazine biosynthesis protein	5	0.005	0.011	5
cytochrome p450 monooxygenase	5	0.005	0.011	5
tri7-trichothecene biosynthesis	5	0.005	0.011	5
asp/glu/hydantoin racemase	5	0.005	0.011	5
membrane protein	5	0.005	0.011	5
short chain dehydrogenase	5	0.005	0.011	5
short-chain dehydrogenase	5	0.005	0.011	5
l domain-like protein	5	0.005	0.011	5
chromatin remodeling complex subunit	5	0.005	0.011	5
cilia- and flagella-associated protein 77 isoform x2	5	0.005	0.011	5
helix-turn-helix domain-containing protein	5	0.005	0.011	7
serine/threonine protein kinase	4	0.004	0.009	5
putative transmembrane protein	4	0.004	0.009	5
tyrosinase tyrosinase: common central domain protein	4	0.004	0.009	4
serine carboxypeptidase	4	0.004	0.009	5
polygalacturonase	4	0.004	0.009	5
small copii coat gtpase sar1	4	0.004	0.009	4
long-chain fatty acid--coa ligase	4	0.004	0.009	4
lipopolysaccharide biosynthesis protein	4	0.004	0.009	4
