keyword	n_queries	freq_all	total
domain	44	0.214	99
binding	31	0.150	58
regulator	30	0.146	56
transcriptional	29	0.141	51
asnc	25	0.121	25
transporter	23	0.112	52
hydrolase	21	0.102	30
dependent	18	0.087	25
substrate	17	0.083	20
beta	15	0.073	17
membrane	14	0.068	18
dehydrogenase	14	0.068	17
alpha	13	0.063	16
secretion	13	0.063	56
hemagglutinin	13	0.063	13
system	13	0.063	49
methyltransferase	13	0.063	14
phosphate	12	0.058	13
factor	12	0.058	15
oxidoreductase	12	0.058	29
permease	11	0.053	16
gspf	11	0.053	11
gspe	11	0.053	12
isomerase	10	0.049	11
filamentous	10	0.049	10
transferase	9	0.044	12
kinase	9	0.044	9
tonb	9	0.044	9
terminal	9	0.044	10
cytochrome	8	0.039	8
zinc	8	0.039	8
oxidase	8	0.039	11
alcohol	8	0.039	8
transcription	8	0.039	8
inner	8	0.039	8
transport	7	0.034	14
specific	7	0.034	9
enzyme	7	0.034	8
reductase	7	0.034	8
esterase	7	0.034	7
repeat	7	0.034	9
superfamily	7	0.034	8
atpase	7	0.034	7
synthase	7	0.034	9
exbd	7	0.034	7
gspd	7	0.034	7
monooxygenase	7	0.034	9
lysr	7	0.034	9
class	6	0.029	12
pathway	6	0.029	14
gspl	6	0.029	6
transposase	6	0.029	6
acyl	6	0.029	8
dioxygenase	6	0.029	6
facilitator	6	0.029	7
major	6	0.029	7
p450	6	0.029	6
response	6	0.029	6
phosphatase	5	0.024	6
component	5	0.024	5
chain	5	0.024	6
arac	5	0.024	6
outer	5	0.024	9
energy	5	0.024	5
exbb	5	0.024	5
transducer	5	0.024	5
biopolymer	5	0.024	8
gspm	5	0.024	5
pseudopilin	5	0.024	5
peptidylprolyl	5	0.024	5
hydratase	5	0.024	6
porin	5	0.024	5
amino	5	0.024	8
acid	5	0.024	9
tyrosinase	5	0.024	6
phosphodiesterase	5	0.024	5
bisphosphate	5	0.024	5
phosphatidylinositol	5	0.024	5
cell	4	0.019	4
methionine	4	0.019	4
glutamate	4	0.019	5
general	4	0.019	12
disulfide	4	0.019	4
phosphorylase	4	0.019	4
ankyrin	4	0.019	5
amidase	4	0.019	4
helix	4	0.019	6
turn	4	0.019	6
fungal	4	0.019	4
activation	4	0.019	4
hemolysin	4	0.019	4
lyase	4	0.019	5
secretin	4	0.019	4
minor	4	0.019	4
lipase	4	0.019	4
lipp	4	0.019	4
nucleoside	4	0.019	4
incompatibility	4	0.019	6
heterokaryon	4	0.019	6
histidine	4	0.019	4
iron	4	0.019	4
nudix	4	0.019	4
trna	4	0.019	4
small	3	0.015	3
nadh	3	0.015	9
regulatory	3	0.015	3
finger	3	0.015	3
gntr	3	0.015	3
glutamine	3	0.015	3
prevent	3	0.015	3
death	3	0.015	3
host	3	0.015	3
unknown	3	0.015	6
antitoxin	3	0.015	4
toxin	3	0.015	5
function	3	0.015	6
hydroxylase	3	0.015	3
resistance	3	0.015	3
repair	3	0.015	3
racemase	3	0.015	3
aminotransferase	3	0.015	3
signature	3	0.015	3
