pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF26676	Domain of unknown function (DUF8225)	54	0.262	0.495	55
PF01037	Lrp/AsnC ligand binding domain	27	0.131	0.248	27
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	21	0.102	0.193	27
PF07690	Major Facilitator Superfamily	18	0.087	0.165	21
PF13412	Winged helix-turn-helix DNA-binding	18	0.087	0.165	18
PF04082	Fungal specific transcription factor domain	17	0.083	0.156	18
PF08240	Alcohol dehydrogenase GroES-like domain	13	0.063	0.119	13
PF05860	TPS secretion domain	13	0.063	0.119	13
PF12849	PBP superfamily domain	13	0.063	0.119	13
PF12545	Filamentous haemagglutinin family outer membrane protein	13	0.063	0.119	13
PF00264	Common central domain of tyrosinase	13	0.063	0.119	28
PF00067	Cytochrome P450	12	0.058	0.110	13
PF00106	short chain dehydrogenase	11	0.053	0.101	15
PF00482	Type II secretion system (T2SS), protein F	11	0.053	0.101	11
PF00437	Type II/IV secretion system protein	11	0.053	0.101	11
PF28597	Type II secretion system protein F, N-terminal domain	11	0.053	0.101	11
PF20684	Fungal rhodopsin domain	10	0.049	0.092	12
PF00248	Aldo/keto reductase family	10	0.049	0.092	10
PF00005	ABC transporter	10	0.049	0.092	13
PF01494	FAD binding domain	10	0.049	0.092	12
PF13404	AsnC-type helix-turn-helix domain	9	0.044	0.083	9
PF00263	Bacterial type II and III secretion system protein	9	0.044	0.083	9
PF21305	GspD-like, N0 domain	9	0.044	0.083	9
PF03958	Bacterial type II/III secretion system short domain	9	0.044	0.083	9
PF07859	alpha/beta hydrolase fold	9	0.044	0.083	9
PF22341	GSPII protein E, N1E domain	8	0.039	0.073	8
PF12693	GspL periplasmic domain	8	0.039	0.073	8
PF04612	Type II secretion system (T2SS), protein M	8	0.039	0.073	8
PF00083	Sugar (and other) transporter	8	0.039	0.073	9
PF00388	Phosphatidylinositol-specific phospholipase C, X domain	8	0.039	0.073	8
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain	8	0.039	0.073	8
PF06985	Heterokaryon incompatibility protein (HET)	8	0.039	0.073	14
PF00732	GMC oxidoreductase	7	0.034	0.064	7
PF07883	Cupin domain	7	0.034	0.064	7
PF13602	Zinc-binding dehydrogenase	7	0.034	0.064	7
PF12833	Helix-turn-helix domain	7	0.034	0.064	11
PF13489	Methyltransferase domain	7	0.034	0.064	7
PF05598	Transposase domain (DUF772)	7	0.034	0.064	7
PF02472	Biopolymer transport protein ExbD/TolR	7	0.034	0.064	7
PF08479	POTRA domain, ShlB-type	7	0.034	0.064	7
PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB	7	0.034	0.064	7
PF13385	Concanavalin A-like lectin/glucanases superfamily	7	0.034	0.064	7
PF01618	MotA/TolQ/ExbB proton channel family	7	0.034	0.064	7
PF10102	Domain of unknown function (DUF2341)	7	0.034	0.064	7
PF12796	Ankyrin repeats (3 copies)	7	0.034	0.064	11
PF00107	Zinc-binding dehydrogenase	7	0.034	0.064	7
PF03466	LysR substrate binding domain	7	0.034	0.064	9
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	7	0.034	0.064	9
PF00271	Helicase conserved C-terminal domain	6	0.029	0.055	6
PF00270	DEAD/DEAH box helicase	6	0.029	0.055	6
PF01565	FAD binding domain	6	0.029	0.055	6
PF05199	GMC oxidoreductase	6	0.029	0.055	7
PF00501	AMP-binding enzyme	6	0.029	0.055	6
PF00528	Binding-protein-dependent transport system inner membrane component	6	0.029	0.055	10
PF11951	Fungal specific transcription factor domain	6	0.029	0.055	9
PF01048	Phosphorylase superfamily	6	0.029	0.055	6
PF02129	X-Pro dipeptidyl-peptidase (S15 family)	6	0.029	0.055	6
PF08530	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain	6	0.029	0.055	6
PF02900	Catalytic LigB subunit of aromatic ring-opening dioxygenase	6	0.029	0.055	6
PF01965	DJ-1/PfpI family	6	0.029	0.055	6
PF00400	WD domain, G-beta repeat	5	0.024	0.046	6
PF00857	Isochorismatase domain	5	0.024	0.046	5
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	5	0.024	0.046	5
