keyword	n_queries	freq_all	total
methionine	7	0.875	7
dependent	7	0.875	14
peptide	7	0.875	7
ligase	7	0.875	14
glycogen	7	0.875	7
dehydrogenase	7	0.875	9
oxide	7	0.875	7
reductase	7	0.875	12
factor	6	0.750	6
protoporphyrinogen	6	0.750	6
oxidase	6	0.750	6
glgx	6	0.750	6
glutamine	5	0.625	5
sigma	5	0.625	5
azld	5	0.625	5
amidotransferase	5	0.625	5
osmc	5	0.625	5
polymerase	5	0.625	5
pyrimidine	5	0.625	5
ankyrin	4	0.500	4
decarboxylase	4	0.500	4
repeat	4	0.500	4
chain	4	0.500	6
permease	4	0.500	4
glutamate	4	0.500	4
debranching	4	0.500	4
class	4	0.500	4
msrb	4	0.500	4
isovaleryl	4	0.500	4
domain	4	0.500	12
transporter	4	0.500	4
duf1707	4	0.500	4
dismutase	3	0.375	3
branched	3	0.375	4
chlorite	3	0.375	3
amino	3	0.375	4
operon	3	0.375	3
acyl	3	0.375	3
response	3	0.375	3
acid	3	0.375	4
peroxiredoxin	3	0.375	3
sige	3	0.375	3
regulator	3	0.375	3
homologous	3	0.375	3
joining	3	0.375	3
short	2	0.250	2
homolog	2	0.250	2
azlc	2	0.250	2
