keyword	n_queries	freq_all	total
domain	42	0.378	98
hydrolase	32	0.288	47
transporter	29	0.261	44
dependent	26	0.234	33
dehydrogenase	25	0.225	32
cytochrome	22	0.198	24
p450	21	0.189	22
alpha	21	0.189	26
acid	20	0.180	26
methyltransferase	18	0.162	18
beta	18	0.162	18
amino	17	0.153	17
permease	17	0.153	18
trna	16	0.144	16
synthetase	16	0.144	16
membrane	16	0.144	16
integral	15	0.135	15
synthase	15	0.135	15
oxidase	15	0.135	15
binding	14	0.126	18
methionine	13	0.117	13
adenosyl	13	0.117	13
alanyl	12	0.108	12
rhamnosidase	12	0.108	12
dehydratase	12	0.108	12
glycosyl	12	0.108	12
glycoside	12	0.108	12
chain	11	0.099	11
substrate	10	0.090	13
general	10	0.090	13
histidinol	10	0.090	10
short	10	0.090	10
pyruvate	10	0.090	10
phosphoenolpyruvate	10	0.090	10
factor	9	0.081	10
transcription	9	0.081	11
phosphatase	9	0.081	9
kinase	9	0.081	9
asst	9	0.081	9
duf500	8	0.072	8
oxalate	8	0.072	8
decarboxylase	8	0.072	8
adenylate	8	0.072	8
aconitase	8	0.072	8
cyclase	8	0.072	8
threonyl	8	0.072	8
bacterial	8	0.072	8
slc12a	8	0.072	8
transmembrane	7	0.063	7
endo	7	0.063	7
mannan	7	0.063	7
mannosidase	7	0.063	7
lipase	7	0.063	7
reductase	7	0.063	8
subtilisin	7	0.063	7
bicupin	7	0.063	7
superfamily	7	0.063	10
arylsulphatase	7	0.063	7
allantoate	7	0.063	7
peptidyl	6	0.054	6
dihydroxy	6	0.054	6
rta1	6	0.054	6
oxidoreductase	6	0.054	6
aspergillopepsin	6	0.054	6
transferase	6	0.054	6
threonine	6	0.054	6
epoxide	6	0.054	6
methylcitrate	6	0.054	6
serine	6	0.054	6
isoflavone	6	0.054	6
soluble	6	0.054	6
prpd	6	0.054	6
arabinosidase	6	0.054	6
clavaminate	6	0.054	6
precursor	6	0.054	6
heterokaryon	6	0.054	6
incompatibility	6	0.054	6
triphosphate	6	0.054	7
loop	6	0.054	7
nucleoside	6	0.054	7
lyase	5	0.045	5
vesicle	5	0.045	5
synaptic	5	0.045	5
nadph	5	0.045	5
macro	5	0.045	5
aspartic	5	0.045	5
endopeptidase	5	0.045	5
purine	5	0.045	5
phosphorylase	5	0.045	5
uridine	5	0.045	5
sarcosine	5	0.045	5
carboxyphosphonoenolpyruvate	5	0.045	5
mutase	5	0.045	5
deiminase	4	0.036	4
nitroreductase	4	0.036	4
finger	4	0.036	4
alfa	4	0.036	4
complex	4	0.036	4
formamidase	4	0.036	4
deacylase	4	0.036	4
esterase	4	0.036	4
isomerase	4	0.036	4
pantothenate	4	0.036	4
amylase	4	0.036	4
atpase	4	0.036	4
facilitator	4	0.036	7
major	4	0.036	7
arginine	3	0.027	3
porphyromonas	3	0.027	3
pth11	3	0.027	3
isocitrate	3	0.027	3
alkane	3	0.027	3
inducible	3	0.027	3
cassette	3	0.027	3
malate	3	0.027	3
acetyltransferase	3	0.027	3
monooxygenase	3	0.027	3
glutathione	3	0.027	3
resistance	3	0.027	3
regulator	3	0.027	3
specific	3	0.027	4
fungal	3	0.027	4
iron	3	0.027	3
glucan	3	0.027	3
protease	3	0.027	3
feruloyl	3	0.027	3
cell	3	0.027	3
acetyl	3	0.027	3
tripeptidyl	3	0.027	3
peptidase	3	0.027	3
helicase	3	0.027	5
mgs1	3	0.027	3
trans	3	0.027	3
secreted	3	0.027	3
aminoacyl	3	0.027	3
prolyl	3	0.027	3
enzyme	2	0.018	2
chaperone	2	0.018	2
man26a	2	0.018	2
negative	2	0.018	2
hydratase	2	0.018	2
phosphate	2	0.018	2
zinc	2	0.018	2
c2h2	2	0.018	2
sensor	2	0.018	2
response	2	0.018	2
histidine	2	0.018	2
wd40	2	0.018	2
repeat	2	0.018	2
component	2	0.018	2
sulfur	2	0.018	2
flavin	2	0.018	2
ankyrin	2	0.018	2
tannase	2	0.018	2
associated	2	0.018	2
division	2	0.018	2
antiporter	2	0.018	2
snf2	2	0.018	2
ddx31	2	0.018	4
dbp7	2	0.018	4
coenzyme	2	0.018	2
sed2	2	0.018	2
slightly	2	0.018	2
ste11	2	0.018	2
arylformamidase	2	0.018	2
efflux	2	0.018	2
pump	2	0.018	2
laccase	2	0.018	2
dotc	2	0.018	2
barrel	2	0.018	2
