pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF07690	Major Facilitator Superfamily	40	0.360	0.533	68
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	34	0.306	0.453	52
PF00067	Cytochrome P450	30	0.270	0.400	33
PF20684	Fungal rhodopsin domain	27	0.243	0.360	33
PF04082	Fungal specific transcription factor domain	24	0.216	0.320	30
PF13714	Phosphoenolpyruvate phosphomutase	23	0.207	0.307	23
PF01266	FAD dependent oxidoreductase	16	0.144	0.213	16
PF11951	Fungal specific transcription factor domain	15	0.135	0.200	16
PF00005	ABC transporter	14	0.126	0.187	15
PF08531	Alpha-L-rhamnosidase N-terminal domain	13	0.117	0.173	13
PF14388	Domain of unknown function (DUF4419)	13	0.117	0.173	13
PF17390	Bacterial alpha-L-rhamnosidase C-terminal domain	13	0.117	0.173	13
PF04371	Porphyromonas-type peptidyl-arginine deiminase	13	0.117	0.173	14
PF00891	O-methyltransferase domain	13	0.117	0.173	13
PF14269	Arylsulfotransferase (ASST)	13	0.117	0.173	13
PF07973	Threonyl and Alanyl tRNA synthetase second additional domain	13	0.117	0.173	13
PF25788	Rha78A-like, N-terminal immunoglobulin domain	13	0.117	0.173	13
PF04616	Glycosyl hydrolases family 43	13	0.117	0.173	13
PF00324	Amino acid permease	13	0.117	0.173	13
PF05592	Bacterial alpha-L-rhamnosidase concanavalin-like domain	13	0.117	0.173	13
PF17389	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain	13	0.117	0.173	13
PF01828	Peptidase A4 family	13	0.117	0.173	13
PF09286	Pro-kumamolisin, activation domain	13	0.117	0.173	13
PF00664	ABC transporter transmembrane region	12	0.108	0.160	12
PF03647	Transmembrane proteins 14C	12	0.108	0.160	12
PF00106	short chain dehydrogenase	12	0.108	0.160	13
PF00884	Sulfatase	12	0.108	0.160	12
PF08100	O-methyltransferase dimerisation domain	12	0.108	0.160	12
PF00694	Aconitase C-terminal domain	11	0.099	0.147	11
PF00330	Aconitase family (aconitate hydratase)	11	0.099	0.147	11
PF22704	Alpha-galactosidase, CBM13 domain	10	0.090	0.133	10
PF00815	Histidinol dehydrogenase	10	0.090	0.133	10
PF06985	Heterokaryon incompatibility protein (HET)	10	0.090	0.133	10
PF01490	Transmembrane amino acid transporter protein	9	0.081	0.120	9
PF02156	Glycosyl hydrolase family 26	9	0.081	0.120	9
PF19271	Nis1 family	9	0.081	0.120	9
PF13649	Methyltransferase domain	9	0.081	0.120	9
PF04366	Las17-binding protein actin regulator	8	0.072	0.107	8
PF00999	Sodium/hydrogen exchanger, transmembrane	8	0.072	0.107	8
PF13561	Enoyl-(Acyl carrier protein) reductase	8	0.072	0.107	8
PF00190	Cupin	8	0.072	0.107	8
PF00150	Cellulase (glycosyl hydrolase family 5)	8	0.072	0.107	8
PF05368	NmrA-like family	7	0.063	0.093	7
PF23259	Plant cation/H(+) antiporter, C-terminal domain	7	0.063	0.093	7
PF07985	SRR1 domain	7	0.063	0.093	7
PF23256	Plant cation/H(+) antiporter domain	7	0.063	0.093	7
PF27593	Meroterpenoid methyltransferase N-terminal domain	7	0.063	0.093	7
PF00271	Helicase conserved C-terminal domain	7	0.063	0.093	9
PF00920	Dihydroxy-acid/6-phosphogluconate dehydratase N-terminal	6	0.054	0.080	6
PF01070	FMN-dependent dehydrogenase	6	0.054	0.080	6
PF04479	RTA1 like protein	6	0.054	0.080	6
PF24877	Dihydroxy-acid/6-phosphogluconate dehydratase C-terminal	6	0.054	0.080	6
PF00135	Carboxylesterase family	6	0.054	0.080	6
PF00481	Protein phosphatase 2C	6	0.054	0.080	6
PF03972	MmgE/PrpD N-terminal domain	6	0.054	0.080	6
PF00561	alpha/beta hydrolase fold	6	0.054	0.080	6
PF19305	MmgE/PrpD C-terminal domain	6	0.054	0.080	6
PF14226	non-haem dioxygenase in morphine synthesis N-terminal	6	0.054	0.080	6
PF00096	Zinc finger, C2H2 type	6	0.054	0.080	6
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	6	0.054	0.080	6
PF03171	2OG-Fe(II) oxygenase superfamily	6	0.054	0.080	6
PF00400	WD domain, G-beta repeat	6	0.054	0.080	6
PF07859	alpha/beta hydrolase fold	5	0.045	0.067	5
PF00501	AMP-binding enzyme	5	0.045	0.067	5
PF00176	SNF2-related domain	5	0.045	0.067	5
PF11807	Mycotoxin biosynthesis protein UstYa	5	0.045	0.067	10
PF01764	Lipase (class 3)	5	0.045	0.067	5
PF01738	Dienelactone hydrolase family	5	0.045	0.067	5
PF05730	CFEM domain	5	0.045	0.067	5
PF00026	Eukaryotic aspartyl protease	5	0.045	0.067	5
PF10342	Kre9/KNH-like N-terminal Ig-like domain	5	0.045	0.067	5
PF00550	Phosphopantetheine attachment site	5	0.045	0.067	5
PF26640	Domain of unknown function (DUF8212)	5	0.045	0.067	5
PF00004	ATPase family associated with various cellular activities (AAA)	5	0.045	0.067	7
PF00082	Subtilase family	5	0.045	0.067	5
PF00083	Sugar (and other) transporter	5	0.045	0.067	7
PF00881	Nitroreductase family	4	0.036	0.053	4
PF02854	MIF4G domain	4	0.036	0.053	4
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	4	0.036	0.053	4
PF04065	Not1 N-terminal domain, CCR4-Not complex component	4	0.036	0.053	4
PF02580	D-Tyr-tRNA(Tyr) deacylase	4	0.036	0.053	4
PF02290	Signal recognition particle 14kD protein	4	0.036	0.053	4
PF13449	Esterase-like activity of phytase	4	0.036	0.053	4
PF12634	Inheritance of peroxisomes protein 1	4	0.036	0.053	4
PF02847	MA3 domain	4	0.036	0.053	4
PF04153	NOT2/NOT3/NOT5 C-terminal	4	0.036	0.053	4
PF03069	Acetamidase/Formamidase family	4	0.036	0.053	4
