keyword	n_queries	freq_all	total
domain	57	0.399	160
transporter	37	0.259	64
binding	32	0.224	33
alpha	32	0.224	35
dehydrogenase	27	0.189	29
beta	26	0.182	32
hydrolase	24	0.168	30
dependent	23	0.161	24
transferase	22	0.154	28
synthase	20	0.140	24
permease	17	0.119	25
acid	17	0.119	32
atpase	17	0.119	18
membrane	16	0.112	18
amino	14	0.098	23
lyase	14	0.098	14
factor	14	0.098	18
sugar	13	0.091	23
synthetase	13	0.091	15
calcium	13	0.091	25
acetyltransferase	12	0.084	16
biosynthesis	12	0.084	14
receptor	12	0.084	12
pectin	11	0.077	11
reductase	11	0.077	11
ligase	10	0.070	15
methyltransferase	10	0.070	12
transporting	10	0.070	10
transcription	10	0.070	12
monocarboxylate	10	0.070	10
glycosyltransferase	9	0.063	14
substrate	9	0.063	9
superfamily	9	0.063	11
malate	9	0.063	9
general	9	0.063	9
metal	9	0.063	9
vacuolar	9	0.063	14
serine	9	0.063	10
fungal	9	0.063	10
slc12a	9	0.063	9
oxidoreductase	8	0.056	10
peptidase	8	0.056	8
acetyl	8	0.056	8
glucosaminyl	8	0.056	8
bsha	8	0.056	8
tonb	8	0.056	8
specific	8	0.056	8
phosphogluconate	8	0.056	8
kinase	8	0.056	11
phenylacetate	7	0.049	10
fibronectin	7	0.049	7
protease	7	0.049	9
acyltransferase	7	0.049	10
chain	7	0.049	13
facilitator	7	0.049	9
major	7	0.049	9
trna	7	0.049	8
glucosidase	6	0.042	6
ompa	6	0.042	6
polysaccharide	6	0.042	8
short	6	0.042	7
light	6	0.042	6
kinesin	6	0.042	6
ywtd	6	0.042	6
alcohol	6	0.042	7
complex	6	0.042	6
glycoside	6	0.042	6
transport	5	0.035	5
terminal	5	0.035	5
dehydratase	5	0.035	6
associated	5	0.035	6
phosphate	5	0.035	5
plasma	5	0.035	5
hydroxyacyl	5	0.035	5
dehyrogenase	5	0.035	5
methylacyl	5	0.035	5
racemase	5	0.035	5
peptide	5	0.035	5
cytochrome	5	0.035	7
finger	5	0.035	5
phenylalanyl	5	0.035	5
epimerase	5	0.035	7
glycosyl	5	0.035	7
heterokaryon	5	0.035	7
incompatibility	5	0.035	7
ribosomal	5	0.035	5
regulatory	4	0.028	4
phosphatase	4	0.028	8
dicluster	4	0.028	4
grasp	4	0.028	5
methionine	4	0.028	4
allantoate	4	0.028	4
nucleoside	4	0.028	4
zinc	4	0.028	4
acyl	4	0.028	4
gnat	4	0.028	4
heavy	4	0.028	4
fold	4	0.028	5
oxidase	4	0.028	4
mitochondrial	4	0.028	4
catalytic	4	0.028	4
tyrosinase	4	0.028	4
isomerase	4	0.028	4
monooxygenase	3	0.021	3
integral	3	0.021	3
sialic	3	0.021	5
neud	3	0.021	5
chaperone	3	0.021	3
outer	3	0.021	4
gamma	3	0.021	3
mboat	3	0.021	3
copper	3	0.021	3
copz	3	0.021	3
cysteine	3	0.021	3
cell	3	0.021	4
antigen	3	0.021	3
adenosyl	3	0.021	3
phosphorylase	3	0.021	3
purine	3	0.021	3
uridine	3	0.021	3
loop	3	0.021	3
triphosphate	3	0.021	3
esterase	3	0.021	3
nonribosomal	3	0.021	3
nucleotide	3	0.021	3
peroxisomal	3	0.021	4
c2h2	3	0.021	3
p450	3	0.021	5
histone	3	0.021	3
component	3	0.021	3
endo	3	0.021	3
chalcone	3	0.021	3
nucleotidase	3	0.021	3
class	3	0.021	3
precursor	3	0.021	3
