pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF04082	Fungal specific transcription factor domain	26	0.182	0.263	30
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	26	0.182	0.263	32
PF07690	Major Facilitator Superfamily	25	0.175	0.253	34
PF00083	Sugar (and other) transporter	23	0.161	0.232	24
PF11951	Fungal specific transcription factor domain	22	0.154	0.222	23
PF20684	Fungal rhodopsin domain	20	0.140	0.202	28
PF00106	short chain dehydrogenase	19	0.133	0.192	20
PF11807	Mycotoxin biosynthesis protein UstYa	16	0.112	0.162	42
PF12796	Ankyrin repeats (3 copies)	15	0.105	0.152	15
PF00041	Fibronectin type III domain	15	0.105	0.152	15
PF00069	Protein kinase domain	15	0.105	0.152	15
PF08240	Alcohol dehydrogenase GroES-like domain	14	0.098	0.141	14
PF00324	Amino acid permease	14	0.098	0.141	15
PF00005	ABC transporter	14	0.098	0.141	14
PF01565	FAD binding domain	14	0.098	0.141	15
PF27533	CapK C-terminal domain	14	0.098	0.141	20
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	13	0.091	0.131	13
PF13439	Glycosyltransferase Family 4	12	0.084	0.121	19
PF00544	Pectate lyase	12	0.084	0.121	12
PF07715	TonB-dependent Receptor Plug Domain	12	0.084	0.121	12
PF02397	Bacterial sugar transferase	12	0.084	0.121	14
PF13715	CarboxypepD_reg-like domain	12	0.084	0.121	12
PF24883	Nephrocystin 3, N-terminal	12	0.084	0.121	12
PF13520	Amino acid permease	11	0.077	0.111	11
PF14833	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	11	0.077	0.111	11
PF00264	Common central domain of tyrosinase	11	0.077	0.111	11
PF17836	PglD N-terminal domain	10	0.070	0.101	12
PF00933	Glycosyl hydrolase family 3 N terminal domain	10	0.070	0.101	10
PF00534	Glycosyl transferases group 1	10	0.070	0.101	26
PF13424	Tetratricopeptide repeat	10	0.070	0.101	10
PF06355	Aegerolysin	10	0.070	0.101	10
PF13374	Tetratricopeptide repeat	10	0.070	0.101	10
PF00689	Cation transporting ATPase, C-terminus	10	0.070	0.101	10
PF13246	P-type ATPase, cytoplasmic domain N	10	0.070	0.101	10
PF00122	P-type ATPase actuator domain	10	0.070	0.101	10
PF06985	Heterokaryon incompatibility protein (HET)	10	0.070	0.101	12
PF08031	Berberine and berberine like	9	0.063	0.091	9
PF01699	Sodium/calcium exchanger protein	9	0.063	0.091	24
PF00690	Cation transporter/ATPase, N-terminus	9	0.063	0.091	9
PF00664	ABC transporter transmembrane region	9	0.063	0.091	9
PF00550	Phosphopantetheine attachment site	9	0.063	0.091	10
PF00501	AMP-binding enzyme	9	0.063	0.091	9
PF00067	Cytochrome P450	9	0.063	0.091	10
