keyword	n_queries	freq_all	total
kinase	7	0.135	10
phosphatase	5	0.096	6
superfamily	4	0.077	4
serine	4	0.077	4
threonine	4	0.077	4
domain	4	0.077	9
membrane	3	0.058	4
helicase	3	0.058	3
regulator	3	0.058	4
atpase	3	0.058	4
binding	3	0.058	3
variant	3	0.058	4
interacting	2	0.038	2
multidrug	2	0.038	2
flippase	2	0.038	2
polysaccharide	2	0.038	2
lipid	2	0.038	2
oligosaccharidyl	2	0.038	2
factor	2	0.038	2
complex	2	0.038	2
rave	2	0.038	2
repeat	2	0.038	2
gnat	2	0.038	2
cyclic	2	0.038	2
nucleotide	2	0.038	2
grip	2	0.038	2
transporter	2	0.038	2
acetyltransferase	2	0.038	2
atpdependent	2	0.038	2
vacuolar	2	0.038	3
enzyme	2	0.038	3
