pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF12234	RAVE protein 1 C terminal	15	0.288	0.625	16
PF00481	Protein phosphatase 2C	15	0.288	0.625	15
PF00069	Protein kinase domain	15	0.288	0.625	26
PF00027	Cyclic nucleotide-binding domain	14	0.269	0.583	14
PF00168	C2 domain	14	0.269	0.583	15
PF01465	GRIP domain	13	0.250	0.542	13
PF00583	Acetyltransferase (GNAT) family	12	0.231	0.500	12
PF03171	2OG-Fe(II) oxygenase superfamily	10	0.192	0.417	10
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold	9	0.173	0.375	9
PF26026	C-terminal domain in RNA helicases	9	0.173	0.375	9
PF21010	Helicase associated domain (HA2), ratchet-like	9	0.173	0.375	9
PF00270	DEAD/DEAH box helicase	8	0.154	0.333	8
PF00271	Helicase conserved C-terminal domain	8	0.154	0.333	8
PF05773	RWD domain	8	0.154	0.333	8
PF24899	ATP-dependent RNA helicase DHX29, UBA domain	7	0.135	0.292	7
PF14226	non-haem dioxygenase in morphine synthesis N-terminal	7	0.135	0.292	7
PF24385	ATP-dependent RNA helicase DHX29, DSRM-like	5	0.096	0.208	5
PF00005	ABC transporter	5	0.096	0.208	5
PF00439	Bromodomain	4	0.077	0.167	4
PF00121	Triosephosphate isomerase	4	0.077	0.167	4
PF12254	DNA polymerase alpha subunit p180 N terminal	4	0.077	0.167	4
PF08996	DNA Polymerase alpha zinc finger	4	0.077	0.167	5
PF00136	DNA polymerase family B	4	0.077	0.167	4
PF03104	DNA polymerase family B, exonuclease domain	4	0.077	0.167	4
PF00264	Common central domain of tyrosinase	4	0.077	0.167	6
PF04032	RNAse P Rpr2/Rpp21/SNM1 subunit domain	4	0.077	0.167	4
PF01554	MatE	3	0.058	0.125	3
PF00179	Ubiquitin-conjugating enzyme	3	0.058	0.125	6
PF24906	WRKY19 zinc finger domain	3	0.058	0.125	3
PF00899	ThiF family	2	0.038	0.083	2
PF16420	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus	2	0.038	0.083	2
PF01423	LSM domain	2	0.038	0.083	2
PF00892	EamA-like transporter family	2	0.038	0.083	4
PF13307	Helicase C-terminal domain	2	0.038	0.083	3
PF03031	NLI interacting factor-like phosphatase	2	0.038	0.083	2
PF00400	WD domain, G-beta repeat	2	0.038	0.083	2
PF06733	DEAD_2	2	0.038	0.083	3
PF00071	Ras family	2	0.038	0.083	2
PF13347	MFS/sugar transport protein	2	0.038	0.083	2
PF03134	TB2/DP1, HVA22 family	2	0.038	0.083	2
PF06728	GPI transamidase subunit PIG-U	2	0.038	0.083	2
PF01399	PCI domain	2	0.038	0.083	2
PF04408	Helicase associated domain (HA2), winged-helix	2	0.038	0.083	2
PF12796	Ankyrin repeats (3 copies)	2	0.038	0.083	3
PF00561	alpha/beta hydrolase fold	2	0.038	0.083	4
PF00230	Major intrinsic protein	2	0.038	0.083	2
PF13886	TM7S3/TM198-like domain	2	0.038	0.083	5
PF04366	Las17-binding protein actin regulator	2	0.038	0.083	2
PF02939	UcrQ family	2	0.038	0.083	2
