product	n_queries	freq_all	freq_with_data	total
hypothetical protein, variant	3	0.058	0.250	4
multidrug/oligosaccharidyl-lipid/polysaccharide (mop) flippase superfamily	2	0.038	0.167	2
protein phosphatase 2c and cyclic nucleotide-binding/kinase domain-containing protein	2	0.038	0.167	2
atpdependent rna helicase	2	0.038	0.167	2
regulator of (h+)-atpase in vacuolar membrane	2	0.038	0.167	3
agc/pkg protein kinase	2	0.038	0.167	2
nli interacting factor-like phosphatase	1	0.019	0.083	1
serine/threonine-protein phosphatase pp2a	1	0.019	0.083	1
s-adenosylmethionine trna ribosyltransferase	1	0.019	0.083	1
cystathionine beta-lyase	1	0.019	0.083	1
atp-dependent rna helicase	1	0.019	0.083	1
glycoside-pentoside-hexuronide (gph):cation symporter family	1	0.019	0.083	1
autophagy-related protein 7	1	0.019	0.083	1
membrane protein	1	0.019	0.083	1
wd domain-containing protein	1	0.019	0.083	1
serine threonine protein kinase	1	0.019	0.083	1
rave (regulator of v-atpase assembly) complex subunit rav1/dmx protein, wd repeat superfamily	1	0.019	0.083	1
transcription initiation factor tfiid	1	0.019	0.083	1
rxlr-like protein	1	0.019	0.083	1
agc pkg protein kinase	1	0.019	0.083	1
downstream neighbor of son	1	0.019	0.083	1
gnat family protein	1	0.019	0.083	1
hypothetical protein f443_03822	1	0.019	0.083	1
glucuronosyltransferase pgsip8-like	1	0.019	0.083	1
hypothetical protein l915_17717	1	0.019	0.083	1
phosphatidylinositide phosphatase sac1-like protein	1	0.019	0.083	1
c2 domain	1	0.019	0.083	1
rave protein 1 c terminal	1	0.019	0.083	1
acetyltransferase (gnat) domain	1	0.019	0.083	1
grip domain-containing protein	1	0.019	0.083	1
oligonucleotide/oligosaccharide-binding (ob)-fold	1	0.019	0.083	1
2og-fe(ii) oxygenase superfamily	1	0.019	0.083	1
protein kinase domain	1	0.019	0.083	2
abc transporter	1	0.019	0.083	1
ubiquitin-conjugating enzyme e2 j2	1	0.019	0.083	2
cytoplasmic fmr1-interacting protein 2	1	0.019	0.083	1
dna-directed dna polymerase alpha catalytic subunit pol1	1	0.019	0.083	1
ccr4-not regulatory complex component	1	0.019	0.083	1
leucine-rich repeat serine/threonine-protein kinase 2	1	0.019	0.083	1
putative aminoacrylate hydrolase rutd	1	0.019	0.083	2
putative serine/threonine-protein kinase	1	0.019	0.083	1
laminin-like protein epi-1	1	0.019	0.083	1
dmx-like protein 1	1	0.019	0.083	1
aquaporin-10	1	0.019	0.083	1
ranbp2-like and grip domain-containing protein 5/6	1	0.019	0.083	1
abc transporter i family member 20	1	0.019	0.083	1
putative n-acetyltransferase san	1	0.019	0.083	1
e1-like protein-activating enzyme g	1	0.019	0.083	1
protein phosphatase	1	0.019	0.083	1
rard protein	1	0.019	0.083	2
rab family, other	1	0.019	0.083	1
