product	n_queries	freq_all	freq_with_data	total
dna-directed rna polymerase iii subunit	3	0.150	0.500	3
5-methylthioadenosine/s-adenosylhomocysteine deaminase	3	0.150	0.500	3
dna-directed rna polymerase iii	1	0.050	0.167	1
s-adenosylhomocysteine deaminase	1	0.050	0.167	1
elicitin	1	0.050	0.167	2
dna-directed rna polymerase iii subunit rpc2	1	0.050	0.167	1
hypothetical protein, variant 2	1	0.050	0.167	1
hypothetical protein, variant	1	0.050	0.167	2
hypothetical protein, variant 1	1	0.050	0.167	1
hypothetical protein, variant 3	1	0.050	0.167	1
