keyword	n_queries	freq_all	total
ubash3a	11	0.786	12
nuclear	11	0.786	17
repair	11	0.786	17
inhibitor	11	0.786	11
dissociation	11	0.786	11
interacting	10	0.714	16
tryptophan	10	0.714	19
hydroxylase	10	0.714	19
smad	10	0.714	16
transmembrane	10	0.714	12
anchor	8	0.571	10
glycan	8	0.571	10
phosphatidylinositol	8	0.571	10
class	8	0.571	10
biosynthesis	8	0.571	10
component	8	0.571	18
replication	6	0.429	7
pyruvate	6	0.429	12
specific	6	0.429	10
mitochondrial	6	0.429	15
methyltransferase	6	0.429	7
histone	6	0.429	7
lysine	6	0.429	7
dehydrogenase	6	0.429	15
member	5	0.357	6
forkhead	5	0.357	6
cassette	5	0.357	6
binding	5	0.357	6
abhd12	4	0.286	4
lipase	4	0.286	4
monoacylglycerol	4	0.286	4
tyrosinase	3	0.214	3
glucosidase	3	0.214	5
mannosyl	3	0.214	5
oligosaccharide	3	0.214	5
cytochrome	3	0.214	3
tubulin	2	0.143	6
gamma	2	0.143	6
complex	2	0.143	6
repeat	2	0.143	2
