product	n_queries	freq_all	freq_with_data	total
protein ubash3a -like protein	11	0.786	1.000	12
rho gdp-dissociation inhibitor 1	11	0.786	1.000	11
tryptophan 5-hydroxylase 1	10	0.714	0.909	19
transmembrane protein	10	0.714	0.909	12
smad nuclear interacting protein 1	9	0.643	0.818	11
phosphatidylinositol glycan anchor biosynthesis class u protein	8	0.571	0.727	10
dna repair protein	7	0.500	0.636	11
dna repair protein -like protein	6	0.429	0.545	6
histone-lysine n-methyltransferase, h3 lysine-79 specific	6	0.429	0.545	7
replication protein a 32 kda subunit	6	0.429	0.545	7
pyruvate dehydrogenase protein x component, mitochondrial	6	0.429	0.545	12
atp-binding cassette sub-family f member 3	5	0.357	0.455	6
smad nuclear-interacting protein 1	4	0.286	0.364	5
monoacylglycerol lipase abhd12	4	0.286	0.364	4
putative tyrosinase-like protein tyr-3	3	0.214	0.273	3
putative mannosyl-oligosaccharide glucosidase	3	0.214	0.273	5
forkhead box protein k1	3	0.214	0.273	3
cytochrome b5	3	0.214	0.273	3
forkhead box protein k2	2	0.143	0.182	3
gamma-tubulin complex component 4	2	0.143	0.182	6
f-box/wd repeat-containing protein 1a	2	0.143	0.182	2
piggybac transposable element-derived protein 3	1	0.071	0.091	1
transposon tf2-9 polyprotein	1	0.071	0.091	1
short/branched chain specific acyl-coa dehydrogenase, mitochondrial	1	0.071	0.091	3
u5 small nuclear ribonucleoprotein helicase	1	0.071	0.091	1
cd9 antigen	1	0.071	0.091	1
