keyword	n_queries	freq_all	total
domain	25	0.240	77
kinase	23	0.221	26
binding	19	0.183	29
transporter	18	0.173	27
beta	15	0.144	19
regulator	13	0.125	20
tyrosinase	13	0.125	21
dependent	13	0.125	17
hydrolase	12	0.115	13
transcriptional	11	0.106	17
dehydrogenase	11	0.106	13
complex	11	0.106	11
cell	10	0.096	11
factor	9	0.087	14
threonine	9	0.087	9
serine	9	0.087	9
metal	9	0.087	9
alpha	8	0.077	10
synthase	8	0.077	8
transferase	8	0.077	9
tfiih	8	0.077	8
pathways	8	0.077	8
kin28	8	0.077	8
survival	8	0.077	8
mitochondrial	8	0.077	9
esterase	7	0.067	8
oxidoreductase	7	0.067	8
response	7	0.067	7
methyltransferase	6	0.058	6
oxidase	6	0.058	9
superfamily	6	0.058	7
isomerase	6	0.058	8
vip1	6	0.058	6
tetr	5	0.048	5
histidine	5	0.048	5
membrane	5	0.048	6
monooxygenase	5	0.048	7
acid	5	0.048	6
ribosomal	5	0.048	6
melc1	5	0.048	9
resistance	5	0.048	5
carbohydrate	5	0.048	7
repeat	5	0.048	6
major	5	0.048	5
copper	5	0.048	10
cytochrome	5	0.048	5
chaperone	5	0.048	8
xylose	5	0.048	5
rrna	5	0.048	5
esf1	5	0.048	5
processing	5	0.048	5
isoamyl	5	0.048	6
acetate	5	0.048	6
hydrolyzing	5	0.048	6
chain	4	0.038	6
lipid	4	0.038	4
hamp	4	0.038	4
helix	4	0.038	4
peptidase	4	0.038	5
flippase	4	0.038	4
zinc	4	0.038	5
facilitator	4	0.038	4
superoxide	4	0.038	4
dismutase	4	0.038	4
p450	4	0.038	4
monophosphatase	4	0.038	4
inositol	4	0.038	4
phosphate	4	0.038	5
dolichol	4	0.038	4
mannose	4	0.038	4
synthesis	4	0.038	4
interacting	4	0.038	4
prkr	4	0.038	4
glycosyl	4	0.038	4
lactonase	4	0.038	7
bladed	4	0.038	7
propeller	4	0.038	7
permease	3	0.029	4
fatty	3	0.029	3
acyl	3	0.029	3
short	3	0.029	3
handed	3	0.029	3
right	3	0.029	3
peptidoglycan	3	0.029	3
signal	3	0.029	3
amino	3	0.029	4
associated	3	0.029	3
integral	3	0.029	3
protease	3	0.029	3
assembly	3	0.029	3
sigma	3	0.029	4
lyase	3	0.029	3
function	3	0.029	5
dioxygenase	3	0.029	3
phosphatidylinositol	3	0.029	3
lipase	3	0.029	3
bisphosphate	3	0.029	3
transcription	3	0.029	5
glycoside	3	0.029	3
biosynthesis	3	0.029	4
murj	3	0.029	3
sensor	3	0.029	3
haloacid	2	0.019	2
dehalogenase	2	0.019	2
flavin	2	0.019	3
ligase	2	0.019	2
hydroxylase	2	0.019	3
protection	2	0.019	2
tetracycline	2	0.019	2
pectinesterase	2	0.019	2
f420	2	0.019	2
class	2	0.019	2
isoform	2	0.019	6
lactamase	2	0.019	2
tetratricopeptide	2	0.019	2
exonuclease	2	0.019	2
aminotransferase	2	0.019	2
conserved	2	0.019	8
metallo	2	0.019	2
regulatory	2	0.019	2
unknown	2	0.019	4
alginate	2	0.019	2
aminopeptidase	2	0.019	2
anchored	2	0.019	2
rta1	2	0.019	2
wall	2	0.019	3
arabinofuranosidase	2	0.019	2
methyl	2	0.019	2
histone	2	0.019	2
fold	2	0.019	3
nitric	2	0.019	2
unit	2	0.019	2
hemocyanin	2	0.019	2
salivary	2	0.019	2
alcohol	2	0.019	2
phosphodiesterase	2	0.019	2
glucosidase	2	0.019	2
flu1	2	0.019	2
oxide	2	0.019	2
lipp	2	0.019	2
fluconazole	2	0.019	2
peroxisomal	2	0.019	2
gland	2	0.019	2
stress	2	0.019	2
lysine	2	0.019	2
central	2	0.019	2
cassette	2	0.019	3
transposase	2	0.019	2
pyruvate	2	0.019	2
isozyme	2	0.019	2
fkbp12	2	0.019	2
acetyl	2	0.019	2
transferring	2	0.019	2
lsd1	2	0.019	2
metallopeptidase	2	0.019	2
pyridoxal	2	0.019	3
phosphatidylserine	2	0.019	2
decarboxylase	2	0.019	2
nadp	2	0.019	2
parallel	2	0.019	2
duf2277	2	0.019	2
diguanylate	2	0.019	2
cyclase	2	0.019	2
duf6114	2	0.019	2
murein	2	0.019	2
thioester	2	0.019	2
duf6230	2	0.019	2
