pfam_id	pfam_name	n_queries	freq_all	freq_pfam	total
PF00069	Protein kinase domain	18	0.173	0.214	18
PF07690	Major Facilitator Superfamily	17	0.163	0.202	21
PF06236	Tyrosinase co-factor MelC1	15	0.144	0.179	26
PF00264	Common central domain of tyrosinase	14	0.135	0.167	24
PF01764	Lipase (class 3)	11	0.106	0.131	11
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	9	0.087	0.107	10
PF00005	ABC transporter	9	0.087	0.107	10
PF01545	Cation efflux transmembrane domain	9	0.087	0.107	10
PF13472	GDSL-like Lipase/Acylhydrolase family	8	0.077	0.095	9
PF00076	RNA recognition motif	8	0.077	0.095	8
PF08622	Svf1 family	8	0.077	0.095	8
PF15459	60S ribosome biogenesis protein Rrp14	8	0.077	0.095	8
PF04935	Surfeit locus protein 6	8	0.077	0.095	8
PF02146	Sir2 family	8	0.077	0.095	8
PF17187		8	0.077	0.095	8
PF06658	Protein of unknown function (DUF1168)	8	0.077	0.095	8
PF01261	Xylose isomerase-like TIM barrel	7	0.067	0.083	7
PF12796	Ankyrin repeats (3 copies)	7	0.067	0.083	8
PF00072	Response regulator receiver domain	6	0.058	0.071	6
PF00672	HAMP domain	6	0.058	0.071	6
PF03023	Lipid II flippase MurJ	6	0.058	0.071	6
PF00535	Glycosyl transferase family 2	6	0.058	0.071	6
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	6	0.058	0.071	8
PF13349	Toastrack DUF4097	6	0.058	0.071	6
PF00179	Ubiquitin-conjugating enzyme	6	0.058	0.071	8
PF10282	Lactonase, 7-bladed beta-propeller	6	0.058	0.071	10
PF07714	Protein tyrosine and serine/threonine kinase	6	0.058	0.071	7
PF08547	Complex I intermediate-associated protein 30 (CIA30)	6	0.058	0.071	6
PF19741	Family of unknown function (DUF6230)	5	0.048	0.060	5
PF00196	Bacterial regulatory proteins, luxR family	5	0.048	0.060	5
PF08241	Methyltransferase domain	5	0.048	0.060	5
PF03764	Elongation factor G, domain IV	5	0.048	0.060	5
PF00512	His Kinase A (phospho-acceptor) domain	5	0.048	0.060	6
PF02517	Type II CAAX prenyl endopeptidase Rce1-like	5	0.048	0.060	5
PF14492	Elongation Factor G, domain III	5	0.048	0.060	5
PF00679	Elongation factor G C-terminus	5	0.048	0.060	5
PF00009	Elongation factor Tu GTP binding domain	5	0.048	0.060	5
PF04082	Fungal specific transcription factor domain	5	0.048	0.060	5
PF00096	Zinc finger, C2H2 type	5	0.048	0.060	5
PF00106	short chain dehydrogenase	5	0.048	0.060	5
PF00067	Cytochrome P450	5	0.048	0.060	5
PF00933	Glycosyl hydrolase family 3 N terminal domain	5	0.048	0.060	5
PF05686	Glycosyl transferase family 90	5	0.048	0.060	5
PF08159	NUC153 domain	5	0.048	0.060	5
PF25121	ESF1 RRM domain	5	0.048	0.060	5
PF03134	TB2/DP1, HVA22 family	5	0.048	0.060	5
PF03109	ABC1 atypical kinase-like domain	5	0.048	0.060	5
PF00271	Helicase conserved C-terminal domain	5	0.048	0.060	5
PF00046	Homeodomain	5	0.048	0.060	5
PF00270	DEAD/DEAH box helicase	5	0.048	0.060	5
PF00440	Bacterial regulatory proteins, tetR family	4	0.038	0.048	4
PF05227	CHASE3 domain	4	0.038	0.048	4
PF19609	Family of unknown function (DUF6114)	4	0.038	0.048	4
PF01095	Pectinesterase	4	0.038	0.048	4
PF10041	Uncharacterized conserved protein (DUF2277)	4	0.038	0.048	4
PF00664	ABC transporter transmembrane region	4	0.038	0.048	5
PF01391	Collagen triple helix repeat (20 copies)	4	0.038	0.048	6
PF17667	Fungal protein kinase	4	0.038	0.048	6
PF24681	KLHDC2/KLHL20/DRC7 Kelch-repeats domain	4	0.038	0.048	4
PF20411	Domain of unknown function (DUF6697)	4	0.038	0.048	6
PF00651	BTB/POZ domain	4	0.038	0.048	4
PF00459	Inositol monophosphatase family	4	0.038	0.048	4
PF24883	Nephrocystin 3, N-terminal	4	0.038	0.048	10
PF14712	Snapin/Pallidin	4	0.038	0.048	4
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)	4	0.038	0.048	4
PF12937	F-box-like	4	0.038	0.048	5
PF01753	MYND finger	4	0.038	0.048	5
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold	4	0.038	0.048	5
PF13532	2OG-Fe(II) oxygenase superfamily	4	0.038	0.048	4
PF04433	SWIRM domain	4	0.038	0.048	4
PF04408	Helicase associated domain (HA2), winged-helix	4	0.038	0.048	4
PF00155	Aminotransferase class I and II	4	0.038	0.048	4
