keyword	n_queries	freq_of_all_queries	total_occurrences
rio1	35	0.761	36
amidohydrolase	27	0.587	27
transporter	26	0.565	31
kinase	26	0.565	41
carboxypeptidase	25	0.543	26
zinc	24	0.522	25
oxidoreductase	22	0.478	25
cutinase	19	0.413	19
superfamily	19	0.413	25
threonine	19	0.413	19
serine	19	0.413	19
major	18	0.391	19
facilitator	18	0.391	19
domain	17	0.370	39
riboflavin	12	0.261	12
esterase	11	0.239	11
pns1	10	0.217	10
metallocarboxypeptidase	10	0.217	10
dioxygenase	9	0.196	9
permease	9	0.196	9
phytanoyl	8	0.174	8
pathway	8	0.174	8
signal	8	0.174	8
sequence	8	0.174	8
acetylxylan	8	0.174	8
hydrolase	7	0.152	12
activator	7	0.152	7
lactose	7	0.152	7
twinfilin	6	0.130	6
gtpase	6	0.130	6
nuclear	6	0.130	6
slip	6	0.130	6
ytcj	6	0.130	6
dehydrogenase	6	0.130	10
beta	5	0.109	5
autophagy	5	0.109	5
short	5	0.109	8
p450	5	0.109	5
chain	5	0.109	8
biosynthesis	4	0.087	4
repeat	4	0.087	6
oxidase	4	0.087	4
ytet	4	0.087	4
monooxygenase	4	0.087	4
membrane	4	0.087	4
glycoside	3	0.065	3
binding	3	0.065	5
nacht	3	0.065	3
ankyrin	3	0.065	8
dependent	3	0.065	3
transferase	3	0.065	4
reductase	3	0.065	3
sterigmatocystin	3	0.065	3
feruloyl	3	0.065	3
nmra	3	0.065	3
glycosyl	3	0.065	3
sugar	3	0.065	3
lipa	3	0.065	3
methyltransferase	3	0.065	3
triphosphate	3	0.065	5
nucleoside	3	0.065	5
loop	3	0.065	5
choline	3	0.065	4
rossmann	2	0.043	2
allantoate	2	0.043	2
fold	2	0.043	2
glutathione	2	0.043	2
factor	2	0.043	2
nitroalkane	2	0.043	2
glucosidase	2	0.043	2
vegetative	2	0.043	3
incompatibility	2	0.043	3
synthase	2	0.043	2
isomerase	2	0.043	3
stcb	2	0.043	2
hexosaminidase	2	0.043	2
cytochrome	2	0.043	2
metalloprotease	2	0.043	2
plasma	2	0.043	2
dynamin	2	0.043	2
