product	n_queries	freq_of_all_queries	freq_of_queries_with_neighbours	total_occurrences
zinc carboxypeptidase	17	0.370	0.436	17
rio1 family protein	16	0.348	0.410	16
major facilitator superfamily transporter	16	0.348	0.410	17
cutinase	15	0.326	0.385	15
amidohydrolase	13	0.283	0.333	13
oxidoreductase	11	0.239	0.282	11
serine/threonine-protein kinase rio1	11	0.239	0.282	11
protein pns1	10	0.217	0.256	10
tat pathway signal sequence	8	0.174	0.205	8
riboflavin kinase	8	0.174	0.205	8
kinase activator	7	0.152	0.179	7
lactose permease	7	0.152	0.179	7
zinc carboxypeptidase a	6	0.130	0.154	7
amidohydrolase family protein	6	0.130	0.154	6
twinfilin-1	6	0.130	0.154	6
metallocarboxypeptidase a-like protein	6	0.130	0.154	6
serine threonine-protein kinase rio1	6	0.130	0.154	6
f-box domain protein	5	0.109	0.128	5
nuclear gtpase slip-gc	5	0.109	0.128	5
acetylxylan esterase 2	5	0.109	0.128	5
putative amidohydrolase ytcj	5	0.109	0.128	5
putative transporter	4	0.087	0.103	4
autophagy-related protein 17	4	0.087	0.103	4
putative oxidoreductase ytet	4	0.087	0.103	4
phytanoyl- dioxygenase family protein	4	0.087	0.103	4
nmra family protein	3	0.065	0.077	3
lipa and nb-arc domain-containing protein	3	0.065	0.077	3
rio kinase 1	2	0.043	0.051	2
wsc domain protein	2	0.043	0.051	2
phytanoyl-coa dioxygenase	2	0.043	0.051	2
nacht and ankyrin domain protein	2	0.043	0.051	2
riboflavin kinase (nb-arc domain protein)	2	0.043	0.051	2
nad-binding rossmann fold oxidoreductase family protein	2	0.043	0.051	2
ankyrin repeat and sam domain containing protein 6	2	0.043	0.051	2
gmc oxidoreductase	2	0.043	0.051	2
and nb-arc domain protein	2	0.043	0.051	2
putative beta-glucosidase l	2	0.043	0.051	2
nitroalkane oxidase	2	0.043	0.051	2
metallocarboxypeptidase a-like protein-like protein 1	2	0.043	0.051	2
putative feruloyl esterase	2	0.043	0.051	2
short-chain dehydrogenase tic 32	2	0.043	0.051	2
putative sterigmatocystin biosynthesis p450 monooxygenase stcb	2	0.043	0.051	2
putative oxidoreductase	2	0.043	0.051	2
beta-hexosaminidase	2	0.043	0.051	2
short-chain dehydrogenase	2	0.043	0.051	2
putative short-chain dehydrogenase	2	0.043	0.051	3
cytochrome p450	2	0.043	0.051	2
metalloprotease	2	0.043	0.051	2
sugar transporter	2	0.043	0.051	2
acetylxylan esterase	2	0.043	0.051	2
p-loop containing nucleoside triphosphate hydrolase protein	2	0.043	0.051	2
plasma-membrane choline transporter-domain-containing protein	2	0.043	0.051	2
putative major facilitator superfamily transporter	1	0.022	0.026	1
putative afua_2g17970 family ergot alkaloid biosynthesis protein	1	0.022	0.026	1
putative rio1 family protein	1	0.022	0.026	1
putative zinc carboxypeptidase	1	0.022	0.026	1
putative glycoside hydrolase family 2	1	0.022	0.026	1
putative cutinase	1	0.022	0.026	1
putative phytanoyl-coa dioxygenase	1	0.022	0.026	1
putative oxidoreductase family protein	1	0.022	0.026	1
putative amidohydrolase	1	0.022	0.026	1
allantoate permease (major facilitator superfamily transporter)	1	0.022	0.026	1
ankyrin repeat protein	1	0.022	0.026	1
acetyl xylanesterase (cutinase)	1	0.022	0.026	1
copper radical oxidase	1	0.022	0.026	1
putative glutathione s-transferase	1	0.022	0.026	1
small s protein	1	0.022	0.026	1
nad dependent epimerase	1	0.022	0.026	1
and ankyrin domain protein	1	0.022	0.026	1
wsc domain-containing protein	1	0.022	0.026	1
phytanoyl- dioxygenase	1	0.022	0.026	1
amine oxidase	1	0.022	0.026	1
translation initiation factor if-2	1	0.022	0.026	1
triple functional domain protein	1	0.022	0.026	1
vegetative incompatibility protein het-e-1	1	0.022	0.026	1
d-erythrulose-4-phosphate isomerase 1	1	0.022	0.026	1
nitrogen assimilation transcription factor nit-4-like protein 3	1	0.022	0.026	1
vegetative incompatibility protein het-e-1-like protein 8	1	0.022	0.026	1
lovastatin diketide synthase lovf 5	1	0.022	0.026	1
dihydroxyacetone kinase	1	0.022	0.026	1
vegetative incompatibility protein het-e-1-like protein 7	1	0.022	0.026	1
nuclear gtpase slip-gc 2	1	0.022	0.026	1
putative triosephosphate isomerase 1	1	0.022	0.026	1
putative amidohydrolase ytcj 1	1	0.022	0.026	1
putative pinoresinol-lariciresinol reductase 3	1	0.022	0.026	1
metallocarboxypeptidase a	1	0.022	0.026	1
putative sterigmatocystin biosynthesis p450 monooxygenase	1	0.022	0.026	1
retinol dehydrogenase 12	1	0.022	0.026	1
