keyword	n_queries	freq_of_all_queries	total_occurrences
domain	47	0.264	101
transporter	41	0.230	63
alpha	28	0.157	30
hydrolase	24	0.135	34
factor	22	0.124	25
methyltransferase	21	0.118	21
superfamily	21	0.118	28
binding	20	0.112	27
major	19	0.107	19
facilitator	18	0.101	18
cytochrome	17	0.096	19
transcription	16	0.090	18
mitochondrial	16	0.090	19
peptidase	15	0.084	17
dependent	14	0.079	16
reductase	14	0.079	15
beta	14	0.079	16
p450	13	0.073	15
kinase	13	0.073	13
glycoside	12	0.067	12
fungal	11	0.062	11
ligase	11	0.062	11
dehydrogenase	11	0.062	14
monooxygenase	11	0.062	13
mrna	11	0.062	11
trna	10	0.056	10
synthase	10	0.056	10
transferase	9	0.051	9
specific	9	0.051	12
complex	9	0.051	11
permease	9	0.051	9
regulator	9	0.051	12
ribosomal	8	0.045	8
ankyrin	8	0.045	8
splicing	8	0.045	8
repeat	8	0.045	8
activator	8	0.045	8
helicase	8	0.045	8
glutamate	7	0.039	7
ubiquitin	7	0.039	7
oxidoreductase	7	0.039	8
acid	7	0.039	7
nucleoside	7	0.039	7
positive	7	0.039	7
acyltransferase	7	0.039	7
dehydratase	7	0.039	7
oxidase	7	0.039	7
oxoprolinase	7	0.039	7
endo	6	0.034	7
phosphatase	6	0.034	7
phosphate	6	0.034	6
associated	6	0.034	7
bifunctional	6	0.034	6
cobalamin	6	0.034	6
lysosomal	6	0.034	6
acetyltransferase	6	0.034	6
biosynthesis	6	0.034	6
loop	6	0.034	6
finger	6	0.034	7
zinc	6	0.034	7
cellulose	5	0.028	5
endonuclease	5	0.028	5
terminal	5	0.028	5
processing	5	0.028	5
substrate	5	0.028	5
alcohol	5	0.028	5
general	5	0.028	5
triphosphate	5	0.028	5
glycosyltransferase	5	0.028	5
transcriptional	5	0.028	5
aminopeptidase	5	0.028	5
membrane	5	0.028	5
nitrogen	5	0.028	9
mannosyltransferase	5	0.028	5
carrier	5	0.028	5
hydrolyzing	5	0.028	5
tyrosinase	5	0.028	5
repair	5	0.028	5
mannosidase	4	0.022	4
mannan	4	0.022	4
hydratase	4	0.022	4
directed	4	0.022	4
multidrug	4	0.022	4
carbohydrate	4	0.022	4
amino	4	0.022	4
glucosidase	4	0.022	4
serine	4	0.022	4
decarboxylase	4	0.022	5
allantoate	4	0.022	4
induced	4	0.022	4
heat	4	0.022	4
atpase	4	0.022	4
pathway	4	0.022	8
dipeptidyl	4	0.022	4
inositol	4	0.022	4
incompatibility	4	0.022	4
nadh	4	0.022	4
methionine	4	0.022	4
cassette	4	0.022	5
sap61	4	0.022	4
rhogap	3	0.017	3
regulatory	3	0.017	3
small	3	0.017	3
sugar	3	0.017	3
glycosyl	3	0.017	4
trio	3	0.017	3
particle	3	0.017	3
cral	3	0.017	3
lanosterol	3	0.017	3
threonine	3	0.017	3
ceramide	3	0.017	3
enzyme	3	0.017	3
thiamine	3	0.017	3
hyua	3	0.017	3
metalloproteinase	3	0.017	3
chip3	3	0.017	3
hard	3	0.017	3
surface	3	0.017	3
hyub	3	0.017	3
aeruginosa	3	0.017	3
mannosyltransferases	3	0.017	3
esterase	3	0.017	3
nucleotide	3	0.017	3
acyl	3	0.017	3
isochorismatase	3	0.017	3
lyase	3	0.017	4
methyltransferas	3	0.017	3
cyclase	3	0.017	3
histone	3	0.017	3
precursor	3	0.017	3
synthetase	3	0.017	3
catalytic	3	0.017	3
mcm2	3	0.017	3
choline	3	0.017	4
polymerase	3	0.017	3
acylaminoacyl	3	0.017	3
polyphosphate	3	0.017	3
fyve	3	0.017	3
heterokaryon	3	0.017	3
nitrilase	3	0.017	3
duf3328	3	0.017	7
nacht	3	0.017	3
amidohydrolase	3	0.017	3
oligopeptide	3	0.017	4
inner	3	0.017	3
maltose	3	0.017	3
adenosyl	3	0.017	3
mismatch	3	0.017	3
transport	3	0.017	3
signal	3	0.017	4
glucoside	3	0.017	3
snq2	3	0.017	4
opi1	3	0.017	3
pyrophosphatase	3	0.017	3
hydroxylase	2	0.011	2
dioxygenase	2	0.011	2
nuclear	2	0.011	2
enoyl	2	0.011	2
anaphase	2	0.011	2
promoting	2	0.011	2
lysine	2	0.011	2
nucleolar	2	0.011	2
vacuolar	2	0.011	2
carboxypeptidase	2	0.011	2
module	2	0.011	2
nadph	2	0.011	2
component	2	0.011	3
recombination	2	0.011	2
glucosyltransferase	2	0.011	2
rec12	2	0.011	2
meiotic	2	0.011	2
anion	2	0.011	2
canalicular	2	0.011	2
organic	2	0.011	2
multispecific	2	0.011	2
wall	2	0.011	2
pyruvate	2	0.011	2
chaperone	2	0.011	2
cell	2	0.011	2
metal	2	0.011	2
dcw1	2	0.011	2
secreted	2	0.011	2
sterigmatocystin	2	0.011	2
ring	2	0.011	2
lectin	2	0.011	2
pectin	2	0.011	3
translation	2	0.011	2
glutathione	2	0.011	2
initiation	2	0.011	2
thioesterase	2	0.011	2
chain	2	0.011	2
tubulin	2	0.011	2
dnaj	2	0.011	2
shock	2	0.011	2
deacetylase	2	0.011	2
succinate	2	0.011	2
aminotransferase	2	0.011	2
fas1	2	0.011	2
motif	2	0.011	2
transporting	2	0.011	2
diphospho	2	0.011	2
licensing	2	0.011	2
replication	2	0.011	2
peptide	2	0.011	2
nonribosomal	2	0.011	2
cysteine	2	0.011	2
metallo	2	0.011	2
ubiquitinyl	2	0.011	2
peroxin	2	0.011	2
cluster	2	0.011	2
binuclear	2	0.011	2
hydroxyacyl	2	0.011	2
allele	2	0.011	2
arabinose	2	0.011	2
pump	2	0.011	2
ara1	2	0.011	2
responsive	2	0.011	2
nitrile	2	0.011	2
efflux	2	0.011	2
nit4b	2	0.011	2
hydroxy	2	0.011	2
cyclochlorotine	2	0.011	2
alkanesulfonate	2	0.011	2
flavin	2	0.011	2
glucose	2	0.011	3
aryl	2	0.011	2
exonuclease	2	0.011	2
sterol	2	0.011	2
mal61	2	0.011	2
tim44	2	0.011	2
pppde	2	0.011	2
translocase	2	0.011	2
region	2	0.011	2
ustya	2	0.011	2
polyamine	2	0.011	2
arginine	2	0.011	2
rev1	2	0.011	2
dotsedraft	2	0.011	3
cdc2	2	0.011	2
cyclohydrolase	2	0.011	2
cmgc	2	0.011	2
