pfam_id	pfam_name	n_queries	freq_of_all_queries	freq_of_queries_with_pfam	total_occurrences
PF11807	Mycotoxin biosynthesis protein UstYa	72	0.404	0.554	126
PF07690	Major Facilitator Superfamily	53	0.298	0.408	60
PF04082	Fungal specific transcription factor domain	40	0.225	0.308	42
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	38	0.213	0.292	43
PF20684	Fungal rhodopsin domain	32	0.180	0.246	38
PF00067	Cytochrome P450	25	0.140	0.192	31
PF06985	Heterokaryon incompatibility protein (HET)	25	0.140	0.192	31
PF00005	ABC transporter	24	0.135	0.185	24
PF01432	Peptidase family M3	23	0.129	0.177	23
PF00664	ABC transporter transmembrane region	20	0.112	0.154	20
PF00083	Sugar (and other) transporter	20	0.112	0.154	21
PF00891	O-methyltransferase domain	18	0.101	0.138	21
PF01757	Acyltransferase domain	17	0.096	0.131	17
PF11951	Fungal specific transcription factor domain	16	0.090	0.123	18
PF00734	Fungal cellulose binding domain	15	0.084	0.115	16
PF00069	Protein kinase domain	15	0.084	0.115	16
PF24883	Nephrocystin 3, N-terminal	14	0.079	0.108	14
PF03443	Auxiliary Activity family 9 (formerly GH61)	14	0.079	0.108	15
PF00501	AMP-binding enzyme	14	0.079	0.108	15
PF05378	Hydantoinase/oxoprolinase N-terminal region	14	0.079	0.108	14
PF01968	Hydantoinase/oxoprolinase	14	0.079	0.108	14
PF19278	Hydantoinase/oxoprolinase C-terminal domain	14	0.079	0.108	14
PF02538	Hydantoinase B/oxoprolinase	14	0.079	0.108	14
PF00106	short chain dehydrogenase	13	0.073	0.100	13
PF12796	Ankyrin repeats (3 copies)	13	0.073	0.100	15
PF26639	Het-6 beta-barrel domain	13	0.073	0.100	13
PF01494	FAD binding domain	11	0.062	0.085	12
PF00749	tRNA synthetases class I (E and Q), catalytic domain	11	0.062	0.085	11
PF00153	Mitochondrial carrier protein	10	0.056	0.077	10
PF08240	Alcohol dehydrogenase GroES-like domain	10	0.056	0.077	10
PF00175	Oxidoreductase NAD-binding domain	10	0.056	0.077	10
PF24357	ABC transporter TMD0 domain	9	0.051	0.069	9
PF00732	GMC oxidoreductase	9	0.051	0.069	11
PF05199	GMC oxidoreductase	9	0.051	0.069	11
PF20974	tRNA synthetases class I (E and Q), anti-codon binding domain	9	0.051	0.069	9
PF00270	DEAD/DEAH box helicase	9	0.051	0.069	9
PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain	9	0.051	0.069	9
PF00271	Helicase conserved C-terminal domain	9	0.051	0.069	9
PF12697	Alpha/beta hydrolase family	8	0.045	0.062	9
PF00550	Phosphopantetheine attachment site	8	0.045	0.062	10
PF23726	RSE1/DDB1/CPSF1 second beta-propeller	8	0.045	0.062	8
PF10433	RSE1/DDB1/CPSF1 first beta-propeller	8	0.045	0.062	8
PF22586	ANCHR-like B-box zinc-binding domain	8	0.045	0.062	8
PF03178	CPSF A subunit region	8	0.045	0.062	8
PF04791	LMBR1-like membrane protein	8	0.045	0.062	8
PF11051	Mannosyltransferase putative	8	0.045	0.062	8
PF00970	Oxidoreductase FAD-binding domain	8	0.045	0.062	8
PF14479	Prion-inhibition and propagation	8	0.045	0.062	8
PF00226	DnaJ domain	8	0.045	0.062	8
PF00743	Flavin-binding monooxygenase-like	8	0.045	0.062	9
PF00264	Common central domain of tyrosinase	8	0.045	0.062	8
PF00668	Condensation domain	7	0.039	0.054	7
PF00400	WD domain, G-beta repeat	7	0.039	0.054	7
PF00687	Ribosomal protein L1p/L10e family	7	0.039	0.054	7
PF01266	FAD dependent oxidoreductase	7	0.039	0.054	7
PF00620	RhoGAP domain	6	0.034	0.046	6
PF00023	Ankyrin repeat	6	0.034	0.046	7
PF02458	Transferase family	6	0.034	0.046	6
PF05368	NmrA-like family	6	0.034	0.046	6
PF00248	Aldo/keto reductase family	6	0.034	0.046	6
PF14248	Domain of unknown function (DUF4345)	6	0.034	0.046	6
PF13489	Methyltransferase domain	6	0.034	0.046	6
PF00107	Zinc-binding dehydrogenase	6	0.034	0.046	6
PF13520	Amino acid permease	6	0.034	0.046	6
PF25053	Domain of unknown function (DUF7791)	6	0.034	0.046	6
PF12171	Zinc-finger double-stranded RNA-binding	6	0.034	0.046	6
PF16837	Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9	6	0.034	0.046	6
PF11931	SF3a60/Prp9 C-terminal	6	0.034	0.046	6
PF01565	FAD binding domain	6	0.034	0.046	6
PF01556	DnaJ C terminal domain	6	0.034	0.046	6
PF24476	Domain of unknown function (DUF7580)	5	0.028	0.038	5
PF20150	2EXR family	5	0.028	0.038	5
PF13561	Enoyl-(Acyl carrier protein) reductase	5	0.028	0.038	5
PF17855	MCM AAA-lid domain	5	0.028	0.038	5
PF14551	MCM N-terminal domain	5	0.028	0.038	5
PF17207	MCM OB domain	5	0.028	0.038	5
PF00493	MCM P-loop domain	5	0.028	0.038	5
PF00378	Enoyl-CoA hydratase/isomerase	5	0.028	0.038	5
PF00004	ATPase family associated with various cellular activities (AAA)	5	0.028	0.038	5
PF00150	Cellulase (glycosyl hydrolase family 5)	5	0.028	0.038	5
PF00258	Flavodoxin	5	0.028	0.038	5
PF00082	Subtilase family	5	0.028	0.038	5
PF08316	Pal1 cell morphology protein	5	0.028	0.038	5
PF00149	Calcineurin-like phosphoesterase	5	0.028	0.038	5
PF01476	LysM domain	5	0.028	0.038	5
PF01915	Glycosyl hydrolase family 3 C-terminal domain	5	0.028	0.038	5
PF14310	Fibronectin type III-like domain	5	0.028	0.038	5
PF01636	Phosphotransferase enzyme family	5	0.028	0.038	5
PF12108	Splicing factor SF3a60 binding domain	5	0.028	0.038	5
PF06422	CDR ABC transporter	5	0.028	0.038	5
PF01061	ABC-2 type transporter	5	0.028	0.038	6
PF14510	ABC-transporter N-terminal	5	0.028	0.038	5
PF00684	DnaJ central domain	5	0.028	0.038	5
PF00488	MutS domain V	5	0.028	0.038	5
PF05192	MutS domain III	5	0.028	0.038	5
PF02207	Putative zinc finger in N-recognin (UBR box)	4	0.022	0.031	4
PF03663	Glycosyl hydrolase family 76	4	0.022	0.031	4
PF05721	Phytanoyl-CoA dioxygenase (PhyH)	4	0.022	0.031	4
PF13181	Tetratricopeptide repeat	4	0.022	0.031	4
PF00076	RNA recognition motif	4	0.022	0.031	5
PF00583	Acetyltransferase (GNAT) family	4	0.022	0.031	4
PF00324	Amino acid permease	4	0.022	0.031	4
PF03169	OPT oligopeptide transporter protein	4	0.022	0.031	5
PF00171	Aldehyde dehydrogenase family	4	0.022	0.031	4
PF13193	AMP-binding enzyme C-terminal domain	4	0.022	0.031	4
PF00933	Glycosyl hydrolase family 3 N terminal domain	4	0.022	0.031	4
PF09297	NADH pyrophosphatase zinc ribbon domain	4	0.022	0.031	4
PF00293	NUDIX domain	4	0.022	0.031	4
PF09296	NADH pyrophosphatase-like rudimentary NUDIX domain	4	0.022	0.031	4
PF06148	COG2 N-terminal	4	0.022	0.031	4
PF07110	EthD domain	4	0.022	0.031	4
PF08618	Transcription factor Opi1	4	0.022	0.031	4
PF13649	Methyltransferase domain	4	0.022	0.031	4
PF00117	Glutamine amidotransferase class-I	4	0.022	0.031	4
