product	n_queries	freq_of_all_queries	freq_of_queries_with_neighbours	total_occurrences	closest_offset
major facilitator superfamily transporter	12	0.067	0.126	12	3
mfs general substrate transporter	5	0.028	0.053	5	4
p-loop containing nucleoside triphosphate hydrolase protein	5	0.028	0.053	5	3
het-domain-containing protein	5	0.028	0.053	6	2
acyltransferase	5	0.028	0.053	5	1
rna helicase	5	0.028	0.053	5	2
cytochrome p450	4	0.022	0.042	4	6
major facilitator superfamily domain-containing protein	4	0.022	0.042	4	4
positive activator of transcription	4	0.022	0.042	4	1
mitochondrial phosphate carrier protein	4	0.022	0.042	4	3
5-oxoprolinase (atp-hydrolyzing)	4	0.022	0.042	4	2
pre-mrna-splicing factor sap61	4	0.022	0.042	4	1
glutamate--trna ligase	4	0.022	0.042	4	1
abc transporter	3	0.017	0.032	3	4
related to hard surface induced protein 3 (chip3)	3	0.017	0.032	3	1
related to pre-mrna 3`-end processing factor cf ii	3	0.017	0.032	3	9
probable lysosomal cobalamin transporter	3	0.017	0.032	3	8
related to alpha-1,3-mannosyltransferases	3	0.017	0.032	3	6
related to metalloproteinase	3	0.017	0.032	3	2
related to p. aeruginosa hyua and hyub	3	0.017	0.032	3	4
related to positive activator of transcription	3	0.017	0.032	3	3
related to allantoate permease	3	0.017	0.032	3	4
related to cytochrome-b5 reductase, mitochondrial	3	0.017	0.032	3	5
o-methyltransferas-like protein	3	0.017	0.032	3	1
o-methyltransferase	3	0.017	0.032	3	1
pathway-specific nitrogen regulator	3	0.017	0.032	6	2
dipeptidyl aminopeptidase acylaminoacyl-peptidase related protein	3	0.017	0.032	3	4
lysosomal cobalamin transporter	3	0.017	0.032	3	6
cytochrome-b5 reductase	3	0.017	0.032	3	3
tyrosinase	3	0.017	0.032	3	1
fungal cellulose binding domain-containing protein	3	0.017	0.032	3	1
nadh pyrophosphatase	3	0.017	0.032	3	2
atp-binding cassette transporter snq2	3	0.017	0.032	4	5
transcriptional regulator opi1	3	0.017	0.032	3	8
peptidase family m3	2	0.011	0.021	2	1
cytochrome p450 monooxygenase	2	0.011	0.021	2	6
ceramide glucosyltransferase	2	0.011	0.021	2	3
alpha n-terminal protein methyltransferase 1	2	0.011	0.021	2	8
meiotic recombination protein rec12	2	0.011	0.021	2	6
canalicular multispecific organic anion transporter 1	2	0.011	0.021	2	1
alpha/beta-hydrolase	2	0.011	0.021	2	5
heat repeat protein	2	0.011	0.021	2	7
plp-dependent transferase	2	0.011	0.021	2	2
methyltransferase	2	0.011	0.021	2	4
nad(p)-binding protein	2	0.011	0.021	2	4
fas1 domain-containing protein	2	0.011	0.021	2	6
nucleotide-diphospho-sugar transferase	2	0.011	0.021	2	1
alcohol oxidase	2	0.011	0.021	2	3
dna replication licensing factor mcm2	2	0.011	0.021	2	1
