keyword	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
(afu_orthologue;	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	14
(eurofung)	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4
(glutamine-hydrolyzing)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3
(het-6or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
(mfs)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
(nadph)	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(otrb)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8
(strain	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	12	3
(tyr-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
1,3-beta-glucosidase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9
1-like	0	0	0	68	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3
1-phosphatidylinositol-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
1-phosphatidylinositol-4,5-bisphosphate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1
10-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12
2,3-dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
2-dehydrogenase	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6
2-hydroxyacid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2-like	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
2-thiolation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
24-c-methyltransferase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
