subgroup	n_queries	n_flanking_genes	avg_flanking	top_keywords	top_products
AUS	2	0	0.0		
CaOx	6	0	0.0		
DCT	5	0	0.0		
DCT_DHICA	1275	13725	10.8	isoform(280); factor(271); gpc6(233); dehydratase(209); tgds(207); subunit(206); gp180(178); glucosyltransferase(161); domain(145); uggg2(143); lur1l(139); receptor(125); transporter(111); complex(111); phosphatase(107)	gpc6 protein(227); tgds dehydratase(202); gp180 protein(178); uggg2 glucosyltransferase(143); lur1l protein(139); hypothetical predicted protein(93); mrp4 protein(84); cld10 protein(77); mpdz protein(75); dnjc3 protein(75)
DHICA_ox	6	0	0.0		
TYR	39	186	4.8	transcriptional(9); conserved(8); unknown(7); transporter(7); function(6); regulator(6); transporter,(5); fimbrial(4); assembly(4); transmembrane(4); hydrolase(4); superfamily(4); permease(4); type-4(3); membrane(3)	conserved hypothetical protein(5); conserved protein of unknown function(2); putative transmembrane protein(2); fmn-dependent nadh-azoreductase 2(2); putative acyltransferase(2); transcriptional regulator, gntr family(2); fimbrial assembly protein pilq(1); putative fimbrial type-4 assembly lipoprotein(1); putative fimbrial type-4 assembly membrane transmembrane protein(1); type iv pilus biogenesis protein piln(1)
binuclear_AspCuB	1	1	1.0		
binuclear_TyrCuA	1	20	20.0	hydrolase(2); gamma-tubulin(1); complex,(1); dgrip91/spc98(1); component(1); arginine(1); n-methyltransferase(1); peptidyl-trna(1); hemolysin-iii(1); related-domain-containing(1); ras-induced(1); vulval(1); development(1); antagonist-domain-containing(1); glycoside(1)	gamma-tubulin complex, dgrip91/spc98 component protein(1); protein arginine n-methyltransferase(1); peptidyl-trna hydrolase(1); hemolysin-iii related-domain-containing protein(1); ras-induced vulval development antagonist-domain-containing protein(1); glycoside hydrolase family 92 protein(1); actin interacting protein 3-domain-containing protein(1)
binuclear_TyrCuB	1	20	20.0	polymerase(1); delta(1); subunit(1); protein,(1); variant(1); ulk/ulk(1); kinase(1); mannose-1-phosphate(1); guanyltransferase(1)	dna polymerase delta subunit 1(1); hypothetical protein, variant(1); ulk/ulk protein kinase(1); mannose-1-phosphate guanyltransferase(1)
biosynthetic	4	60	15.0	conserved(16); (afu_orthologue;(11); (eurofung)(8); transcription(3); acid(3); factor(3); polyketide(2); transporter(2); zn(ii)2cys6(2); domain(2); factor,(1); afua_4g00710)(1); similar(1); synthase(1); (broad)(1)	conserved hypothetical protein(16); putative zn(ii)2cys6 transcription factor (eurofung)(2); c6 transcription factor, putative (afu_orthologue; afua_4g00710)(1); hypothetical protein similar to polyketide synthase (broad)(1); oxidoreductase, putative (afu_orthologue; afua_5g01250)(1); arabinoxylan arabinofuranohydrolase (eurofung)(1); polyketide synthase, putative (jcvi)(1); beta-glucosidase (eurofung)(1); amino acid transporter (eurofung)(1); 2-haloalkanoic acid dehalogenase, putative (afu_orthologue; afua_8g05870)(1)
hemocyanin	343	3923	11.4	unnamed(96); product(96); protein,(65); variant(63); domain(58); transporter(51); subunit(37); hydrolase(25); unknown(23); function(23); reductase(22); methyltransferase(21); phosphatase(20); factor(20); phosphatidylinositide(18)	unnamed protein product(96); hypothetical protein, variant(17); hypothetical protein, variant 2(17); hypothetical protein, variant 1(15); phosphatidylinositide phosphatase sac1(15); putative protein of unknown function(14); common central domain of tyrosinase(13); hypothetical predicted protein(12); hypothetical protein, variant 3(11); methyltransferase-like protein(9)
mononuclear_AspCuB_Zn	1	20	20.0	gfo/idh/moca(1); t9ss(1); sorting(1); duf2911(1); helix-turn-helix(1); metallophosphoesterase(1); bifunctional(1); aspartate(1); kinase/homoserine(1); dehydrogenase(1); homoserine(1); kinase(1); threonine(1); synthase(1); duf1059(1)	gfo/idh/moca family protein(1); t9ss type a sorting domain-containing protein(1); duf2911 domain-containing protein(1); helix-turn-helix domain-containing protein(1); metallophosphoesterase(1); bifunctional aspartate kinase/homoserine dehydrogenase i(1); homoserine kinase(1); threonine synthase(1); duf1059 domain-containing protein(1); m36 family metallopeptidase(1)
mononuclear_CuA_loss	1	16	16.0	5-methylthioadenosine/s-adenosylhomocysteine(1); deaminase(1); dna-directed(1); polymerase(1); subunit(1)	5-methylthioadenosine/s-adenosylhomocysteine deaminase(1); dna-directed rna polymerase iii subunit(1)
mononuclear_CuB_loss	1	20	20.0	-like(2); mannosyl-oligosaccharide(1); glucosidase(1); atp-binding(1); cassette(1); sub-family(1); member(1); replication(1); subunit(1); forkhead(1); pyruvate(1); dehydrogenase(1); component,(1); mitochondrial(1); histone-lysine(1)	putative mannosyl-oligosaccharide glucosidase(1); atp-binding cassette sub-family f member 3(1); replication protein a 32 kda subunit(1); forkhead box protein k1(1); pyruvate dehydrogenase protein x component, mitochondrial(1); histone-lysine n-methyltransferase, h3 lysine-79 specific(1); rho gdp-dissociation inhibitor 1(1); dna repair protein -like protein(1); protein ubash3a -like protein(1); tryptophan 5-hydroxylase 1(1)
mononuclear_LeuCuA	1	20	20.0	kinase(2); integral(2); membrane(2); sed5(2); phytoene(1); dehydrogenase(1); al-1(1); [nu+](1); prion(1); formation(1); wis1(1); eisosomes(1); component(1)	integral membrane protein sed5(2); phytoene dehydrogenase al-1(1); [nu+] prion formation protein 1(1); map kinase kinase wis1(1); eisosomes component(1)
mononuclear_ProCuB	1	2	2.0	prolyl(1); 4-hydroxylase,(1); alpha(1); subunit(1); peptidase(1)	prolyl 4-hydroxylase, alpha subunit(1); peptidase family m3(1)
neither_Microbispora	1	20	20.0	dehydrogenase(2); atp-dependent(2); ligase(2); polymerase(1); sigma-e(1); factor(1); acyl-coa(1); peroxiredoxin(1); glycogen(1); operon(1); glgx(1); homolog(1); class(1); glutamine(1); amidotransferase(1)	atp-dependent dna ligase(2); rna polymerase sigma-e factor(1); acyl-coa dehydrogenase(1); peroxiredoxin(1); glycogen operon protein glgx homolog(1); class ii glutamine amidotransferase(1); glutamate decarboxylase(1); peptide-methionine (r)-s-oxide reductase(1); short-chain dehydrogenase(1); protoporphyrinogen oxidase(1)
neither_liverfluke	1	14	14.0	subunit(2); tyrosinase(2); alpha(2); origin(1); recognition(1); complex(1); protocadherin(1); large(1); ribosomal(1); l31e(1); nadh(1); dehydrogenase(1); (ubiquinone)(1); subcomplex(1); guanine(1)	tyrosinase(2); origin recognition complex subunit 2(1); protocadherin fat 1(1); large subunit ribosomal protein l31e(1); nadh dehydrogenase (ubiquinone) 1 alpha subcomplex 8(1); guanine nucleotide binding protein (g protein) alpha q polypeptide(1)
oAPO	883	12660	14.3	transporter(199); hydrolase(173); domain(148); kinase(144); dehydrogenase(128); subunit(128); cytochrome(122); p450(116); di-copper(109); centre-containing(109); factor(105); oxidoreductase(99); superfamily(96); synthase(86); transcription(78)	di-copper centre-containing protein(109); cytochrome p450(61); alpha/beta hydrolase protein(40); major facilitator superfamily domain-containing protein(33); mfs transporter(31); mfs general substrate transporter(30); s-adenosyl-l-methionine-dependent methyltransferase(28); heterokaryon incompatibility protein-domain-containing protein(24); tyrosinase(21); transmembrane protein, putative(19)
oMP	1315	22961	17.5	transporter(429); hydrolase(387); subunit(337); factor(238); superfamily(228); domain(219); membrane(197); dehydrogenase(193); synthase(177); major(172); facilitator(170); transcription(146); cytochrome(145); incompatibility(139); oxidase(136)	major facilitator superfamily domain-containing protein(90); heterokaryon incompatibility protein-domain-containing protein(78); major facilitator superfamily transporter(53); integral membrane protein(51); s-adenosyl-l-methionine-dependent methyltransferase(50); p-loop containing nucleoside triphosphate hydrolase protein(48); integral membrane family protein(45); cytochrome p450(44); conserved hypothetical protein(40); kinase-like domain-containing protein(39)
