product	E195R	F227W	F65L_W68A_R209Y	F65L_W68A_other	G46N_helix	H230Y_5pos
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase 1	0	1	0	0	0	3
2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate synthase	0	0	0	0	11	0
2-amino-4, 5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	0	0	0	0	3	0
2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase	0	0	0	0	3	0
3-amino-4-hydroxybenzoic acid synthase	0	0	0	0	7	0
3-dehydroquinate synthase ii	0	0	0	0	8	0
3-dehydroquinate synthase ii family protein	0	0	0	0	3	0
3-oxoacyl-[acyl-carrier protein] reductase	0	3	0	0	0	0
40s ribosomal protein s30	0	3	0	0	0	0
60s ribosomal protein l31b	0	3	0	0	0	0
abc transporter permease	0	0	0	0	4	3
abc transporter substrate-binding protein	0	0	0	0	1	7
acid phosphatase	0	3	0	0	0	0
acyl esterase	0	1	0	0	0	3
acyl-coa dehydrogenase	0	0	0	0	2	3
acyl-coa n-acyltransferase	0	0	3	0	0	1
aerolysin	8	0	0	0	0	0
aerolysin-3	4	0	0	0	0	0
afsr/sarp family transcriptional regulator	0	0	0	0	6	0
aldehyde dehydrogenase family protein	0	0	0	0	8	1
alkylphosphocholine resistance protein lem3	0	3	0	0	0	0
alpha/beta hydrolase protein	0	0	7	1	0	3
amidase signature domain-containing protein	0	0	3	0	0	2
amidohydrolase	0	0	0	0	3	0
amp-binding protein	0	0	0	0	4	0
ankyrin repeat domain-containing protein 16	4	0	0	0	0	0
ankyrin repeat-containing domain protein	0	0	12	0	0	0
ap-1 adaptor complex mu subunit apm1	0	6	0	0	0	0
arp complex subunit	0	4	0	0	0	0
asnc family transcriptional regulator	0	0	0	0	0	6
asparagine synthase (glutamine-hydrolyzing)	0	0	0	0	6	0
aspartate kinase	0	0	0	0	12	0
atp-binding cassette domain-containing protein	0	0	0	0	3	3
benzoate 4-monooxygenase cytochrome p450	0	1	0	0	0	3
beta-glucosidase	0	3	0	0	0	0
beta-lactamase-like protein 2	3	0	0	0	0	0
bifunctional glutathione transferase/peroxidase	0	0	5	0	0	0
biological adhesion	6	0	0	0	0	0
biopolymer transporter exbd	0	0	0	0	0	4
btad domain-containing putative transcriptional regulator	0	0	0	0	3	0
carbohydrate sulfotransferase 4	3	0	0	0	0	0
carboxylesterase family protein	0	0	0	0	3	0
cd5 antigen	0	0	0	0	6	0
centrosomal protein cep89	0	0	0	0	5	0
chromatin modification-related protein yng2	3	0	0	0	0	0
cilia- and flagella-associated protein 77 isoform x2	0	0	0	0	4	0
cnt family concentrative nucleoside transporter	0	4	0	0	0	0
concanavalin a-like lectin/glucanase domain-containing protein	0	0	12	1	0	0
copper transporter	0	0	0	0	3	0
cysteinyl leukotriene receptor 2	0	0	0	0	6	0
cytochrome c oxidase subunit 6, mitochondrial	0	3	0	0	0	0
cytochrome c oxidase subunit vb-domain-containing protein	0	0	5	1	0	0
cytochrome p450	0	0	10	0	3	2
d-alanyl-d-alanine carboxypeptidase	0	0	0	0	3	0
deleted in malignant brain tumors 1 protein	0	0	0	0	6	0
deubiquitinating enzyme	0	4	0	0	0	0
dihydroxy-acid and 6-phosphogluconate dehydratase	0	0	6	0	0	0
dihydroxy-acid dehydratase ilv3	0	3	0	0	0	0
dihydroxy-acid/6-phosphogluconate dehydratase	0	0	4	2	0	0
dna repair protein rad50	0	3	0	0	0	0
energy transducer tonb	0	0	0	0	0	4
f-box only protein 18	4	0	0	0	0	0
fad-binding oxidoreductase	0	0	0	0	14	0
fad/nad(p)-binding domain-containing protein	0	0	4	0	0	0
fatty-acid amide hydrolase 2	3	0	0	0	0	0
ferrioxamine b transporter	0	0	4	0	0	0
filamentous hemagglutinin family protein	0	0	0	0	0	5
filamentous hemagglutinin n-terminal domain-containing protein	0	0	0	0	0	3
fructose-bisphosphate aldolase	0	0	0	0	3	0
galanin receptor type 2	3	0	0	0	0	0
glxa family transcriptional regulator	0	0	0	0	0	3
glycolipid 2-alpha-mannosyltransferase-domain-containing protein	0	0	4	0	0	0
glycoside hydrolase	0	0	5	0	0	4
glycosyltransferase family 15 protein	0	0	3	1	0	0
gntr family transcriptional regulator	0	0	0	0	0	3
gpp34 family phosphoprotein	0	0	0	0	3	0
gtpase activating protein (gap)	0	3	0	0	0	0
helix-turn-helix domain-containing protein	0	0	0	0	4	2
helix-turn-helix transcriptional regulator	0	0	0	0	9	1
hemicentin-1	3	0	0	0	0	0
het-domain-containing protein	0	0	4	0	1	0
heterokaryon incompatibility protein-domain-containing protein	0	0	17	0	0	6
hypothetical predicted protein	14	0	0	0	4	0
hypothetical protein, variant	2	0	0	0	3	0
indoleamine 2,3-dioxygenase	0	0	4	0	0	0
kinase-like domain-containing protein	2	0	9	0	0	0
kinase-like protein	0	0	5	0	0	0
kinesin light chain 1	3	0	0	0	0	0
