name	kingdom	superkingdom	phylum
N1QEG0_taxID_692275_model_A	Fungi	Fungi	Ascomycota
A0A0P7YXS6_taxID_113540_model	Animals	Animals	Chordata
A0AAJ0MJ41_taxID_260671_model_A	Fungi	Fungi	Ascomycota
A0AA88AFA7_taxID_3494_model_A	Plants	Plants	Streptophyta
A0ACC0WCW2_taxID_230839_model	Oomycota	Oomycota	Oomycota
A0AAP5IG72_taxID_2712845_model_A	Bacteria	Bacteria	Cyanobacteriota
A0A3N4LB84_taxID_1051890_model	Fungi	Fungi	Ascomycota
A0AAV4B738_taxID_259542_model	Animals	Animals	Mollusca
A0AAD7UHF1_taxID_2483200_model	Oomycota	Oomycota	?
A0A952FIG1_taxID_171674_model	Bacteria	Bacteria	Pseudomonadota
A0A934SYR6_taxID_2801341_model_A	Bacteria	Bacteria	Pseudomonadota
A0A4Y8RPT3_taxID_2558362_model	Bacteria	Bacteria	Pseudomonadota
A0AAF3FHG4_taxID_2138241_model_A	Animals	Animals	Nematoda
A0A2K8T4N2_taxID_2038116_model_A	Bacteria	Bacteria	Cyanobacteriota
A0A249PKJ6_taxID_716928_model	Bacteria	Bacteria	Pseudomonadota
A0A8H5LGT6_taxID_42677_model	Fungi	Fungi	Ascomycota
A0ABR7J057_taxID_2813823_model_A	Bacteria	Bacteria	Bacteroidota
A0A545VX13_taxID_43265_model_A	Fungi	Fungi	Ascomycota
A0A1R4H7B9_taxID_360316_model	Bacteria	Bacteria	Pseudomonadota
A0A975J169_taxID_2824561_model_A	Bacteria	Bacteria	Verrucomicrobiota
A0A1E7N234_taxID_1894_model_A	Bacteria	Bacteria	Actinomycetota
A0A7S0WI35_taxID_1034604_model	Plants	Plants	Chlorophyta
A0ABU3LA82_taxID_3076079_model_A	Unknown	Unknown	Unknown
A0ABN8LP07_taxID_104178_model	Animals	Animals	Cnidaria
A0A4S9AAS5_taxID_5580_model_A	Unknown	Unknown	Unknown
A0ABD2LG15_taxID_157864_model	Animals	Animals	Nematoda
A0A918SV45_taxID_543356_model	Unknown	Unknown	Unknown
A0A0A0B9F3_taxID_1408250_model	Bacteria	Bacteria	Actinomycetota
A0A7W9ZFQ6_taxID_189_model_A	Bacteria	Bacteria	Pseudomonadota
A0A0V1EIF6_taxID_6337_model	Unknown	Unknown	Unknown
P12031_taxID_6536_model	Animals	Animals	Mollusca
A0A2A2CZR1_taxID_1940_model_A	Bacteria	Bacteria	Actinomycetota
A0A0G4IUQ3_taxID_37360_model	?	?	Endomyxa
A0A8W8NF03_taxID_29159_model_A	Animals	Animals	Mollusca
A0ABV2I0A5_taxID_1209948_model	Bacteria	Bacteria	Pseudomonadota
A0A243BGP5_taxID_180881_model_A	Bacteria	Bacteria	Bacillota
A0AAN5XIX5_taxID_1396_model_A	Bacteria	Bacteria	Bacillota
A0A8S3RHI5_taxID_6550_model_A	Animals	Animals	Mollusca
A0AA36I6U4_taxID_2562239_model	?	?	?
