group	type	n_total	n_annotated	n_with_extra_pfam	pct_extra	top_extra_domains	extra_domain_json
G46N	canonical	1047	1047	101	9.6	PF18132 (Tyrosinase_C): 73/1047 (7%); PF14295 (PAN_4): 10/1047 (1%); PF00024 (PAN_1): 6/1047 (1%); PF12142 (PPO1_DWL): 3/1047 (0%); PF12143 (PPO1_KFDV): 3/1047 (0%)	"{""PF18132 (Tyrosinase_C)"": 73, ""PF14295 (PAN_4)"": 10, ""PF00024 (PAN_1)"": 6, ""PF12142 (PPO1_DWL)"": 3, ""PF12143 (PPO1_KFDV)"": 3, ""PF06985 (HET)"": 2, ""PF06236 (MelC1)"": 2, ""PF18962 (Por_Secre_tail)"": 1, ""PF00734 (CBM_1)"": 1, ""PF05241 (EBP)"": 1, ""PF08231 (SYF2)"": 1, ""PF13679 (Methyltransf_32)"": 1, ""PF01593 (Amino_oxidase)"": 1, ""PF08044 (DUF1707)"": 1, ""PF00187 (Chitin_bind_1)"": 1, ""PF25271 (DUF7868)"": 1}"
H230Y	canonical	206	206	35	17.0	PF18132 (Tyrosinase_C): 17/206 (8%); PF01549 (ShK): 8/206 (4%); PF12142 (PPO1_DWL): 5/206 (2%); PF12143 (PPO1_KFDV): 5/206 (2%); PF13519 (VWA_2): 2/206 (1%)	"{""PF18132 (Tyrosinase_C)"": 17, ""PF01549 (ShK)"": 8, ""PF12142 (PPO1_DWL)"": 5, ""PF12143 (PPO1_KFDV)"": 5, ""PF13519 (VWA_2)"": 2, ""PF00067 (p450)"": 1, ""PF00092 (VWA)"": 1, ""PF16414 (NPC1_N)"": 1}"
G46I	canonical	164	164	22	13.4	PF18132 (Tyrosinase_C): 11/164 (7%); PF01549 (ShK): 8/164 (5%); PF25271 (DUF7868): 2/164 (1%); PF03125 (Sre): 1/164 (1%); PF12142 (PPO1_DWL): 1/164 (1%)	"{""PF18132 (Tyrosinase_C)"": 11, ""PF01549 (ShK)"": 8, ""PF25271 (DUF7868)"": 2, ""PF03125 (Sre)"": 1, ""PF12142 (PPO1_DWL)"": 1, ""PF00053 (EGF_laminin)"": 1}"
N205R	canonical	143	143	22	15.4	PF18962 (Por_Secre_tail): 18/143 (13%); PF07690 (MFS_1): 2/143 (1%); PF13517 (FG-GAP_3): 1/143 (1%); PF01849 (NAC): 1/143 (1%)	"{""PF18962 (Por_Secre_tail)"": 18, ""PF07690 (MFS_1)"": 2, ""PF13517 (FG-GAP_3)"": 1, ""PF01849 (NAC)"": 1}"
E195R	canonical	136	136	32	23.5	PF00092 (VWA): 19/136 (14%); PF00090 (TSP_1): 10/136 (7%); PF00059 (Lectin_C): 3/136 (2%); PF01607 (CBM_14): 1/136 (1%); PF12142 (PPO1_DWL): 1/136 (1%)	"{""PF00092 (VWA)"": 19, ""PF00090 (TSP_1)"": 10, ""PF00059 (Lectin_C)"": 3, ""PF01607 (CBM_14)"": 1, ""PF12142 (PPO1_DWL)"": 1, ""PF12143 (PPO1_KFDV)"": 1, ""PF00024 (PAN_1)"": 1}"
H5Pro	noncanonical	131	131	1	0.8	PF12108 (SF3a60_bindingd): 1/131 (1%); PF11931 (SF3a60_Prp9_C): 1/131 (1%); PF12171 (zf-C2H2_jaz): 1/131 (1%)	"{""PF12108 (SF3a60_bindingd)"": 1, ""PF11931 (SF3a60_Prp9_C)"": 1, ""PF12171 (zf-C2H2_jaz)"": 1}"
N205K	canonical	111	111	1	0.9	PF00172 (Zn_clus): 1/111 (1%)	"{""PF00172 (Zn_clus)"": 1}"
V218R	canonical	104	104	4	3.8	PF18132 (Tyrosinase_C): 2/104 (2%); PF04151 (PPC): 1/104 (1%); PF00092 (VWA): 1/104 (1%)	"{""PF18132 (Tyrosinase_C)"": 2, ""PF04151 (PPC)"": 1, ""PF00092 (VWA)"": 1}"
F227W	canonical	84	84	1	1.2	PF18132 (Tyrosinase_C): 1/84 (1%)	"{""PF18132 (Tyrosinase_C)"": 1}"
Oomycota_nocu	noncanonical	52	52	3	5.8	PF14295 (PAN_4): 2/52 (4%); PF01423 (LSM): 1/52 (2%); PF00024 (PAN_1): 1/52 (2%)	"{""PF14295 (PAN_4)"": 2, ""PF01423 (LSM)"": 1, ""PF00024 (PAN_1)"": 1}"
H6Gln	noncanonical	41	41	1	2.4	PF00441 (Acyl-CoA_dh_1): 1/41 (2%); PF02771 (Acyl-CoA_dh_N): 1/41 (2%)	"{""PF00441 (Acyl-CoA_dh_1)"": 1, ""PF02771 (Acyl-CoA_dh_N)"": 1}"
Phytophthora_ALN_HHH	noncanonical	20	20	0	0.0		{}
Trichinella_HHH_YTQ	noncanonical	14	14	11	78.6	PF00024 (PAN_1): 11/14 (79%)	"{""PF00024 (PAN_1)"": 11}"
Microbispora_nocu	noncanonical	8	8	0	0.0		{}
Clonorchis_Opisthorchis	noncanonical	6	6	0	0.0		{}
