accession	pool	n_samples	cu_cu_mean	cu_cu_sd	cu_cu_min	cu_cu_max	cu1_plddt_mean	cu1_plddt_sd	cu2_plddt_mean	cu2_plddt_sd	n_coordinating_his_values	his_agreement	min_coord_his_plddt_mean	min_coord_his_plddt_sd	n_canonical	all_canonical	any_canonical
A0A010Q293	canonical	5	4.0959	0.0415	4.0438	4.1536	97.9340	0.0279	97.5440	0.0518	6	yes	98.0380	0.0455	5	yes	yes
A0A010Q4B9	canonical	5	3.9851	0.0590	3.9150	4.0595	97.9280	0.0665	97.6260	0.0456	6	yes	97.1240	0.1489	5	yes	yes
A0A010QAA5	canonical	5	4.0370	0.0664	3.9392	4.0915	98.1260	0.0207	97.6540	0.0089	6	yes	98.6680	0.0045	5	yes	yes
A0A010QHN9	canonical	5	3.9150	0.0415	3.8530	3.9622	97.7960	0.0555	97.0980	0.0719	6	yes	97.1040	0.1698	5	yes	yes
A0A010QIY5	discarded	5	3.5066	0.2849	3.2434	3.9355	85.9240	0.6747	39.6780	1.1076	4	yes	70.7360	1.3380	0	no	no
A0A010QL93	canonical	5	4.1267	0.0107	4.1147	4.1421	97.6540	0.0167	97.7560	0.0182	6	yes	98.7320	0.0164	5	yes	yes
A0A010QPL7	canonical	5	3.8090	0.0276	3.7840	3.8491	98.1500	0.0173	97.8260	0.0241	6	yes	98.7300	0.0187	5	yes	yes
A0A010QXZ0	canonical	5	4.0964	0.0493	4.0331	4.1705	95.6980	0.4653	96.6660	0.1604	6	yes	93.4520	1.1390	5	yes	yes
A0A010QYY8	canonical	5	3.6899	0.0464	3.6450	3.7621	97.9240	0.0230	97.3800	0.0557	6	yes	98.4540	0.0493	5	yes	yes
A0A010R234	discarded	5	8.5860	6.5974	2.3819	17.7199	77.2280	1.4841	19.3220	8.0251	4,5	no	49.3760	15.3466	0	no	no
A0A010R9A2	canonical	5	4.2526	0.0492	4.1963	4.3090	96.9960	0.0559	97.1160	0.0336	6	yes	98.3960	0.0297	5	yes	yes
A0A010RBA2	canonical	5	4.2598	0.0362	4.2306	4.3217	97.2560	0.1081	95.5160	0.1676	6	yes	97.2540	0.1494	5	yes	yes
A0A010RL70	canonical	5	3.8102	0.0166	3.7926	3.8286	97.9720	0.0239	97.6840	0.0251	6	yes	98.1980	0.0589	5	yes	yes
A0A010RM53	canonical	5	3.8806	0.0524	3.8194	3.9530	97.9260	0.0219	98.0080	0.0130	6	yes	98.4740	0.0152	5	yes	yes
A0A010RPY0	canonical	5	3.9870	0.0349	3.9406	4.0258	98.2480	0.0259	97.7080	0.0311	6	yes	98.7480	0.0192	5	yes	yes
A0A010RQ21	canonical	5	4.0221	0.0623	3.9476	4.1029	97.9440	0.0439	97.7060	0.0493	6	yes	98.1440	0.0730	5	yes	yes
A0A010RR72	discarded	5	2.9387	0.4737	2.3392	3.5933	60.9780	0.9892	34.1760	2.2294	3,4	no	74.7840	4.9970	0	no	no
A0A010RUM6	canonical	5	4.0578	0.0549	3.9872	4.1130	92.4260	0.2923	88.3440	0.6509	6	yes	88.9220	0.3055	5	yes	yes
A0A010RV53	noncanonical	5	3.9379	0.0790	3.8352	4.0303	97.2820	0.0228	94.9240	0.0680	5	yes	98.4080	0.0130	0	no	no
A0A010RV80	canonical	5	4.0771	0.0400	4.0378	4.1386	97.4640	0.0602	96.7340	0.0477	6	yes	97.2740	0.2294	5	yes	yes
A0A010RY59	canonical	5	4.3314	0.0600	4.2501	4.4092	95.9300	0.1789	94.8640	0.1644	6	yes	96.3820	0.1455	5	yes	yes
A0A010RYF3	canonical	5	4.1102	0.2303	3.9443	4.5116	82.8160	6.1134	89.4980	6.0489	6	yes	95.4360	0.2882	5	yes	yes
A0A010S1R5	discarded	5	4.9963	0.2136	4.6686	5.2363	86.7320	1.1185	48.7140	1.6735	4,5	no	78.2740	7.2310	0	no	no
A0A010S6Q2	canonical	5	4.0356	0.0221	4.0171	4.0691	98.1960	0.0329	97.8900	0.0381	6	yes	98.6080	0.0342	5	yes	yes
