accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A062U9V8	1280946		AWFF01000061	KCZ52930.1	Genomic_DNA	1
A0A066Z0K1	1348663		JNBY01000041	KDN87313.1	Genomic_DNA	1
A0A098SBM4	1524460		JPOS01000004	KGE89576.1	Genomic_DNA	1
A0A098YAD9	1522368		JPMX01000042	KGH46736.1	Genomic_DNA	1
A0A099MZ46						0
A0A0A0B9F3	1408250		AXNT01000048	KGM02434.1	Genomic_DNA	1
A0A0A0F2E9	1385517		AVPU01000004	KGM55572.1	Genomic_DNA	1
A0A0A1YUC0						0
A0A0A2WKA0	1300345		JRKJ01000002	KGQ20218.1	Genomic_DNA	1
A0A0A3XNH3						0
A0A0A6UH53	1869		JRTT01000028	KHD75355.1	Genomic_DNA	1
A0A0A6UH99	1869		JRTT01000043	KHD74468.1	Genomic_DNA	1
A0A0A6UK08	1869		JRTT01000018	KHD76450.1	Genomic_DNA	1
A0A0B5EPG7						0
A0A0C1NKB8	1479485		JHEG04000001	KAF3887742.1	Genomic_DNA	1
A0A0D0NEG3	2064		JXZB01000001	KIQ66640.1	Genomic_DNA	1
A0A0D8ZXW9	1618023		JYON01000001	KJH73279.1	Genomic_DNA	1
A0A0F4JVR7	68223		JZWV01000089	KJY37853.1	Genomic_DNA	1
A0A0F4XVI2						0
A0A0G3BQ28	413882		CP011371	AKJ29456.1	Genomic_DNA	1
A0A0H3HYW4	884204		CP002834	AFI70088.1	Genomic_DNA	1
A0A0J6H4S8	163011		LT629746	SDT13998.1	Genomic_DNA	1
A0A0J7Z2T4						0
A0A0K1ZKE1						0
A0A0N9HUR6	860235		CP012752	ALG05745.1	Genomic_DNA	1
A0A0S4LNR0	1742972		CZQA01000011	CUS38558.1	Genomic_DNA	1
A0A0S4TX46						0
A0A0S4U8D6						0
A0A0W7WYA7	1765722		LOCL01000044	KUF15496.1	Genomic_DNA	1
A0A101J743	68262		LLZG01000408	KUL21465.1	Genomic_DNA	1
A0A117NXX7	146536		LMWJ01000026	KUM69449.1	Genomic_DNA	1
A0A117PT81						0
A0A124I005						0
A0A124I9G6	661399		LMWY01000024	KUO02465.1	Genomic_DNA	1
A0A127I0D0						0
A0A139X072	128403		ANNX02000042	KYC38033.1	Genomic_DNA	1
A0A150X4H6	333140		LRPC01000028	KYG73618.1	Genomic_DNA	1
A0A158FM56	1226301		FCOL02000003	SAL20928.1	Genomic_DNA	1
A0A158GFY2	326475		FCNZ02000005	SAL30817.1	Genomic_DNA	1
A0A158GQ64	326475		FCNZ02000005	SAL34182.1	Genomic_DNA	1
A0A158IB94	326474		FCNW02000029	SAL53848.1	Genomic_DNA	1
A0A158JMF3	326474		FCNW02000156	SAL69928.1	Genomic_DNA	1
A0A158L420	1226301		FCOL02000332	SAL87401.1	Genomic_DNA	1
A0A166PW93						0
A0A1B1M2R3	1915		CP016438	ANS62717.1	Genomic_DNA	1
A0A1C3Y9U9	1138170		JACIFV010000037	MBB4195770.1	Genomic_DNA	1
A0A1D7YL38	1904616		CP017248	AOR36271.1	Genomic_DNA	1
A0A1D8P699	1850246		CP017478	AOW20093.1	Genomic_DNA	1
A0A1D8TVF9						0
A0A1D9LLW6						0
A0A1E3V4Z2	1752398		LYBW01000065	ODR88525.1	Genomic_DNA	1
A0A1G5ZDT2						0
A0A1G5ZXY5						0
A0A1G6RZ21						0
A0A1G6US90	187868		FMZC01000006	SDD44248.1	Genomic_DNA	1
A0A1G7EV08	641691		FNAO01000006	SDE67533.1	Genomic_DNA	1
A0A1G7EVK2	641691		FNAO01000006	SDE67607.1	Genomic_DNA	1
A0A1G7JAM5	641691		FNAO01000020	SDF21529.1	Genomic_DNA	1
A0A1G7K2Z2	76594		FNBD01000011	SDF31517.1	Genomic_DNA	1
A0A1G9L3I7	430522		FNGY01000001	SDL56559.1	Genomic_DNA	1
A0A1G9LEN0	430522		FNGY01000001	SDL60326.1	Genomic_DNA	1
A0A1G9LQ44	119000		FNGI01000005	SDL64050.1	Genomic_DNA	1
A0A1G9R0Y5						0
A0A1H1Q0J6	546871		LT629749	SDS16926.1	Genomic_DNA	1
A0A1H1YK07	113562		LT629758	SDT21665.1	Genomic_DNA	1
A0A1H3CW61	1137993		FNOT01000002	SDX58381.1	Genomic_DNA	1
A0A1H3PKM2	44576		FNOY01000101	SDZ01590.1	Genomic_DNA	1
A0A1H3SYD2	137265		FNQB01000003	SDZ42697.1	Genomic_DNA	1
A0A1H7NHR1	1233		FOBH01000007	SEL22555.1	Genomic_DNA	1
A0A1H7NPW0	1233		FOBH01000007	SEL25065.1	Genomic_DNA	1
A0A1H8KQ84	387096		FOCM01000008	SEN95052.1	Genomic_DNA	1
A0A1H9F825	200379		FOFT01000002	SEQ33593.1	Genomic_DNA	1
A0A1H9TR89	402600		FOFR01000019	SER99672.1	Genomic_DNA	1
A0A1I0DNM4						0
A0A1I2GNX2	35752		FONV01000007	SFF18978.1	Genomic_DNA	1
A0A1I2J207	684063		FONN01000051	SFF48479.1	Genomic_DNA	1
A0A1I4MA92	44574		FOUB01000009	SFM00242.1	Genomic_DNA	1
A0A1I4XEP0	35799		FOVJ01000001	SFN24381.1	Genomic_DNA	1
A0A1I4XKW7	578942		FOVF01000010	SFN26484.1	Genomic_DNA	1
A0A1I4YET0	35799		FOVJ01000001	SFN36548.1	Genomic_DNA	1
A0A1I6M5T1	474950		FOZL01000001	SFS11031.1	Genomic_DNA	1
A0A1I7G4D1						0
A0A1K0GCJ9	56427		MEIA01000541	OJF09894.1	Genomic_DNA	1
A0A1L3FF99						0
A0A1L5PBE2						0
A0A1L5PR01						0
A0A1L9B3D7	83449		MPIN01000009	OJH36736.1	Genomic_DNA	1
A0A1M5KSP5	288992		FQUQ01000006	SHG55765.1	Genomic_DNA	1
A0A1M6FXH1	1123357		FQZG01000023	SHJ02418.1	Genomic_DNA	1
A0A1M6NA87	558155		FQYX01000060	SHJ92670.1	Genomic_DNA	1
A0A1M6UBL7	156994		FRAA01000007	SHK66632.1	Genomic_DNA	1
A0A1M6UZM2						0
A0A1M7BKJ4	735517		FRBW01000001	SHL55555.1	Genomic_DNA	1
A0A1M7UXB1						0
A0A1N6GWC1	1131553		FSRO01000001	SIO11828.1	Genomic_DNA	1
A0A1N7U5H3	321846		CP007637	AIB36156.1	Genomic_DNA	1
A0A1Q4V843	1048205		LFBV01000003	OKH94013.1	Genomic_DNA	1
A0A1Q4V9C0	1048205		LFBV01000002	OKH94405.1	Genomic_DNA	1
A0A1R4H7B9	360316		FUKJ01000161	SJM91921.1	Genomic_DNA	1
A0A1R4HGF1	360316		FUKI01000145	SJM95326.1	Genomic_DNA	1
A0A1S1QQN5	573497		MBLM01000117	OHV36270.1	Genomic_DNA	1
A0A1S1RLQ1	2599596		MAXA01000001	OHV46741.1	Genomic_DNA	1
A0A1S1U863						0
A0A1S2PQK3	1678012		MLYO01000063	OIJ95846.1	Genomic_DNA	1
A0A1S2TDC3						0
A0A1U9VPE0						0
A0A1U9ZYN5	1909395		CP017717	AQZ63063.1	Genomic_DNA	1
A0A1V0UF35	1935		CP020570	ARF63843.1	Genomic_DNA	1
A0A1V2UT19	1675530		LFZS01000013	ONN53027.1	Genomic_DNA	1
A0A1W2FQF9	40571		FWYC01000020	SMD23886.1	Genomic_DNA	1
A0A1W6SPL1	1288494		CP021106	ARO87702.1	Genomic_DNA	1
A0A1W6SQT2	1288494		CP021106	ARO88135.1	Genomic_DNA	1
A0A1Y2JMB7						0
A0A1Y2LAB1	1293890		JFKB01000008	OSQ47494.1	Genomic_DNA	1
A0A1Y3CKL6	1977882		NEGB01000001	OTG67669.1	Genomic_DNA	1
A0A1Y5XJS9	2030		FWXV01000002	SMC98705.1	Genomic_DNA	1
A0A1Y6CW86	1760988		FXAM01000001	SMF94536.1	Genomic_DNA	1
A0A1Z4C3I1						0
A0A1Z4C3W5						0
A0A1Z4LKJ3	1973488		AP018227	BAY81628.1	Genomic_DNA	1
A0A1Z4LU81	1973488		AP018227	BAY84816.1	Genomic_DNA	1
A0A202B6Z1	536		NHOO01000013	OVE47090.1	Genomic_DNA	1
A0A221NXB2	1355015		CP022433	ASN24542.1	Genomic_DNA	1
A0A221P6L7	1355015		CP022433	ASN27857.1	Genomic_DNA	1
A0A238URH8	1938746		FZNO01000001	SNR24043.1	Genomic_DNA	1
A0A239B9T9	1627892		FZNY01000006	SNS04745.1	Genomic_DNA	1
A0A248JNQ9	1441467		CP022110	ASG20372.1	Genomic_DNA	1
