accession	n_neighbours	n_ustya	closest_ustya	n_melc1	has_TF_fungal	has_TF_bacterial	has_transporter	has_P450	has_OMT	has_biosynthetic	bgc_context	bgc_old
A0A0F7TKD9	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A0L1JH90	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0A146F7M9	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A1F8A877	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0A1L7XVJ9	20	0		0	1	0	0	0	0	1	BGC_accessory	none
A0A1L9U5P7	20	0		0	0	0	1	0	0	0	none	none
A0A1V6P941	3	0		0	0	0	0	0	0	0	none	none
A0A1V6QBL1	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A292PKA2	10	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A2G7G703	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0A2J6PV40	20	4	1	0	0	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A2T6ZCK0	9	0		0	1	0	0	0	0	0	none	none
A0A2V1DGW1	20	2	3	0	0	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A2V5GZD8	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A2V5H7P1	20	0		0	0	0	0	1	0	0	none	none
A0A2V5HTW1	20	0		0	0	0	1	0	0	0	none	none
A0A2V5IGT7	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A317STV4	14	0		0	0	0	0	0	0	0	none	none
A0A317URF9	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A317UXL8	14	0		0	0	0	0	0	0	0	none	none
A0A317WJT9	20	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0A317WYK6	20	0		0	1	0	1	1	0	1	BGC_accessory	BGC_accessory
A0A318YAT8	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319AUV2	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319CG24	20	0		0	0	0	1	0	0	0	none	none
A0A319CY13	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319DGV8	13	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0A319DU42	20	0		0	1	0	1	1	0	1	BGC_accessory	BGC_accessory
A0A370P5X5	20	0		0	1	0	1	0	0	1	BGC_accessory	BGC_accessory
A0A395I0G5	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A401L7K2	20	0		0	1	0	1	0	0	1	BGC_accessory	BGC_accessory
A0A4Z1E519	8	2	3	0	0	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A4Z1G6H5	14	1	3	0	0	0	1	1	0	1	UstYa_cluster	UstYa_cluster
A0A5N6DQ39	20	0		0	1	0	0	1	1	0	BGC_accessory	BGC_accessory
A0A5N6JER4	20	0		0	1	0	1	0	1	0	BGC_accessory	BGC_accessory
A0A5N6W889	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0A5N6XI36	20	0		0	1	0	1	0	1	0	BGC_accessory	BGC_accessory
A0A5N7APG9	20	0		0	1	0	0	1	1	0	BGC_accessory	BGC_accessory
A0A5N7B877	20	0		0	1	0	1	0	1	0	BGC_accessory	BGC_accessory
A0A5N7DF31	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0A6A5UP97	20	0		0	0	0	1	0	0	0	none	none
A0A6A6RLB0	20	0		0	0	0	0	0	0	0	none	none
A0A6J8A749	7	0		0	0	0	0	0	0	0	none	none
A0A8B6GUD9	20	0		0	0	0	0	0	0	0	none	none
A0A8B6GUE4	20	0		0	0	0	0	0	0	0	none	none
A0A8G1QUY8	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8G1RJC8	19	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8G1S217	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A8T8WMD9	11	0		0	0	0	1	0	0	0	none	none
A0A8T8X2Y5	20	0		0	0	0	1	0	0	0	none	none
A0A9N9KVW9	20	0		0	1	0	0	0	0	0	none	none
A0A9P6GNG8	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A9P8UIC0	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A9W4U7M0	20	0		0	0	0	0	0	0	0	none	none
A0A9W9CD07	20	0		0	0	0	1	1	0	1	BGC_accessory	BGC_accessory
A0A9W9LGF4	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A9W9VFI7	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0AAD6CBX2	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0AAD6MRX0	14	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0AAN6M599	20	0		0	0	0	0	0	0	0	none	none
A0AAW1G8T0	20	0		0	0	0	0	0	0	0	none	none
A0ABQ6X3Q5	20	0		0	1	0	1	1	1	0	BGC_accessory	BGC_accessory
A0ABQ8FHW2	20	0		0	0	0	0	0	0	0	none	none
A0ABR3RMI3	20	0		0	0	0	1	0	0	1	BGC_accessory	none
A0ABR4H8T2	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0ABR4KDN5	18	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0ACD1GE84	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0ACD1GJU9	20	0		0	0	0	1	0	0	0	none	none
A0ACD1GX66	19	0		0	0	0	0	1	0	0	none	none
