product	n_queries	freq_all	freq_with_data	total
succinate dehydrogenase flavoprotein subunit	7	0.083	0.171	7
phosphoribosylformylglycinamidine synthase	6	0.071	0.146	6
ap-1 adaptor complex mu subunit apm1	6	0.071	0.146	6
sad1-interacting factor 3	5	0.060	0.122	5
cnt family concentrative nucleoside transporter	4	0.048	0.098	4
mrna splicing protein	4	0.048	0.098	4
omega-amidase nit3	4	0.048	0.098	4
deubiquitinating enzyme	4	0.048	0.098	4
arp complex subunit	4	0.048	0.098	4
pre-mrna-processing protein 45	3	0.036	0.073	3
dna repair protein rad50	3	0.036	0.073	3
beta-glucosidase	3	0.036	0.073	3
alkylphosphocholine resistance protein lem3	3	0.036	0.073	3
60s ribosomal protein l31b	3	0.036	0.073	3
dihydroxy-acid dehydratase ilv3	3	0.036	0.073	3
rho guanine nucleotide exchange factor	3	0.036	0.073	3
40s ribosomal protein s30	3	0.036	0.073	3
gtpase activating protein (gap)	3	0.036	0.073	3
tryptophan--trna ligase, mitochondrial	3	0.036	0.073	3
acid phosphatase	3	0.036	0.073	3
3-oxoacyl-[acyl-carrier protein] reductase	3	0.036	0.073	3
nitrilase	3	0.036	0.073	3
high-affinity iron transporter	2	0.024	0.049	2
cytochrome c oxidase subunit 6, mitochondrial	2	0.024	0.049	2
fact complex subunit spt16	2	0.024	0.049	2
50s ribosomal protein l31e	2	0.024	0.049	2
mrna 3' end processing factor	2	0.024	0.049	2
high copy suppressor of abf2	2	0.024	0.049	2
cytosolic seryl-trna synthetase	2	0.024	0.049	2
ribosomal 40s subunit protein s1b	2	0.024	0.049	2
fatty acid elongase 3	2	0.024	0.049	2
xaa-pro aminopeptidase	2	0.024	0.049	2
serine/threonine protein kinase	2	0.024	0.049	2
large subunit ribosomal protein l31e	2	0.024	0.049	2
adenylate cyclase	1	0.012	0.024	1
cytochrome p450, family 51 (sterol 14-demethylase)	1	0.012	0.024	1
phenylalanyl-trna synthetase alpha chain	1	0.012	0.024	1
40s ribosomal protein s21	1	0.012	0.024	1
atp-binding cassette sub-family d member 2	1	0.012	0.024	1
putative lysine-specific demethylase jmjd5	1	0.012	0.024	1
atp synthase f(0) complex subunit c2, mitochondrial	1	0.012	0.024	1
dynactin subunit 4	1	0.012	0.024	1
nadh dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5	1	0.012	0.024	1
zinc-type alcohol dehydrogenase-like protein	1	0.012	0.024	1
40s ribosomal protein s7	1	0.012	0.024	1
actin-related protein 2/3 complex subunit 5	1	0.012	0.024	1
baeyer-villiger monooxygenase	1	0.012	0.024	1
sorbitol dehydrogenase	1	0.012	0.024	1
putative 2-hydroxyacid dehydrogenase unk4.10	1	0.012	0.024	1
gtp:amp phosphotransferase, mitochondrial	1	0.012	0.024	1
putative fungistatic metabolite	1	0.012	0.024	1
trna (guanine-n(7)-)-methyltransferase non-catalytic subunit trm82	1	0.012	0.024	1
putative dna primase large subunit	1	0.012	0.024	1
54s ribosomal protein l3, mitochondrial	1	0.012	0.024	1
putative g3bp-like protein	1	0.012	0.024	1
cytochrome c oxidase subunit 6	1	0.012	0.024	1
putative integral membrane protein	1	0.012	0.024	1
putative mitochondrial mrna processing protein	1	0.012	0.024	1
putative short chain dehydrogenase reductase family	1	0.012	0.024	1
putative camp-regulated phosphoprotein family protein igo1	1	0.012	0.024	1
putative mipc synthase subunit	1	0.012	0.024	1
putative efflux pump antibiotic resistance protein	1	0.012	0.024	1
putative homoserine kinase	1	0.012	0.024	1
putative bifunctional purine biosynthetic protein	1	0.012	0.024	1
putative pheromone processing carboxypeptidase kex1	1	0.012	0.024	1
putative wd repeat protein	1	0.012	0.024	1
putative cfem domain-containing protein	1	0.012	0.024	1
putative pectinesterase	1	0.012	0.024	1
putative mfs transporter	1	0.012	0.024	1
putative phosphoribosylaminoimidazole carboxylase	1	0.012	0.024	1
putative imidazoleglycerol-phosphate dehydratase	1	0.012	0.024	1
putative mhyt domain signaling	1	0.012	0.024	1
putative peroxin 20	1	0.012	0.024	1
putative flavin reductase	1	0.012	0.024	1
succinate dehydrogenase, flavoprotein subunit	1	0.012	0.024	1
arabinose-proton symporter	1	0.012	0.024	1
solute carrier family 28 member 3	1	0.012	0.024	1
putative mpv17 pmp22 family protein	1	0.012	0.024	1
glucan 1,3-beta-glucosidase	1	0.012	0.024	1
iron transport multicopper oxidase fet3	1	0.012	0.024	1
hydrolase	1	0.012	0.024	1
coatomer subunit delta	1	0.012	0.024	1
60s ribosomal protein l31-b	1	0.012	0.024	1
tol-like protein	1	0.012	0.024	1
streptomycin 3 adenylyltransferase	1	0.012	0.024	1
lipase (lipp)	1	0.012	0.024	1
lactose permease	1	0.012	0.024	1
benzoate 4-monooxygenase cytochrome p450	1	0.012	0.024	1
ankyrin repeat	1	0.012	0.024	1
acyl esterase	1	0.012	0.024	1
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase 1	1	0.012	0.024	1
