query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A1M5KSP5	FQUQ01000006	-10	0	66660	67466	-	SHG55466.1	SAMN04488522_10666	hypothetical protein
A0A1M5KSP5	FQUQ01000006	-9	0	67697	68221	-	SHG55498.1	SAMN04488522_10667	Polyketide cyclase / dehydrase and lipid transport
A0A1M5KSP5	FQUQ01000006	-8	0	68264	68695	-	SHG55528.1	SAMN04488522_10668	PhnB protein
A0A1M5KSP5	FQUQ01000006	-7	0	68813	69787	+	SHG55548.1	SAMN04488522_10669	transcriptional regulator, AraC family with amidase-like domain
A0A1M5KSP5	FQUQ01000006	-6	0	69787	69948	+	SHG55588.1	SAMN04488522_10670	hypothetical protein
A0A1M5KSP5	FQUQ01000006	-5	0	70169	72751	+	SHG55617.1	SAMN04488522_10671	iron complex outermembrane recepter protein
A0A1M5KSP5	FQUQ01000006	-4	0	72846	73748	-	SHG55650.1	SAMN04488522_10672	Type I phosphodiesterase / nucleotide pyrophosphatase
A0A1M5KSP5	FQUQ01000006	-3	0	73819	75249	-	SHG55675.1	SAMN04488522_10673	hypothetical protein
A0A1M5KSP5	FQUQ01000006	-2	0	75272	75475	-	SHG55696.1	SAMN04488522_10674	hypothetical protein
A0A1M5KSP5	FQUQ01000006	-1	0	75508	77127	-	SHG55729.1	SAMN04488522_10675	protein SCO1/2
A0A1M5KSP5	FQUQ01000006	0	1	77160	79349	-	SHG55765.1	SAMN04488522_10676	Common central domain of tyrosinase
A0A1M5KSP5	FQUQ01000006	1	0	79648	82974	-	SHG55816.1	SAMN04488522_10677	Tfp pilus assembly protein PilF
A0A1M5KSP5	FQUQ01000006	2	0	83045	84373	-	SHG55849.1	SAMN04488522_10678	MFS transporter, sugar porter (SP) family
A0A1M5KSP5	FQUQ01000006	3	0	84501	85424	+	SHG55879.1	SAMN04488522_10679	AraC-like ligand binding domain-containing protein
A0A1M5KSP5	FQUQ01000006	4	0	85432	88623	-	SHG55910.1	SAMN04488522_10680	Glycosyl hydrolases family 2
A0A1M5KSP5	FQUQ01000006	5	0	88741	89313	+	SHG55943.1	SAMN04488522_10681	hypothetical protein
A0A1M5KSP5	FQUQ01000006	6	0	89410	89670	+	SHG55975.1	SAMN04488522_10682	hypothetical protein
A0A1M5KSP5	FQUQ01000006	7	0	89722	90090	-	SHG56005.1	SAMN04488522_10683	DoxX-like family protein
A0A1M5KSP5	FQUQ01000006	8	0	90254	90943	-	SHG56036.1	SAMN04488522_10684	protein of unknown function
A0A1M5KSP5	FQUQ01000006	9	0	91446	92813	+	SHG56083.1	SAMN04488522_10686	Site-specific recombinase XerD
A0A1M5KSP5	FQUQ01000006	10	0	92932	93975	-	SHG56117.1	SAMN04488522_10687	hypothetical protein
A0A150GSZ2	LSYV01000009	-10	0	1981098	1983027	+	KXZ52919.1	GPECTOR_8g297	hypothetical protein
A0A150GSZ2	LSYV01000009	-9	0	1989417	1991665	+	KXZ52920.1	GPECTOR_8g298	hypothetical protein
A0A150GSZ2	LSYV01000009	-8	0	1998249	1998557	+	KXZ52921.1	GPECTOR_8g299	hypothetical protein
A0A150GSZ2	LSYV01000009	-7	0	1998677	1999168	+	KXZ52924.1	GPECTOR_8g300	hypothetical protein
A0A150GSZ2	LSYV01000009	-6	0	2001247	2001578	+	KXZ52925.1	GPECTOR_8g301	RABF1 protein
A0A150GSZ2	LSYV01000009	-5	0	2003735	2004275	-	KXZ52926.1	GPECTOR_8g302	hypothetical protein
A0A150GSZ2	LSYV01000009	-4	0	2006494	2010451	+	KXZ52927.1	GPECTOR_8g303	hypothetical protein
A0A150GSZ2	LSYV01000009	-3	0	2014934	2016480	+	KXZ52928.1	GPECTOR_8g304	hypothetical protein
A0A150GSZ2	LSYV01000009	-2	0	2026014	2026620	-	KXZ52929.1	GPECTOR_8g305	hypothetical protein
A0A150GSZ2	LSYV01000009	-1	0	2033550	2034104	-	KXZ52930.1	GPECTOR_8g306	hypothetical protein
A0A150GSZ2	LSYV01000009	0	1	2049207	2049628	-	KXZ52931.1	GPECTOR_8g307	hypothetical protein
A0A150GSZ2	LSYV01000009	1	0	2058976	2059898	-	KXZ52932.1	GPECTOR_8g308	hypothetical protein
A0A150GSZ2	LSYV01000009	2	0	2069519	2070565	-	KXZ52933.1	GPECTOR_8g309	hypothetical protein
A0A150GSZ2	LSYV01000009	3	0	2073258	2073892	-	KXZ52935.1	GPECTOR_8g310	hypothetical protein
A0A150GSZ2	LSYV01000009	4	0	2078710	2079666	-	KXZ52936.1	GPECTOR_8g311	hypothetical protein
