protein_id	pfam
ACL65246	
ACL65247	
ACL65248	PF02222|ATP-grasp domain;PF21244|PurT, C-terminal;PF22660|Ribonucleotide synthetase preATP-grasp domain
ACL65249	
ACL65250	
ACL65251	
ACL65252	
ACL65253	
ACL65254	PF01833|IPT/TIG domain
ACL65255	
ACL65257	PF08543|Phosphomethylpyrimidine kinase
ACL65258	PF03065|Glycosyl hydrolase family 57;PF12055|Domain of unknown function (DUF3536)
ACL65259	PF01914|MarC family integral membrane protein
ACL65260	PF13472|GDSL-like Lipase/Acylhydrolase family
ACL65261	
ACL65262	PF00005|ABC transporter
ACL65263	PF02687|FtsX-like permease C-terminal;PF12704|MacB-like periplasmic core domain
ACL65264	PF07143|AttH-like;PF17186|
ACL65265	PF08668|HDOD domain
ACL65266	PF06315|Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain;PF20423|Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain
CAD5219746	
CAD5219748	PF10292|Serpentine type 7TM GPCR receptor class ab chemoreceptor
CAD5219750	PF00069|Protein kinase domain
CAD5219752	
CAD5219754	PF00090|Thrombospondin type 1 domain
CAD5219756	
CAD5219758	PF01391|Collagen triple helix repeat (20 copies)
CAD5219760	
CAD5219762	PF13640|2OG-Fe(II) oxygenase superfamily
CAD5219764	PF00083|Sugar (and other) transporter
CAD5219768	PF00005|ABC transporter;PF00664|ABC transporter transmembrane region
CAD5219770	PF01221|Dynein light chain type 1
CAD5219772	
CAD5219774	PF23674|RYYR-CCHC domain
CAD5219776	PF00083|Sugar (and other) transporter
CAD5219778	PF05804|Kinesin-associated protein (KAP)
CAD5219780	PF02463|RecF/RecN/SMC N terminal domain;PF06470|SMC proteins Flexible Hinge Domain;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
CAD5219782	PF01769|Divalent cation transporter
CAD5219784	
CAD5219786	PF00350|Dynamin family;PF01031|Dynamin central region;PF02212|Dynamin GTPase effector domain
CAD5227317	PF01237|Oxysterol-binding protein
CAD5227318	
CAD5227319	PF00069|Protein kinase domain
CAD5227320	PF00090|Thrombospondin type 1 domain
CAD5227321	
CAD5227322	
CAD5227323	PF01391|Collagen triple helix repeat (20 copies)
CAD5227324	
CAD5227325	PF08336|Prolyl 4-Hydroxylase alpha-subunit, N-terminal region;PF13640|2OG-Fe(II) oxygenase superfamily;PF23558|Prolyl 4-hydroxylase peptide-substrate-binding domain
CAD5227326	PF00083|Sugar (and other) transporter
CAD5227328	
CAD5227329	PF07801|Protein of unknown function (DUF1647)
CAD5227330	PF00134|Cyclin, N-terminal domain
CAD5227331	PF01302|CAP-Gly domain;PF12799|Leucine Rich repeats (2 copies)
CAD5227332	
CAD5227333	
CAD5227334	PF07690|Major Facilitator Superfamily
CAD5227335	PF00550|Phosphopantetheine attachment site
CAD5227336	PF01266|FAD dependent oxidoreductase
CAD5227337	PF00566|Rab-GTPase-TBC domain
CAH3110186	
CAH3110188	
CAH3110190	
CAH3110192	
CAH3110194	
CAH3110196	PF00179|Ubiquitin-conjugating enzyme
CAH3110198	
CAH3110200	PF00069|Protein kinase domain;PF28331|PCNA-interacting partner N-terminal domain
CAH3110202	PF02746|Mandelate racemase / muconate lactonizing enzyme, N-terminal domain;PF13378|Enolase C-terminal domain-like
CAH3110204	
CAH3110207	PF01344|Kelch motif;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
CAH3110208	PF00089|Trypsin
CAH3110209	PF05183|RNA dependent RNA polymerase
CAH3110210	PF05183|RNA dependent RNA polymerase
CAH3110211	
CAH3110212	PF20700|Mutator-like transposase
CAH3110213	PF05183|RNA dependent RNA polymerase
CAH3110214	PF05183|RNA dependent RNA polymerase
CAH3110215	PF05183|RNA dependent RNA polymerase
CAH3110216	PF05183|RNA dependent RNA polymerase
CAK5031287	PF02517|Type II CAAX prenyl endopeptidase Rce1-like
CAK5031291	PF00834|Ribulose-phosphate 3 epimerase family
CAK5031295	
CAK5031299	
CAK5031302	PF00595|PDZ domain;PF17820|PDZ domain
CAK5031305	PF00595|PDZ domain
CAK5031308	
CAK5031310	PF00755|Choline/Carnitine o-acyltransferase
CAK5031312	PF00755|Choline/Carnitine o-acyltransferase
CAK5031315	PF07690|Major Facilitator Superfamily
CAK5031323	
CAK5031327	
CAK5031331	PF00122|P-type ATPase actuator domain;PF00689|Cation transporting ATPase, C-terminus;PF00690|Cation transporter/ATPase, N-terminus;PF08282|haloacid dehalogenase-like hydrolase;PF12424|Plasma membrane calcium transporter ATPase C terminal;PF13246|P-type ATPase, cytoplasmic domain N
CAK5031335	
CAK5031339	
CAK5031342	PF00994|Probable molybdopterin binding domain;PF03453|MoeA N-terminal region (domain I and II)
CAK5031346	
CAK5031350	PF12796|Ankyrin repeats (3 copies)
CAK5031354	PF02752|Arrestin (or S-antigen), C-terminal domain
CAK5031358	PF00076|RNA recognition motif;PF15519|linker between RRM2 and RRM3 domains in RBM39 protein
CAK5034137	
CAK5034140	PF02517|Type II CAAX prenyl endopeptidase Rce1-like
CAK5034142	
CAK5034146	PF00834|Ribulose-phosphate 3 epimerase family
CAK5034149	
CAK5034151	PF17820|PDZ domain
CAK5034153	PF00595|PDZ domain;PF17820|PDZ domain
CAK5034155	PF00595|PDZ domain;PF17820|PDZ domain
CAK5034156	PF00755|Choline/Carnitine o-acyltransferase
CAK5034157	PF07690|Major Facilitator Superfamily
CAK5034162	
CAK5034164	PF00122|P-type ATPase actuator domain;PF00689|Cation transporting ATPase, C-terminus;PF00690|Cation transporter/ATPase, N-terminus;PF08282|haloacid dehalogenase-like hydrolase;PF12424|Plasma membrane calcium transporter ATPase C terminal;PF13246|P-type ATPase, cytoplasmic domain N
CAK5034167	
CAK5034171	
CAK5034175	PF00994|Probable molybdopterin binding domain;PF03453|MoeA N-terminal region (domain I and II)
CAK5034178	PF12796|Ankyrin repeats (3 copies);PF13606|Ankyrin repeat
CAK5034182	PF12796|Ankyrin repeats (3 copies)
CAK5034186	
CAK5034189	PF02752|Arrestin (or S-antigen), C-terminal domain
CAK5034193	PF00076|RNA recognition motif;PF15519|linker between RRM2 and RRM3 domains in RBM39 protein
CAK5044444	PF00834|Ribulose-phosphate 3 epimerase family
CAK5044447	
CAK5044450	
CAK5044453	
CAK5044456	PF00595|PDZ domain;PF17820|PDZ domain
CAK5044459	PF00595|PDZ domain
CAK5044463	
CAK5044467	PF00755|Choline/Carnitine o-acyltransferase
CAK5044471	PF07690|Major Facilitator Superfamily
CAK5044475	
