query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0M3K8B7	UYRR01033250	0	1	3	1632	-	VDK58265.1	ASIM_LOCUS16615	hypothetical protein
A0A0B2VUC6	JPKZ01000912	-10	0	50266	50574	-	KHN84593.1	Tcan_00059	hypothetical protein
A0A0B2VUC6	JPKZ01000912	-9	0	54171	59139	+	KHN84590.1	Tcan_09206	hypothetical protein
A0A0B2VUC6	JPKZ01000912	-8	0	59790	61759	-	KHN84580.1	Tcan_09185	putative ATP-dependent RNA helicase DDX52
A0A0B2VUC6	JPKZ01000912	-7	0	75806	78609	-	KHN84603.1	Tcan_09215	Geranylgeranyl transferase type-2 subunit alpha
A0A0B2VUC6	JPKZ01000912	-6	0	94009	101474	+	KHN84605.1	Tcan_09213	Transmembrane protein 53-A
A0A0B2VUC6	JPKZ01000912	-5	0	110122	111900	-	KHN84572.1	Tcan_09189	Probable-ribose 5-phosphate isomerase
A0A0B2VUC6	JPKZ01000912	-4	0	182042	185036	+	KHN84602.1	Tcan_09199	hypothetical protein
A0A0B2VUC6	JPKZ01000912	-3	0	198868	200718	+	KHN84577.1	Tcan_09180	Collagen alpha-5(VI) chain
A0A0B2VUC6	JPKZ01000912	-2	0	218787	221240	+	KHN84589.1	Tcan_09205	Cuticle collagen sqt-1
A0A0B2VUC6	JPKZ01000912	-1	0	232601	234406	+	KHN84604.1	Tcan_09214	Tyrosine-protein phosphatase non-receptor type 9
A0A0B2VUC6	JPKZ01000912	0	1	245824	252279	+	KHN84575.1	Tcan_09182	putative tyrosinase-like protein tyr-1
A0A0B2VUC6	JPKZ01000912	1	0	262928	264286	-	KHN84582.1	Tcan_09208	Intraflagellar transport protein 88 -like protein
A0A0B2VUC6	JPKZ01000912	2	0	283588	287138	+	KHN84599.1	Tcan_09191	putative nucleoporin Nup58
A0A0B2VUC6	JPKZ01000912	3	0	301649	303871	+	KHN84609.1	Tcan_09194	hypothetical protein
A0A0B2VUC6	JPKZ01000912	4	0	322291	323820	+	KHN84586.1	Tcan_09202	Coiled-coil and C2 domain-containing protein 1-like
