sequence_id,filter_status
A0A010RYF3_taxID_1445577_model_A,unknown
A0A066Z0K1_taxID_1348663_model,unknown
A0A074RXE5_taxID_1423351_model_A,unknown
A0A075B1D3_taxID_988480_model,unknown
A0A098SBM4_taxID_1524460_model,unknown
A0A0B2VVI5_taxID_6265_model,unknown
A0A0B7A0D2_taxID_1028688_model,unknown
A0A0C3F7Q7_taxID_765440_model,unknown
A0A0D6M6M4_taxID_53326_model,unknown
A0A0E0PEB1_taxID_4529_model,unknown
A0A0F4GBJ7_taxID_1047168_model,unknown
A0A0F9J123_taxID_412755_model,unknown
A0A0G4HRH3_taxID_1169474_model,unknown
A0A0K6FZ23_taxID_456999_model,unknown
A0A0S4LNR0_taxID_1742972_model_A,unknown
A0A139HFA6_taxID_321146_model_A,unknown
A0A162K920_taxID_1081108_model,unknown
A0A163KNP0_taxID_5454_model_A,unknown
A0A166CKA0_taxID_1314776_model,unknown
A0A179HCZ8_taxID_33203_model,unknown
A0A1G6RZ21_taxID_1419277_model,unknown
A0A1H1Q0J6_taxID_546871_model_A,unknown
A0A1H3SYD2_taxID_137265_model_A,unknown
A0A1I4RJF6_taxID_44574_model_A,unknown
A0A1I7H5J0_taxID_1231_model_A,unknown
A0A1I7VBE5_taxID_7209_model,unknown
A0A1I8IJ91_taxID_282301_model,unknown
A0A1L7XXI3_taxID_576137_model,unknown
A0A1S9S186_taxID_104259_model,unknown
A0A1V6PRI1_taxID_416450_model,unknown
A0A1V6QQ78_taxID_416450_model,unknown
A0A1V9YE51_taxID_74557_model,unknown
A0A1X6PIR8_taxID_2786_model,unknown
A0A1Y2CTW7_taxID_329046_model,unknown
A0A1Y2HVF8_taxID_765915_model,unknown
A0A2B4RQ59_taxID_50429_model,unknown
A0A2C5YKI6_taxID_2004952_model,unknown
A0A2G7FYG7_taxID_656916_model_A,unknown
A0A2G8L6J4_taxID_307972_model,unknown
A0A2P5YJV4_taxID_3634_model_A,unknown
A0A2P6U1N3_taxID_3076_model_A,unknown
A0A2R5GU51_taxID_2315210_model,unknown
A0A2T3YXJ6_taxID_1042311_model,unknown
A0A2T7PF37_taxID_400727_model,unknown
A0A2T9YY63_taxID_133385_model,unknown
A0A2U1JAZ7_taxID_133377_model,unknown
A0A364L5W2_taxID_1196081_model,unknown
A0A3B1A6T7_taxID_652676_model_A,unknown
A0A3M6UR97_taxID_46731_model_A,unknown
A0A3N0CP77_taxID_661483_model,unknown
A0A3N4KYW5_taxID_1392247_model,unknown
A0A3R6Z2B6_taxID_112090_model,unknown
A0A409VYZ7_taxID_181874_model,unknown
A0A409WEP5_taxID_231916_model_A,unknown
A0A409YPA9_taxID_231916_model,unknown
A0A418AND4_taxID_157072_model,unknown
A0A418YC39_taxID_2303987_model_A,unknown
A0A423XJ27_taxID_1230097_model,unknown
A0A484G057_taxID_1213857_model,unknown
A0A4P9Y3Y8_taxID_1907219_model,unknown
A0A4P9YFS3_taxID_988480_model,unknown
A0A4Q4SXW4_taxID_155417_model,unknown
A0A4S4M1Y3_taxID_1095465_model_A,unknown
A0A4S4MA69_taxID_1095465_model,unknown
A0A4S4MP01_taxID_2447956_model,unknown
A0A4U0XX60_taxID_329884_model,unknown
A0A4U7AY24_taxID_40998_model,unknown
A0A4V1Q2I3_taxID_2316362_model,unknown
A0A4Z0L9R6_taxID_2562683_model_A,unknown
A0A4Z1K5V5_taxID_87229_model,unknown
A0A507F8P2_taxID_246404_model,unknown
A0A547PT19_taxID_2489174_model,unknown
A0A5B8MIF6_taxID_1764295_model,unknown
A0A5N6JRM5_taxID_61186_model,unknown
A0A5Q4BMU6_taxID_2078593_model,unknown
A0A5S6QUR5_taxID_70415_model,unknown
A0A6B2L294_taxID_1963864_model,unknown
A0A6G0XI62_taxID_100861_model,unknown
A0A6G1HLY0_taxID_703511_model_A,unknown
A0A6H0Y3Z6_taxID_286661_model,unknown
A0A6P8I080_taxID_6105_model,unknown
A0A6P8I583_taxID_6105_model,unknown
A0A6S7IY75_taxID_317549_model_A,unknown
A0A6V7V3D6_taxID_390850_model,unknown
A0A7C8MWQ0_taxID_323545_model_A,unknown
