query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A067BUS0	KK583272	-10	0	78000	78590	-	KDO22229.1	SPRG_22300	hypothetical protein
A0A067BUS0	KK583272	-9	0	84591	85356	+	KDO22230.1	SPRG_12315	hypothetical protein
A0A067BUS0	KK583272	-8	0	85798	86703	-	KDO22231.1	SPRG_12316	hypothetical protein
A0A067BUS0	KK583272	-7	0	87316	88223	-	KDO22232.1	SPRG_12317	hypothetical protein
A0A067BUS0	KK583272	-6	0	89277	90304	-	KDO22233.1	SPRG_12318	hypothetical protein
A0A067BUS0	KK583272	-5	0	91201	91553	-	KDO22234.1	SPRG_12319	hypothetical protein
A0A067BUS0	KK583272	-4	0	95688	96181	-	KDO22235.1	SPRG_12321	hypothetical protein
A0A067BUS0	KK583272	-3	0	99213	99643	-	KDO22236.1	SPRG_12322	hypothetical protein
A0A067BUS0	KK583272	-2	0	100818	101337	-	KDO22237.1	SPRG_12323	hypothetical protein
A0A067BUS0	KK583272	-1	0	101725	102024	-	KDO22238.1	SPRG_12324	hypothetical protein
A0A067BUS0	KK583272	0	1	105132	106022	+	KDO22239.1	SPRG_12325	hypothetical protein
A0A067BUS0	KK583272	1	0	107435	108292	+	KDO22240.1	SPRG_12326	hypothetical protein
A0A067BUS0	KK583272	2	0	110170	110634	-	KDO22241.1	SPRG_12327	hypothetical protein
A0A067BUS0	KK583272	3	0	111055	111835	-	KDO22242.1	SPRG_12328	hypothetical protein
A0A067BUS0	KK583272	4	0	116654	117113	+	KDO22243.1	SPRG_21138	hypothetical protein
A0A067BUS0	KK583272	5	0	139629	141057	+	KDO22244.1	SPRG_12330	hypothetical protein
A0A067BUS0	KK583272	6	0	143658	143914	-	KDO22245.1	SPRG_12331	hypothetical protein
A0A067BUS0	KK583272	7	0	145804	146061	-	KDO22246.1	SPRG_21140	hypothetical protein
A0A067BUS0	KK583272	8	0	148094	148788	+	KDO22247.1	SPRG_12333	DNA repair protein RAD51 1
A0A067BUS0	KK583272	9	0	149287	149591	-	KDO22248.1	SPRG_12334	RecA protein
A0A067BUS0	KK583272	10	0	152777	153174	+	KDO22249.1	SPRG_12335	hypothetical protein
A0A067BTT5	KK583596	-1	0	603	1342	-	KDO17665.1	SPRG_16939	hypothetical protein
A0A067BTT5	KK583596	0	1	2721	3645	-	KDO17666.1	SPRG_16940	hypothetical protein
A0A067BTT5	KK583596	1	0	5608	6412	+	KDO17667.1	SPRG_16941	hypothetical protein
A0A067CPX4	KK583198	-10	0	239349	240340	+	KDO31275.1	SPRG_03890	hypothetical protein
A0A067CPX4	KK583198	-9	0	241065	241915	+	KDO31276.1	SPRG_03891	O-phosphoseryl-tRNA(Sec) selenium transferase
A0A067CPX4	KK583198	-8	0	242933	246435	-	KDO31277.1	SPRG_03892	hypothetical protein
A0A067CPX4	KK583198	-7	0	247844	248724	+	KDO31278.1	SPRG_03893	hypothetical protein
A0A067CPX4	KK583198	-6	0	249617	250412	+	KDO31279.1	SPRG_03894	hypothetical protein
A0A067CPX4	KK583198	-5	0	251001	251289	+	KDO31280.1	SPRG_03895	hypothetical protein
