query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A062U9V8	AWFF01000061	0	1	396	1904	-	KCZ52930.1	HY29_17770	hypothetical protein
A0A062U9V8	AWFF01000061	1	0	2253	5660	-	KCZ52931.1	HY29_17775	hypothetical protein
A0A062U9V8	AWFF01000061	2	0	5657	7144	-	KCZ52932.1	HY29_17780	hypothetical protein
A0A062U9V8	AWFF01000061	3	0	7101	7724	-	KCZ52933.1	HY29_17785	hypothetical protein
A0A062U9V8	AWFF01000061	4	0	7941	8528	+	KCZ52934.1	HY29_17790	hypothetical protein
A0A062U9V8	AWFF01000061	5	0	8518	9567	+	KCZ52935.1	HY29_17795	hypothetical protein
A0A062U9V8	AWFF01000061	6	0	9635	13423	+	KCZ52936.1	HY29_17800	hypothetical protein
A0A062U9V8	AWFF01000061	7	0	13551	14456	-	KCZ52937.1	HY29_17805	hypothetical protein
A0A062U9V8	AWFF01000061	8	0	14587	15630	-	KCZ52938.1	HY29_17810	hypothetical protein
A0A066Z0K1	JNBY01000041	-10	0	15415	16335	+	KDN87303.1	KCH_09300	regulatory protein
A0A066Z0K1	JNBY01000041	-9	0	16357	16884	+	KDN87304.1	KCH_09310	putative acetyltransferase
A0A066Z0K1	JNBY01000041	-8	0	16881	17936	+	KDN87305.1	KCH_09320	putative oxidoreductase
A0A066Z0K1	JNBY01000041	-7	0	18055	18987	+	KDN87306.1	KCH_09330	hypothetical protein
A0A066Z0K1	JNBY01000041	-6	0	19122	21005	-	KDN87308.1	KCH_09350	amino acid transporter
A0A066Z0K1	JNBY01000041	-5	0	20979	21164	+	KDN87307.1	KCH_09340	hypothetical protein
A0A066Z0K1	JNBY01000041	-4	0	21542	22216	+	KDN87309.1	KCH_09360	LuxR family transcriptional regulator
A0A066Z0K1	JNBY01000041	-3	0	22352	22921	+	KDN87310.1	KCH_09370	hypothetical protein
A0A066Z0K1	JNBY01000041	-2	0	22897	26019	+	KDN87311.1	KCH_09380	hypothetical protein
A0A066Z0K1	JNBY01000041	-1	0	26102	26401	-	KDN87312.1	KCH_09390	hypothetical protein
A0A066Z0K1	JNBY01000041	0	1	26398	27207	-	KDN87313.1	KCH_09400	hypothetical protein
A0A066Z0K1	JNBY01000041	1	0	27207	27605	-	KDN87314.1	KCH_09410	hypothetical protein
A0A066Z0K1	JNBY01000041	2	0	27878	28951	+	KDN87315.1	KCH_09420	hypothetical protein
A0A066Z0K1	JNBY01000041	3	0	29038	30225	+	KDN87316.1	KCH_09430	histidine kinase
A0A066Z0K1	JNBY01000041	4	0	30222	30491	+	KDN87317.1	KCH_09440	transcriptional regulatory protein liaR
A0A066Z0K1	JNBY01000041	5	0	30485	30907	+	KDN87318.1	KCH_09450	transcriptional regulatory protein liaR
A0A066Z0K1	JNBY01000041	6	0	31024	31983	-	KDN87319.1	KCH_09460	Platelet-activating factor acetylhydrolase, plasma/intracellular isoform II
A0A066Z0K1	JNBY01000041	7	0	32422	35787	+	KDN87320.1	KCH_09470	hypothetical protein
A0A066Z0K1	JNBY01000041	8	0	35756	36247	-	KDN87321.1	KCH_09480	hypothetical protein
A0A066Z0K1	JNBY01000041	9	0	36370	38346	+	KDN87322.1	KCH_09490	hypothetical protein
A0A066Z0K1	JNBY01000041	10	0	38711	39499	-	KDN87323.1	KCH_09500	hypothetical protein
A0A098SBM4	JPOS01000004	-10	0	72293	73012	-	KGE89566.1	IX84_01975	transcriptional regulator
A0A098SBM4	JPOS01000004	-9	0	73143	73940	+	KGE89567.1	IX84_01980	hypothetical protein
A0A098SBM4	JPOS01000004	-8	0	74104	76431	+	KGE89568.1	IX84_01985	acyl-CoA oxidase
A0A098SBM4	JPOS01000004	-7	0	77622	78830	-	KGE89569.1	IX84_01995	hypothetical protein
A0A098SBM4	JPOS01000004	-6	0	79640	79960	+	KGE89570.1	IX84_02000	hypothetical protein
A0A098SBM4	JPOS01000004	-5	0	81344	82936	-	KGE89571.1	IX84_02010	histidine kinase
A0A098SBM4	JPOS01000004	-4	0	82963	83661	-	KGE89572.1	IX84_02015	glycosyl hydrolase
A0A098SBM4	JPOS01000004	-3	0	83873	85372	+	KGE89573.1	IX84_02020	hypothetical protein
A0A098SBM4	JPOS01000004	-2	0	85396	86952	+	KGE89574.1	IX84_02025	histidine ammonia-lyase
A0A098SBM4	JPOS01000004	-1	0	86965	88449	-	KGE89575.1	IX84_02030	hypothetical protein
A0A098SBM4	JPOS01000004	0	1	88515	89771	-	KGE89576.1	IX84_02035	hypothetical protein
A0A098SBM4	JPOS01000004	1	0	91188	91472	-	KGE89577.1	IX84_02045	hypothetical protein
A0A098SBM4	JPOS01000004	2	0	91674	91916	-	KGE89578.1	IX84_02050	hypothetical protein
A0A098SBM4	JPOS01000004	3	0	91995	92810	+	KGE89579.1	IX84_02055	hypothetical protein
A0A098SBM4	JPOS01000004	4	0	92807	94096	-	KGE89580.1	IX84_02060	hypothetical protein
A0A098SBM4	JPOS01000004	5	0	94597	94833	-	KGE89581.1	IX84_02070	hypothetical protein
A0A098SBM4	JPOS01000004	6	0	94974	95825	-	KGE89582.1	IX84_02075	hypothetical protein
A0A098SBM4	JPOS01000004	7	0	96008	96370	+	KGE89583.1	IX84_02080	methylglyoxal synthase
A0A098SBM4	JPOS01000004	8	0	96417	97859	+	KGE89584.1	IX84_02085	lytic transglycosylase
A0A098SBM4	JPOS01000004	9	0	98022	101204	-	KGE89585.1	IX84_02090	hypothetical protein
A0A098SBM4	JPOS01000004	10	0	101537	102112	+	KGE89586.1	IX84_02100	hypothetical protein
A0A0A0B9F3	AXNT01000048	-8	0	1	868	-	KGM02431.1	Q760_13380	esterase
A0A0A0B9F3	AXNT01000048	-7	0	1065	2630	-	KGM02416.1	Q760_13385	esterase
A0A0A0B9F3	AXNT01000048	-6	0	2663	3079	-	KGM02417.1	Q760_13390	hypothetical protein
A0A0A0B9F3	AXNT01000048	-5	0	3381	3818	-	KGM02432.1	Q760_13395	hypothetical protein
A0A0A0B9F3	AXNT01000048	-4	0	3815	7864	-	KGM02433.1	Q760_13400	hypothetical protein
A0A0A0B9F3	AXNT01000048	-3	0	8330	9016	+	KGM02418.1	Q760_13405	tRNA (guanine-N(7)-)-methyltransferase
A0A0A0B9F3	AXNT01000048	-2	0	9041	9502	-	KGM02419.1	Q760_13410	hypothetical protein
A0A0A0B9F3	AXNT01000048	-1	0	9695	10639	+	KGM02420.1	Q760_13415	LysR family transcriptional regulator
A0A0A0B9F3	AXNT01000048	0	1	10714	13452	+	KGM02434.1	Q760_13420	hypothetical protein
A0A0A0B9F3	AXNT01000048	1	0	13539	13961	-	KGM02421.1	Q760_13425	Organic hydroperoxide resistance protein ohrA
A0A0A0B9F3	AXNT01000048	2	0	14116	14709	+	KGM02422.1	Q760_13430	TetR family transcriptional regulator
A0A0A0B9F3	AXNT01000048	3	0	14931	15083	-	KGM02435.1	Q760_13435	hypothetical protein
A0A0A0B9F3	AXNT01000048	4	0	15050	15526	-	KGM02423.1	Q760_13440	transcriptional regulator
A0A0A0B9F3	AXNT01000048	5	0	15703	16824	+	KGM02424.1	Q760_13445	12-oxophytodienoate reductase
A0A0A0B9F3	AXNT01000048	6	0	16992	17555	-	KGM02425.1	Q760_13450	hypothetical protein
A0A0A0B9F3	AXNT01000048	7	0	17638	17901	+	KGM02436.1	Q760_13455	hypothetical protein
A0A0A0B9F3	AXNT01000048	8	0	17969	18937	+	KGM02426.1	Q760_13460	NADP-dependent aryl-alcohol dehydrogenase
A0A0A0B9F3	AXNT01000048	9	0	19283	19936	+	KGM02437.1	Q760_13470	hypothetical protein
A0A0A0B9F3	AXNT01000048	10	0	20104	21552	+	KGM02438.1	Q760_13475	hypothetical protein
A0A0A0F2E9	AVPU01000004	-5	0	672	1220	+	KGM55567.1	N800_12650	hypothetical protein
A0A0A0F2E9	AVPU01000004	-4	0	2597	3331	+	KGM55568.1	N800_12665	hypothetical protein
A0A0A0F2E9	AVPU01000004	-3	0	3415	3954	+	KGM55569.1	N800_12670	hypothetical protein
A0A0A0F2E9	AVPU01000004	-2	0	4014	4532	+	KGM55570.1	N800_12675	hypothetical protein
A0A0A0F2E9	AVPU01000004	-1	0	4733	5194	+	KGM55571.1	N800_12680	cupin
A0A0A0F2E9	AVPU01000004	0	1	5211	7844	-	KGM55572.1	N800_12685	hypothetical protein
A0A0A0F2E9	AVPU01000004	1	0	7844	8098	-	KGM55573.1	N800_12690	hypothetical protein
A0A0A0F2E9	AVPU01000004	2	0	8720	9484	+	KGM55574.1	N800_12695	hypothetical protein
A0A0A0F2E9	AVPU01000004	3	0	9625	10257	+	KGM55575.1	N800_12700	hypothetical protein
A0A0A0F2E9	AVPU01000004	4	0	10419	10811	+	KGM55576.1	N800_12705	hypothetical protein
A0A0A0F2E9	AVPU01000004	5	0	10891	11088	+	KGM55577.1	N800_12710	hypothetical protein
A0A0A0F2E9	AVPU01000004	6	0	11085	11471	+	KGM55578.1	N800_12715	glyoxalase
A0A0A0F2E9	AVPU01000004	7	0	11484	11897	+	KGM55579.1	N800_12720	hypothetical protein
A0A0A0F2E9	AVPU01000004	8	0	11957	12346	+	KGM55580.1	N800_12725	hypothetical protein
A0A0A0F2E9	AVPU01000004	9	0	12424	13293	-	KGM55581.1	N800_12730	quercetin 2,3-dioxygenase
A0A0A0F2E9	AVPU01000004	10	0	13613	15889	-	KGM55582.1	N800_12735	nitric oxide reductase large subunit
A0A098YAD9	JPMX01000042	-10	0	52015	52284	-	KGH46726.1	IN07_10775	hypothetical protein
A0A098YAD9	JPMX01000042	-9	0	52397	52957	+	KGH46727.1	IN07_10780	dehydrogenase
