accession	status	n_sites	n_cu	n_other_metal	metals	cu_prob_max	all_probs	ligands	tier	n_his
A0A010RV53	ok	2	1	1	Copper;FECONI	0.93	FECONI:0.99;Copper:0.93	205,A,HIS;213,A,HIS;222,A,HIS | 390,A,HIS;394,A,HIS;417,A,HIS	mononuclear	5
A0A014N831	ok	2	2	0	Copper	0.99	Copper:0.99;Copper:0.92	141,A,HIS;149,A,HIS;158,A,HIS | 293,A,HIS;318,A,HIS;319,A,HIS	mononuclear	5
A0A016W215	ok	1	1	0	Copper	0.91	Copper:0.91	70,A,HIS;80,A,HIS	no_cu	3
A0A016W324	ok	0	0	0					no_cu	3
A0A023GU59	ok	2	1	1	Copper;FECONI	0.95	FECONI:0.98;Copper:0.95	183,A,HIS;213,A,HIS | 335,A,HIS;339,A,HIS;368,A,HIS;369,A,HIS	mononuclear	5
A0A024UGQ1	ok	1	1	0	Copper	0.98	Copper:0.98	323,A,HIS;327,A,HIS;349,A,HIS	mononuclear	4
A0A061GFI2	ok	0	0	0					mononuclear	3
A0A066RUA7	ok	2	1	1	Copper;Zinc	0.90	Copper:0.90;Zinc:0.96	62,A,HIS;69,A,CYS;80,A,HIS | 207,A,HIS;211,A,HIS;244,A,HIS;245,A,HIS	mononuclear	5
A0A066X3Q1	ok	1	0	1	FECONI		FECONI:0.98	138,A,HIS;146,A,HIS;155,A,HIS	mononuclear	5
A0A066XSE1	ok	2	0	2	FECONI		FECONI:0.92;FECONI:1.00	390,A,HIS;394,A,HIS;417,A,HIS | 205,A,HIS;213,A,HIS;222,A,HIS	mononuclear	5
A0A067CT24	ok	1	0	1	FECONI		FECONI:0.98	228,A,HIS;232,A,HIS;255,A,HIS	mononuclear	3
A0A067CZT6	ok	2	0	2	FECONI		FECONI:0.92;FECONI:0.98	82,A,HIS;88,A,HIS;92,A,HIS | 82,A,HIS;92,A,HIS;101,A,HIS	mononuclear	5
A0A072Q6Y5	ok	1	0	1	FECONI		FECONI:0.99	11,A,HIS;19,A,HIS;28,A,HIS	mononuclear	5
A0A074RWE6	ok	1	1	0	Copper	0.96	Copper:0.96	119,A,HIS;136,A,HIS	no_cu	3
