query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0L1JH90	JNOM01000005	-10	0	52693	53563	+	KNG91180.1	ANOM_000536	nitroreductase family protein
A0A0L1JH90	JNOM01000005	-9	0	54421	55095	+	KNG91179.1	ANOM_000537	RTA1 domain protein
A0A0L1JH90	JNOM01000005	-8	0	55620	56971	-	KNG91202.1	ANOM_000538	ATP-binding cassette transporter
A0A0L1JH90	JNOM01000005	-7	0	61324	62785	-	KNG91178.1	ANOM_000539	putative C6 finger domain protein
A0A0L1JH90	JNOM01000005	-6	0	63984	65197	+	KNG91119.1	ANOM_000540	n-alkane-inducible cytochrome P450
A0A0L1JH90	JNOM01000005	-5	0	66479	68344	+	KNG91120.1	ANOM_000541	dihydroxy-acid dehydratase
A0A0L1JH90	JNOM01000005	-4	0	69428	70376	-	KNG91117.1	ANOM_000542	integral membrane protein (Pth11)
A0A0L1JH90	JNOM01000005	-3	0	72741	73818	+	KNG91118.1	ANOM_000543	O-methyltransferase
A0A0L1JH90	JNOM01000005	-2	0	74648	75919	-	KNG91123.1	ANOM_000544	hypothetical protein
A0A0L1JH90	JNOM01000005	-1	0	78269	79891	-	KNG91124.1	ANOM_000545	hypothetical protein
A0A0L1JH90	JNOM01000005	0	1	81928	82732	-	KNG91121.1	ANOM_000546	putative tyrosinase
A0A0L1JH90	JNOM01000005	1	0	86944	87484	+	KNG91122.1	ANOM_000547	hypothetical protein
A0A0L1JH90	JNOM01000005	2	0	89477	91347	+	KNG91115.1	ANOM_000548	hypothetical protein
A0A0L1JH90	JNOM01000005	3	0	93144	95741	-	KNG91116.1	ANOM_000549	alfa-L-rhamnosidase
A0A0L1JH90	JNOM01000005	4	0	97186	97800	+	KNG91173.1	ANOM_000550	glycosyl hydrolase family 43 protein
A0A0L1JH90	JNOM01000005	5	0	99320	100132	-	KNG91105.1	ANOM_000551	alanyl-tRNA synthetase
A0A0L1JH90	JNOM01000005	6	0	101692	102293	+	KNG91175.1	ANOM_000552	putative amino acid transporter
