accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A0A7CP65	20	0		0	0	0	0	none
A0A0P1ANE6	20	0		0	0	0	0	none
A0A1V9YE51	1	0		0	0	0	0	none
A0A1V9Z4B6	11	0		0	0	0	0	none
A0A3M6VLC9	11	0		0	0	0	0	none
A0A3R6YR15	0	0		0	0	0	0	none
A0A3R7FX46	14	0		0	0	0	0	none
A0A485KPS2	20	0		0	0	0	0	none
A0A6A3FBU7	11	0		0	0	0	0	none
A0A833WLV2	20	0		0	1	0	0	none
A0A8J5IZX1	13	0		0	0	0	0	none
A0A8T1W6M6	18	0		0	1	0	0	none
A0A8T1WU85	13	0		0	0	0	0	none
A0A976IE71	20	0		0	0	0	0	none
A0AAD9GMI7	20	0		0	1	0	0	none
A0AAU9KU22	20	0		0	0	0	0	none
A0AAV0UFB5	20	0		0	0	0	0	none
A0AAV0UHU3	12	0		0	1	0	0	none
A0AAV0V041	20	0		0	0	0	0	none
A0ABD3FX43	20	0		0	0	0	0	none
A0ABN8C0W3	20	0		0	1	0	0	none
A0ABN8CNH4	12	0		0	0	0	0	none
T0PU14	20	0		0	0	0	0	none
V9E917	10	0		0	0	0	0	none
V9EB77	10	0		0	0	0	0	none
