rep1	rep2	min_tm
A0A8W8K3U7_taxID_29159_model_A	K1PI66_taxID_29159_model_A	0.8973
A0A7X1AU61_taxID_2724178_model	A0ABW8R094_taxID_2853159_model	0.8964
A0A2U1J1R3_taxID_133377_model_A	A0A2U1JAK2_taxID_133377_model_A	0.8935
A0A9P8LAU2_taxID_265104_model	A0A9W9WHE0_taxID_1303715_model	0.8924
A0A1I4PP49_taxID_44574_model_A	E8T7H2_taxID_765698_model_A	0.8843
A0A9W9NW18_taxID_5077_model	A0AAD6D6A6_taxID_3151616_model	0.8839
A0A7X1YCU5_taxID_1608996_model_A	A0ABU8D3Y1_taxID_1792846_model_A	0.8838
A0AAV9UA50_taxID_1796055_model	G1XQQ0_taxID_756982_model	0.8822
A0A0L0SHB1_taxID_578462_model	A0A1Y2HB26_taxID_765915_model	0.8822
A0A4S2H0H1_taxID_2029849_model	A0ABZ0TQ63_taxID_1173583_model	0.8820
A0A7D3Y0J0_taxID_2739433_model	A0ABS1DFY7_taxID_1088_model	0.8815
A0ACC2TJW4_taxID_34485_model	A0ACC2TU75_taxID_34485_model	0.8813
A0A553I4E8_taxID_2512241_model	A0ACC2JI51_taxID_1108764_model	0.8812
A0ACC2S963_taxID_34485_model_A	A0ACC2T351_taxID_34485_model_A	0.8806
A0AAV2Z0Q5_taxID_4803_model	A0AAV2Z5P0_taxID_4803_model	0.8801
A0AA39XPR0_taxID_869390_model	A0ABR3TC55_taxID_856260_model	0.8799
A0A9D4H0D1_taxID_45954_model	A0A9D4IXN3_taxID_45954_model	0.8798
A0A080ZVS5_taxID_1317066_model	W2Z167_taxID_1317064_model	0.8786
A0A7M5WYG4_taxID_252671_model	A0ABM4B626_taxID_6087_model	0.8774
A0A074W6F3_taxID_1043004_model_A	A0A9P8G4G9_taxID_46634_model_A	0.8752
A0A507BB61_taxID_1093900_model	A0A9P4LGD6_taxID_210430_model	0.8751
A0A4Q9RBJ6_taxID_2211392_model_A	A0ABR7X9J7_taxID_534635_model_A	0.8750
A0A0L0T3A5_taxID_578462_model	A0A1Y2HM72_taxID_765915_model	0.8748
A0AAU9WFM1_taxID_46732_model	A0ABN8RND1_taxID_104759_model	0.8747
A0ABR1U9F9_taxID_2905665_model	A0ABR1US72_taxID_335842_model	0.8746
A0A6A6U210_taxID_703497_model_A	A0A6G1G9W7_taxID_1392243_model_A	0.8740
A0A9D4IFB3_taxID_45954_model	A0A9D4IXN3_taxID_45954_model	0.8731
A0A9X8N4J4_taxID_156453_model_A	A0ABT7A7R5_taxID_1384038_model_A	0.8728
A0A7G5C193_taxID_2598458_model	A0AA95F4Q0_taxID_3121368_model	0.8721
A0A7S2CZV2_taxID_3111310_model_A	A0A7S2FUY7_taxID_3111310_model_A	0.8720
A0A1H7Q7S9_taxID_183556_model_A	A0A6J4HUK3_taxID_310071_model_A	0.8719
A0ABX2QSF3_taxID_117680_model	A0ACC6LFG7_taxID_2740531_model	0.8717
A0A1I4PP49_taxID_44574_model_A	A0A917QDB2_taxID_690164_model_A	0.8708
A0A4T0VD25_taxID_80884_model_A	A0ACC3YYZ1_taxID_5467_model_A	0.8705
A0A4T0BL07_taxID_5580_model_A	A0A9P8G4G9_taxID_46634_model_A	0.8702
A0A1S3HNS5_taxID_7574_model	A0A1S3IIA6_taxID_7574_model	0.8700
A0A4P9XIM0_taxID_78915_model_A	A0A4P9Z2E4_taxID_1712513_model_A	0.8692
A0ABD2LI83_taxID_157864_model	A0ABD2LYB3_taxID_157864_model	0.8691
A0A4Y9SBZ4_taxID_2561931_model_A	A0A562UDK5_taxID_652788_model_A	0.8691
A0A8K0QVH6_taxID_798071_model	A0A9P4V0B1_taxID_682080_model_A	0.8687
A0A6H9V3S2_taxID_2615112_model_A	A0A918Z9R4_taxID_2014920_model_A	0.8684
A0A1R1Y573_taxID_133412_model_A	A0A1R1YED9_taxID_133412_model_A	0.8683
A0A6V1RYI1_taxID_2829_model	A0A7S2CZV2_taxID_3111310_model_A	0.8680
A0A6M5YW59_taxID_2774151_model	A0A6P2D548_taxID_1210884_model	0.8679
A0A075AX41_taxID_988480_model	A0A4P9YFJ7_taxID_988480_model	0.8667
A0A3F2RUY6_taxID_325452_model	A0A421GP30_taxID_325452_model	0.8660
A0A2S5KMK1_taxID_2083153_model	A0ABX5LUF6_taxID_1635171_model	0.8660
A0A8B8BGL0_taxID_6565_model_A	A0A8W8LVB7_taxID_29159_model_A	0.8650
A0ABV4X3A9_taxID_3153654_model	A0ABV4YIH6_taxID_3153640_model	0.8648
A0A917QDB2_taxID_690164_model_A	E8T7H2_taxID_765698_model_A	0.8641
