accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0A010RV53	mononuclear	5	CuA	0.44	97.3	CuB	0.55	95.0	3.84	3	32	0.77	0.950	0.77	CU	0.97	0.880	0.97	CU								
A0A014N831	mononuclear	5	CuA	0.37	96.3	CuB	0.53	94.6	3.74	3	26	0.30	0.990	0.30	CU	1.07	0.950	1.07	CU								
A0A016W215	no_cu	3	CuA	0.78	90.6	neither		57.5	27.72	0	18			0.29	X			4.63	X								
A0A016W324	no_cu	3	CuA	0.87	93.5	neither		64.6	17.28	0	30			5.61	X			1.01	X								
A0A023GU59	mononuclear	5	CuB	0.47	96.0	CuA	0.57	85.2	3.74	2	35	0.42	0.970	0.42	CU	0.77	0.570	0.77	CU								
A0A024UGQ1	mononuclear	4	CuB	0.33	95.9	neither		61.6	24.93	1	29	0.37	0.770	0.37	CU	24.80	0.770	10.09	X	4.14	0.920	4.14	CU	1.28	0.900	1.28	CU
A0A061GFI2	mononuclear	3	CuA	1.37	59.6	neither		34.5	5.36	0	37			0.96	X			3.99	X			2.44	X			2.58	X
A0A066RUA7	mononuclear	5	CuB	0.38	92.7	CuA	0.95	85.2	4.18	2	27	0.30	0.990	0.30	CU	0.65	0.440	0.65	CU								
A0A066X3Q1	mononuclear	5	CuA	0.39	94.5	CuB	0.21	86.2	3.98	3	22	0.36	0.940	0.36	CU	0.59	0.710	0.59	CU								
A0A066XSE1	mononuclear	5	CuA	0.57	96.2	CuB	0.53	94.8	3.92	2	24	1.16	0.560	1.16	CU	3.56	0.150	3.56	CU								
