query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A066XSE1	JMSE01000325	-10	0	36063	37010	+	KDN70614.1	CSUB01_04475	hypothetical protein
A0A066XSE1	JMSE01000325	-9	0	37072	38089	-	KDN70615.1	CSUB01_04476	hypothetical protein
A0A066XSE1	JMSE01000325	-8	0	40602	42473	+	KDN70616.1	CSUB01_04477	hypothetical protein
A0A066XSE1	JMSE01000325	-7	0	44029	45749	+	KDN70617.1	CSUB01_04478	hypothetical protein
A0A066XSE1	JMSE01000325	-6	0	47133	49531	-	KDN70618.1	CSUB01_04479	hypothetical protein
A0A066XSE1	JMSE01000325	-5	0	50526	51604	-	KDN70619.1	CSUB01_04480	hypothetical protein
A0A066XSE1	JMSE01000325	-4	0	52423	53741	-	KDN70620.1	CSUB01_04481	hypothetical protein
A0A066XSE1	JMSE01000325	-3	0	54463	55537	-	KDN70621.1	CSUB01_04482	hypothetical protein
A0A066XSE1	JMSE01000325	-2	0	60356	61385	-	KDN70622.1	CSUB01_04483	hypothetical protein
A0A066XSE1	JMSE01000325	-1	0	62266	63965	-	KDN70623.1	CSUB01_04484	putative RIO1 family protein
A0A066XSE1	JMSE01000325	0	1	65977	67650	+	KDN70624.1	CSUB01_04485	hypothetical protein
A0A066XSE1	JMSE01000325	1	0	70160	71641	+	KDN70625.1	CSUB01_04486	hypothetical protein
A0A066XSE1	JMSE01000325	2	0	75905	76862	+	KDN70626.1	CSUB01_04487	putative zinc carboxypeptidase
A0A066XSE1	JMSE01000325	3	0	77709	78710	-	KDN70627.1	CSUB01_04488	putative phytanoyl-CoA dioxygenase
A0A066XSE1	JMSE01000325	4	0	79365	80681	-	KDN70628.1	CSUB01_04489	hypothetical protein
A0A066XSE1	JMSE01000325	5	0	84224	85882	+	KDN70629.1	CSUB01_04490	putative amidohydrolase
A0A066XSE1	JMSE01000325	6	0	86694	87574	+	KDN70630.1	CSUB01_04491	putative cutinase
A0A066XSE1	JMSE01000325	7	0	88208	89512	-	KDN70631.1	CSUB01_04492	putative oxidoreductase family protein
A0A066XSE1	JMSE01000325	8	0	90747	91804	+	KDN70632.1	CSUB01_04493	putative major facilitator superfamily transporter
A0A066XSE1	JMSE01000325	9	0	94345	97355	-	KDN70633.1	CSUB01_04494	putative glycoside hydrolase family 2
A0A066XSE1	JMSE01000325	10	0	98349	99368	-	KDN70634.1	CSUB01_04495	putative AFUA_2G17970 family ergot alkaloid biosynthesis protein
A0A010RV53	JARH01000168	-10	0	106099	107759	+	EXF84411.1	CFIO01_02726	kinase activator
A0A010RV53	JARH01000168	-9	0	111143	112939	+	EXF84412.1	CFIO01_02727	hypothetical protein
A0A010RV53	JARH01000168	-8	0	113335	114554	-	EXF84413.1	CFIO01_02728	hypothetical protein
A0A010RV53	JARH01000168	-7	0	115621	116412	-	EXF84414.1	CFIO01_02729	hypothetical protein
A0A010RV53	JARH01000168	-6	0	120712	123876	-	EXF84415.1	CFIO01_02730	hypothetical protein
A0A010RV53	JARH01000168	-5	0	125577	126701	+	EXF84416.1	CFIO01_02731	hypothetical protein
A0A010RV53	JARH01000168	-4	0	129939	131177	-	EXF84417.1	CFIO01_02732	hypothetical protein
A0A010RV53	JARH01000168	-3	0	132060	133402	-	EXF84418.1	CFIO01_02733	hypothetical protein
A0A010RV53	JARH01000168	-2	0	134179	135293	-	EXF84419.1	CFIO01_02734	hypothetical protein
A0A010RV53	JARH01000168	-1	0	136091	137779	-	EXF84420.1	CFIO01_02735	RIO1 family protein
A0A010RV53	JARH01000168	0	1	139906	140757	+	EXF84421.1	CFIO01_02736	hypothetical protein
A0A010RV53	JARH01000168	1	0	143451	144920	+	EXF84422.1	CFIO01_02737	hypothetical protein
A0A010RV53	JARH01000168	2	0	145531	147003	+	EXF84423.1	CFIO01_02738	hypothetical protein
A0A010RV53	JARH01000168	3	0	147538	148914	+	EXF84424.1	CFIO01_02739	hypothetical protein
A0A010RV53	JARH01000168	4	0	150542	151347	+	EXF84425.1	CFIO01_02740	zinc carboxypeptidase
A0A010RV53	JARH01000168	5	0	152804	153616	-	EXF84426.1	CFIO01_02741	hypothetical protein
A0A010RV53	JARH01000168	6	0	155231	156162	-	EXF84427.1	CFIO01_02742	hypothetical protein
A0A010RV53	JARH01000168	7	0	159550	161205	+	EXF84428.1	CFIO01_02743	amidohydrolase
A0A010RV53	JARH01000168	8	0	161667	162717	+	EXF84429.1	CFIO01_02744	cutinase
A0A010RV53	JARH01000168	9	0	163865	164379	-	EXF84430.1	CFIO01_02745	major facilitator superfamily transporter
A0A010RV53	JARH01000168	10	0	167032	168336	+	EXF84431.1	CFIO01_02746	oxidoreductase
A0A135V8Q3	JFFI01000164	-10	0	57282	57944	-	KXH69094.1	CSAL01_01456	hypothetical protein
A0A135V8Q3	JFFI01000164	-9	0	58627	59247	+	KXH69095.1	CSAL01_01457	hypothetical protein
A0A135V8Q3	JFFI01000164	-8	0	59329	61641	-	KXH69096.1	CSAL01_01458	hypothetical protein
A0A135V8Q3	JFFI01000164	-7	0	63764	65786	+	KXH69097.1	CSAL01_01459	hypothetical protein
A0A135V8Q3	JFFI01000164	-6	0	67498	69283	+	KXH69098.1	CSAL01_01460	hypothetical protein
A0A135V8Q3	JFFI01000164	-5	0	70649	71134	-	KXH69099.1	CSAL01_01461	hypothetical protein
A0A135V8Q3	JFFI01000164	-4	0	73211	74433	-	KXH69100.1	CSAL01_01462	hypothetical protein
A0A135V8Q3	JFFI01000164	-3	0	75326	76669	-	KXH69101.1	CSAL01_01463	hypothetical protein
A0A135V8Q3	JFFI01000164	-2	0	77468	78579	-	KXH69102.1	CSAL01_01464	hypothetical protein
A0A135V8Q3	JFFI01000164	-1	0	79431	81119	-	KXH69103.1	CSAL01_01465	RIO1 family protein
A0A135V8Q3	JFFI01000164	0	1	83207	84054	+	KXH69104.1	CSAL01_01466	hypothetical protein
A0A135V8Q3	JFFI01000164	1	0	86726	88201	+	KXH69105.1	CSAL01_01467	hypothetical protein
A0A135V8Q3	JFFI01000164	2	0	89186	90331	+	KXH69106.1	CSAL01_01468	hypothetical protein
A0A135V8Q3	JFFI01000164	3	0	91101	92243	+	KXH69107.1	CSAL01_01469	hypothetical protein
A0A135V8Q3	JFFI01000164	4	0	93881	94836	+	KXH69108.1	CSAL01_01470	zinc carboxypeptidase
A0A135V8Q3	JFFI01000164	5	0	95831	97077	-	KXH69109.1	CSAL01_01471	hypothetical protein
A0A135V8Q3	JFFI01000164	6	0	98915	99499	-	KXH69110.1	CSAL01_01472	hypothetical protein
A0A135V8Q3	JFFI01000164	7	0	99524	100265	-	KXH69111.1	CSAL01_01473	hypothetical protein
A0A135V8Q3	JFFI01000164	8	0	101784	103442	+	KXH69112.1	CSAL01_01474	amidohydrolase
A0A135V8Q3	JFFI01000164	9	0	104390	105029	+	KXH69113.1	CSAL01_01475	cutinase
A0A135V8Q3	JFFI01000164	10	0	105935	106450	-	KXH69114.1	CSAL01_01476	major facilitator superfamily transporter
A0A166U3J7	LFIV01000051	-10	0	206138	209521	-	KZL72936.1	CT0861_11379	NACHT and ankyrin domain protein
A0A166U3J7	LFIV01000051	-9	0	210002	210694	-	KZL72923.1	CT0861_03578	ankyrin repeat protein
A0A166U3J7	LFIV01000051	-8	0	212113	214176	+	KZL72924.1	CT0861_03579	hypothetical protein
A0A166U3J7	LFIV01000051	-7	0	215908	217638	+	KZL72938.1	CT0861_11382	protein PNS1
A0A166U3J7	LFIV01000051	-6	0	219265	221643	-	KZL72937.1	CT0861_03574	riboflavin kinase (NB-ARC domain protein)
A0A166U3J7	LFIV01000051	-5	0	223138	226437	+	KZL72888.1	CT0861_03587	ankyrin repeat and SAM domain containing protein 6
A0A166U3J7	LFIV01000051	-4	0	226968	227978	-	KZL72948.1	CT0861_03577	hypothetical protein
A0A166U3J7	LFIV01000051	-3	0	228248	229280	-	KZL72947.1	CT0861_03576	hypothetical protein
A0A166U3J7	LFIV01000051	-2	0	230786	231860	-	KZL72883.1	CT0861_11381	WSC domain protein
A0A166U3J7	LFIV01000051	-1	0	232635	234329	-	KZL72939.1	CT0861_11380	RIO kinase 1
A0A166U3J7	LFIV01000051	0	1	236635	237100	+	KZL72889.1	CT0861_03586	tyrosinase-like protein
A0A166U3J7	LFIV01000051	1	0	240680	242140	+	KZL72893.1	CT0861_03581	hypothetical protein
