protein_id	pfam
CAB3984901	PF00067|Cytochrome P450
CAB3984902	PF00067|Cytochrome P450
CAB3984904	
CAB3984905	
CAB3984906	
CAB3984907	PF00629|MAM domain, meprin/A5/mu
CAB3984908	
CAB3988864	
CAB3988865	
CAB3988866	
CAB3988867	
CAB3988868	PF02902|Ulp1 protease family, C-terminal catalytic domain
CAB3988869	PF08313|SCA7, zinc-binding domain
CAB3988870	PF00071|Ras family
CAB3988871	PF00071|Ras family
CAB3996760	
CAB3996761	
CAB3999844	PF28514|Domain of unknown function (DUF8422)
CAB3999845	
CAB4004610	PF00400|WD domain, G-beta repeat;PF23098|Nucleolar protein 10-like, N-terminal domain
CAB4004611	PF00400|WD domain, G-beta repeat;PF23098|Nucleolar protein 10-like, N-terminal domain
CAB4004612	PF11788|39S mitochondrial ribosomal protein L46
CAB4004613	PF11788|39S mitochondrial ribosomal protein L46
CAB4004614	PF00479|Glucose-6-phosphate dehydrogenase, NAD binding domain;PF02781|Glucose-6-phosphate dehydrogenase, C-terminal domain
CAB4004615	PF00089|Trypsin
CAB4006232	
CAB4013469	PF00264|Common central domain of tyrosinase
CAB4013470	PF00264|Common central domain of tyrosinase
CAB4015743	
CAB4016272	PF00092|von Willebrand factor type A domain;PF00264|Common central domain of tyrosinase
CAB4016273	PF00092|von Willebrand factor type A domain;PF00264|Common central domain of tyrosinase
CAB4021862	
CAB4021863	
CAH3014885	PF00264|Common central domain of tyrosinase
CAH3014887	PF05456|Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
CAH3014888	PF00001|7 transmembrane receptor (rhodopsin family)
CAH3014889	PF00092|von Willebrand factor type A domain
CAH3014890	PF00027|Cyclic nucleotide-binding domain;PF00069|Protein kinase domain
CAH3014891	PF13621|Cupin-like domain
CAH3014892	PF00014|Kunitz/Bovine pancreatic trypsin inhibitor domain
CAH3014893	PF01593|Flavin containing amine oxidoreductase
CAH3014894	PF01593|Flavin containing amine oxidoreductase
CAH3014895	
CAH3014896	PF03073|TspO/MBR family
CAH3016785	
CAH3016786	
CAH3016787	
CAH3016788	
CAH3016789	
CAH3016790	PF00179|Ubiquitin-conjugating enzyme
CAH3016791	PF00069|Protein kinase domain;PF28331|PCNA-interacting partner N-terminal domain
CAH3016792	PF02746|Mandelate racemase / muconate lactonizing enzyme, N-terminal domain;PF13378|Enolase C-terminal domain-like
CAH3016793	
CAH3016794	
CAH3016796	
CAH3016797	PF01344|Kelch motif;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
CAH3016798	PF00089|Trypsin
CAH3016799	
CAH3016800	PF05183|RNA dependent RNA polymerase
CAH3016801	
CAH3016802	PF05183|RNA dependent RNA polymerase
CAH3016803	
CAH3016804	PF00069|Protein kinase domain
CAH3016805	PF00643|B-box zinc finger;PF01436|NHL repeat;PF13445|RING-type zinc-finger
CAH3017153	PF00397|WW domain
CAH3017154	PF00001|7 transmembrane receptor (rhodopsin family)
CAH3017155	PF16092|Cilia- and flagella-associated protein 61, N-terminal domain;PF23150|CFAP61 dimerisation domain
CAH3017156	
CAH3017157	PF00001|7 transmembrane receptor (rhodopsin family)
CAH3017158	PF00057|Low-density lipoprotein receptor domain class A;PF00058|Low-density lipoprotein receptor repeat class B;PF07645|Calcium-binding EGF domain;PF12662|Complement Clr-like EGF-like;PF14670|Coagulation Factor Xa inhibitory site
CAH3017159	PF00057|Low-density lipoprotein receptor domain class A;PF00058|Low-density lipoprotein receptor repeat class B;PF07645|Calcium-binding EGF domain;PF14670|Coagulation Factor Xa inhibitory site
CAH3017160	PF03266|NTPase
CAH3017161	PF13855|Leucine rich repeat
CAH3017162	PF00001|7 transmembrane receptor (rhodopsin family)
CAH3017164	PF00092|von Willebrand factor type A domain;PF00264|Common central domain of tyrosinase
CAH3017165	PF00001|7 transmembrane receptor (rhodopsin family)
CAH3017167	PF00069|Protein kinase domain
CAH3017168	PF08450|SMP-30/Gluconolactonase/LRE-like region
CAH3017169	
CAH3017170	
CAH3017171	
CAH3017172	
CAH3017173	PF08450|SMP-30/Gluconolactonase/LRE-like region
CAH3017174	
CAH3017583	PF00005|ABC transporter;PF00664|ABC transporter transmembrane region
CAH3017584	
CAH3017585	PF01255|Putative undecaprenyl diphosphate synthase
CAH3017586	PF08241|Methyltransferase domain
