accession	length	ndom_chainsaw	all_pfam	extra_pfam	domain_annotations
A0A010RM53	338	1	PF00264 (Tyrosinase)	—	88-105: Tyrosinase copper-binding
A0A010RV53	488	1	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding
A0A010RYF3	750	3	PF00264 (Tyrosinase)	—	507-524: Tyrosinase copper-binding; 673-684: Tyrosinase copper-binding
A0A024CHU4	438	1	PF00264 (Tyrosinase)	—	303-314: Tyrosinase copper-binding
A0A024CIJ4	389	2	PF00264 (Tyrosinase)	—	254-265: Tyrosinase copper-binding
A0A024CIJ8	265	2	PF00264 (Tyrosinase)	—	46-63: Tyrosinase copper-binding; 193-204: Tyrosinase copper-binding
A0A024SD58	0	3	—	—	—
A0A024TEL4	0	6	—	—	—
A0A024UNS3	0	3	—	—	—
A0A024UP64	0	2	—	—	—
A0A024URD5	0	2	—	—	—
A0A059F260	317	2	PF00264 (Tyrosinase)	—	69-86: Tyrosinase copper-binding; 199-210: Tyrosinase copper-binding
A0A066X3Q1	370	1	PF00264 (Tyrosinase)	—	297-308: Tyrosinase copper-binding
A0A066XSE1	488	1	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding
A0A067BTT5	511	2	PF00264 (Tyrosinase)	—	254-265: Tyrosinase copper-binding
A0A067BUS0	494	2	PF00264 (Tyrosinase)	—	256-267: Tyrosinase copper-binding
A0A067CPX4	464	2	PF00264 (Tyrosinase)	—	67-84: Tyrosinase copper-binding; 236-247: Tyrosinase copper-binding
A0A067CXC8	635	2	PF00264 (Tyrosinase)	—	213-230: Tyrosinase copper-binding; 381-392: Tyrosinase copper-binding
A0A067D814	806	2	PF00264 (Tyrosinase)	—	385-402: Tyrosinase copper-binding; 553-564: Tyrosinase copper-binding
A0A067MC03	361	2	PF00264 (Tyrosinase)	—	277-288: Tyrosinase copper-binding
A0A067N7R8	0	1	—	—	—
A0A067S9C3	369	1	PF00264 (Tyrosinase)	—	104-121: Tyrosinase copper-binding; 283-294: Tyrosinase copper-binding
