accession,new_pool,old_pool,canonical,n_his,core_ok_new,best_ref,best_qtm,n_helix_ok,old_reason,a1_dist,a1_plddt,a1_helical,a1_sat,a2_dist,a2_plddt,a2_helical,a2_sat,a3_dist,a3_plddt,a3_helical,a3_sat,a4_dist,a4_plddt,a4_helical,a4_sat
A0A010Q293,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010Q4B9,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QAA5,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QHN9,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QIY5,discarded,discarded,False,4,False,ref_2Y9W_Abisporus,0.36,3,coreFail+ceFail,2.2,77.0,1,1,4.95,72.0,1,0,2.98,94.2,1,1,2.94,94.4,1,1
A0A010QL93,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QPL7,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QXZ0,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010QYY8,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010R234,discarded,discarded,False,5,False,ref_2Y9W_Abisporus,0.416,2,ceFail+floor67,1.88,64.6,1,0,2.32,41.8,1,0,0.39,79.2,1,1,0.53,86.2,1,1
A0A010R9A2,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RBA2,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RL70,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RM53,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RPY0,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RQ21,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RR72,discarded,discarded,False,3,False,ref_2Y9W_Abisporus,0.416,3,coreFail+ceFail+floor35,0.96,76.8,1,1,0.65,91.9,1,1,1.62,37.3,0,0,0.66,83.8,1,1
A0A010RUM6,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RV53,non-canonical,noncanonical,False,5,True,ref_PmTYR,0.432,4,core+cealign+floor_ok,0.28,98.9,1,1,0.24,98.9,1,1,0.83,98.9,1,1,0.51,98.9,1,1
A0A010RV80,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
A0A010RY59,canonical,canonical,True,6,,,,,canonical_geometry,,,,,,,,,,,,,,,,
