accession,afdb_available,afdb_his_missing,af3_cu_cu,af3_centroid,afdb_centroid,delta_centroid,n_cuA_his,n_cuB_his,afdb_cuA_found,afdb_cuB_found,afdb_cuA_plddt,afdb_cuB_plddt
D7F7N7,True,False,4.38,5.02,62.78,57.76,3,3,3,3,96.0,95.7
A0A0B7AML2,True,False,4.39,5.3,50.56,45.26,3,3,3,3,97.4,92.6
A0AA35WWP0,True,False,3.67,5.18,33.95,28.77,3,3,3,3,84.8,78.2
W6XVD7,True,False,4.27,5.23,29.92,24.68,3,3,3,3,87.8,95.5
A0AAU9XFP2,True,False,3.94,4.99,29.04,24.05,3,3,3,3,88.4,62.8
A0A833RDF0,True,False,4.25,4.77,25.42,20.65,3,3,3,3,90.5,93.3
G7JSE1,True,False,4.02,4.85,16.83,11.98,3,3,3,3,56.0,90.8
A0A395IYP4,True,False,4.56,5.04,16.51,11.47,3,3,3,3,57.4,88.3
A0A8H3HCF2,True,False,4.05,5.1,16.17,11.08,3,3,3,3,96.0,52.2
A0A0D3G0L1,True,False,4.03,4.8,11.96,7.16,3,3,3,3,97.1,72.2
A0AAV0PBZ6,True,False,4.15,4.86,11.84,6.97,3,3,3,3,98.6,77.9
A0A6A6VI08,True,False,4.06,4.62,10.47,5.85,3,3,3,3,57.4,88.4
A0A974NRK7,True,False,4.06,5.15,10.39,5.24,3,3,3,3,98.8,76.3
A0A9W8QX66,True,False,4.2,5.31,10.33,5.02,3,3,3,3,97.0,79.0
A0A225X002,True,False,4.86,6.43,8.62,2.19,3,3,3,3,86.2,76.4
A0A2R5GU51,True,False,4.63,5.6,3.83,-1.76,3,3,3,3,85.3,61.8
A0A6V7TZ71,True,False,4.53,5.65,4.27,-1.38,3,3,3,3,98.1,97.1
A0A0B7AGB0,True,False,4.28,5.45,6.82,1.37,3,3,3,3,98.1,97.1
A0A812JR76,True,False,4.1,5.3,3.93,-1.37,3,3,3,3,96.2,92.3
A0A1Y1ZKF0,True,False,4.14,5.11,6.46,1.35,3,3,3,3,94.0,54.8
A0A4Q4TI57,True,False,4.68,5.67,6.94,1.27,3,3,3,3,87.0,64.5
A0A7C8V1V3,True,False,4.04,5.07,3.81,-1.26,3,3,3,3,98.4,94.2
W2SF58,True,False,4.92,6.18,5.01,-1.17,3,3,3,3,98.7,98.1
A0A7S3XY60,True,False,4.99,5.86,4.72,-1.14,3,3,3,3,94.6,91.5
A0A915K057,True,False,3.72,4.65,5.77,1.11,3,3,3,3,91.9,90.0
A0A0F4H1R9,True,False,3.98,5.1,4.0,-1.1,3,3,3,3,98.3,96.1
A0A6V7V409,True,False,4.54,5.68,4.61,-1.06,3,3,3,3,97.3,96.6
A0A835Z854,True,False,4.12,5.32,4.27,-1.05,3,3,3,3,89.3,89.8
A0AA39Y697,True,False,4.4,5.61,4.55,-1.05,3,3,3,3,97.6,97.2
A0A6V1WW05,True,False,4.49,5.45,4.41,-1.04,3,3,3,3,92.2,90.1
A0A1Y6LHS4,True,False,3.93,5.11,4.08,-1.03,3,3,3,3,98.6,96.3
R0JX03,True,False,4.02,5.16,4.13,-1.02,3,3,3,3,98.8,98.8
A0A485KBW3,True,False,4.29,5.46,4.45,-1.01,3,3,3,3,97.9,96.5
A0A6S7I642,True,False,4.24,5.99,4.99,-1.0,3,3,3,3,95.5,89.4
A0AAD7UE22,True,False,4.73,5.82,4.82,-1.0,3,3,3,3,90.9,88.0
A0A0D3JST8,True,False,3.93,4.89,5.87,0.98,3,3,3,3,56.4,70.3
A0A0G2EWS7,True,False,4.19,4.84,3.86,-0.98,3,3,3,3,98.7,96.9
A0AAE0MDN0,True,False,4.38,5.49,4.51,-0.98,3,3,3,3,98.0,97.7
A0A4T0FPJ8,True,False,3.94,5.22,4.25,-0.97,3,3,3,3,91.9,90.6
A0A833S9Q2,True,False,3.81,5.03,4.05,-0.97,3,3,3,3,98.7,98.0
A0AAN6PSA1,True,False,4.69,5.65,4.67,-0.97,3,3,3,3,80.1,86.9
E3R0G6,True,False,4.32,5.37,4.4,-0.97,3,3,3,3,98.1,97.6
A0A6C0KH90,True,False,4.67,5.6,4.64,-0.96,3,3,3,3,93.8,94.6
A0AA37GSS8,True,False,4.72,5.55,4.59,-0.96,3,3,3,3,89.8,87.4
W9Y3F5,True,False,4.85,5.67,4.71,-0.96,3,3,3,3,98.3,97.9
A0A318KMN6,True,False,4.14,4.86,3.92,-0.95,3,3,3,3,96.4,91.9
A0A5C3KIC4,True,False,4.89,5.93,4.98,-0.95,3,3,3,3,96.3,97.0
A0A8H3E826,True,False,4.79,5.61,4.65,-0.95,3,3,3,3,95.8,95.8
A0AA39ZZ44,True,False,4.6,5.57,4.61,-0.95,3,3,3,3,97.9,96.4
A0A2K5J8G5,True,False,4.58,5.85,4.91,-0.94,3,3,3,3,83.8,95.0
A0A7R9Q0Z3,True,False,4.55,5.4,4.47,-0.93,3,3,3,3,91.7,89.3
A0A0P1B2I3,True,False,3.81,4.95,4.03,-0.92,3,3,3,3,98.5,97.3
A0A137P649,True,False,4.24,5.39,4.47,-0.92,3,3,3,3,98.5,97.4
M3D2V0,True,False,4.23,4.66,3.75,-0.92,3,3,3,3,98.7,96.9
A0A135U630,True,False,4.32,5.73,4.82,-0.91,3,3,3,3,97.6,92.8
A0A137PC55,True,False,4.2,5.32,4.41,-0.91,3,3,3,3,96.7,91.7
A0A136IUL0,True,False,4.47,5.26,4.36,-0.9,3,3,3,3,95.9,85.8
A0A2P5I2V9,True,False,4.56,5.72,4.83,-0.9,3,3,3,3,97.6,97.5
A0A4U7AVN4,True,False,4.09,5.03,4.14,-0.9,3,3,3,3,98.8,98.8
A0A507EZH3,True,False,4.27,5.16,4.26,-0.9,3,3,3,3,87.7,81.9
A0A6A6XS31,True,False,4.31,5.32,4.42,-0.9,3,3,3,3,98.7,98.1
A0AAN6YBV8,True,False,4.38,5.56,4.67,-0.9,3,3,3,3,97.7,97.7
A0AAV9H3R4,True,False,4.22,5.36,4.46,-0.9,3,3,3,3,98.5,97.4
J0WRI2,True,False,4.13,5.2,4.3,-0.9,3,3,3,3,96.8,96.2
A0A0C2GMT1,True,False,4.36,5.38,4.49,-0.89,3,3,3,3,98.6,95.6
A0A1Y2EBR8,True,False,4.43,5.5,4.62,-0.89,3,3,3,3,98.5,98.0
A0A6V7XS50,True,False,4.45,5.56,4.67,-0.89,3,3,3,3,98.3,97.0
A0A2P5WVT9,True,False,4.07,4.93,4.05,-0.88,3,3,3,3,98.4,95.1
A0A6A6ZWM6,True,False,4.43,5.37,4.49,-0.88,3,3,3,3,98.5,97.8
A0A813HFF9,True,False,4.01,4.94,4.07,-0.88,3,3,3,3,85.0,55.7
A0A9P9EE65,True,False,4.39,5.37,4.49,-0.88,3,3,3,3,98.7,97.7
A0A0D2HGH5,True,False,4.99,5.98,5.11,-0.87,3,3,3,3,98.3,98.0
A0A2G5HJW8,True,False,4.25,5.25,4.37,-0.87,3,3,3,3,98.8,98.9
A0A6S7JHK8,True,False,4.59,5.63,4.76,-0.87,3,3,3,3,97.4,92.4
D7FP10,True,False,4.68,5.42,4.55,-0.87,3,3,3,3,94.7,94.3
A0A2R6W5V4,True,False,4.45,5.0,4.14,-0.86,3,3,3,3,97.5,93.6
A0A409W5M2,True,False,4.55,5.6,4.74,-0.86,3,3,3,3,98.2,92.8
A0A6V1RYI1,True,False,4.59,5.65,4.79,-0.86,3,3,3,3,94.4,89.5
A0A7S2BXX5,True,False,4.54,5.54,4.69,-0.86,3,3,3,3,94.5,95.2
A0A9W9WHE0,True,False,4.01,5.57,4.71,-0.86,3,3,3,3,94.4,93.2
A0AAD7U2T2,True,False,4.57,5.56,4.7,-0.86,3,3,3,3,96.0,91.7
A0A024UNS3,True,False,4.12,5.22,4.36,-0.85,3,3,3,3,98.7,97.2
A0A423H6B2,True,False,3.95,4.96,4.11,-0.85,3,3,3,3,98.8,96.6
A0A4P9X7U9,True,False,4.17,5.22,4.37,-0.85,3,3,3,3,97.8,88.1
A0A6A5S8W2,True,False,4.16,5.18,4.33,-0.85,3,3,3,3,98.5,98.4
S3E0P4,True,False,4.35,5.55,4.69,-0.85,3,3,3,3,98.2,97.1
A0A0D2HA46,True,False,4.94,5.99,5.15,-0.84,3,3,3,3,98.0,97.8
A0A179HCZ8,True,False,4.03,5.14,4.3,-0.84,3,3,3,3,98.1,98.2
A0A1S9S186,True,False,3.95,4.9,4.06,-0.84,3,3,3,3,96.4,96.0
A0A4P9XL19,True,False,4.47,5.56,4.72,-0.84,3,3,3,3,98.2,98.4
R7QH23,True,False,4.55,5.5,4.66,-0.84,3,3,3,3,97.1,95.5
A0A397BYR1,True,False,4.68,5.66,4.83,-0.83,3,3,3,3,98.7,97.9
A0AAN7AR61,True,False,4.2,5.36,4.53,-0.83,3,3,3,3,98.0,96.1
A8N4B2,True,False,4.29,5.45,4.62,-0.83,3,3,3,3,94.5,95.3
A0A0A1UJW0,True,False,4.37,5.41,4.6,-0.82,3,3,3,3,96.6,97.6
