accession,pdb_ids,n_pdb
A0A075DN54,4Z0Y;4Z0Z;4Z10;4Z11;4Z12;4Z13;4Z14,7
A0A0K1ZP03,7XIO,1
A0A1S9DK56,6JU4;6JU5;6JU6;6JU7;6JU8;6JU9;6JUA;6JUB;6JUC;6JUD,10
A0A261GRE4,8B74,1
A0A8D3X086,8HPI,1
A0AAJ6N653,8BBQ;8BBR,2
B2ZB02,3NM8;3NPY;3NQ0;3NQ1;3NQ5;3NTM;4D87;4HD4;4HD6;4HD7;4J6T;4J6U;4J6V;4P6R;4P6S;4P6T;5I38;5I3A;5I3B;5OAE;6EI4;6QXD;9H1T;9H29;9H2N;9H2O;9PGZ,27
C0LU17,5CE9,1
C7FF04,2Y9W;2Y9X,2
C7FF05,5M6B,1
G2QLD3,6Z1S,1
P07147,6MP0;6MP1,2
P14679,7RK7,1
P17643,5M8L;5M8M;5M8N;5M8O;5M8P;5M8Q;5M8R;5M8S;5M8T;9EY5;9EY6;9EY7;9EY8,13
P40126,4HX1,1
P43309,6ELS;6ELT;6ELV,3
P43311,2P3X,1
P83040,1LNL,1
Q08303,6HQI;6HQJ,2
Q2T7K1,5ZRD;5ZRE,2
Q2UNF9,4J3P;4J3Q;4J3R;5OR3;5OR4;6GSG,6
Q2UP46,3W6Q;3W6W,2
Q83WS2,1WX2;1WX4;1WX5;1WXC;2AHK;2AHL;2ZMX;2ZMY;2ZMZ;2ZWD;2ZWE;2ZWF;2ZWG;3AWS;3AWT;3AWU;3AWV;3AWW;3AWX;3AWY;3AWZ;3AX0;5Z0D;5Z0E;5Z0F;5Z0G;5Z0H;5Z0I;5Z0J;5Z0K;5Z0L;5Z0M;7CIT;7CIY,34
Q93HL2,6J2U,1
Q9ZP19,1BT1;1BT2;1BT3;1BUG,4
