protein_id	pfam
EXJ53401	
EXJ53402	PF01988|VIT family
EXJ53403	PF04117|Mpv17 / PMP22 family
EXJ53404	
EXJ53405	PF12937|F-box-like
EXJ53407	PF00638|RanBP1 domain
EXJ53408	PF01198|Ribosomal protein L31e
EXJ53409	PF00795|Carbon-nitrogen hydrolase
EXJ53410	
EXJ53411	
EXJ53412	PF00122|P-type ATPase actuator domain;PF00689|Cation transporting ATPase, C-terminus;PF00690|Cation transporter/ATPase, N-terminus;PF08282|haloacid dehalogenase-like hydrolase;PF13246|P-type ATPase, cytoplasmic domain N
EXJ53413	PF01384|Phosphate transporter family
EXJ53414	PF14479|Prion-inhibition and propagation
EXJ53415	PF00069|Protein kinase domain
EXJ53416	PF13857|Ankyrin repeats (many copies)
EXJ60657	PF01151|GNS1/SUR4 family
EXJ60658	PF02769|AIR synthase related protein, C-terminal domain;PF13507|CobB/CobQ-like glutamine amidotransferase domain;PF18072|Formylglycinamide ribonucleotide amidotransferase linker domain;PF18076|Formylglycinamide ribonucleotide amidotransferase N-terminal;PF22689|FGAR-AT PurM_N-like domain
EXJ60659	PF00083|Sugar (and other) transporter
EXJ60660	
EXJ60661	PF00153|Mitochondrial carrier protein
EXJ60662	PF00557|Metallopeptidase family M24;PF08512|Histone chaperone Rttp106-like, middle domain;PF08644|FACT complex subunit (SPT16/CDC68);PF14826|FACT complex subunit SPT16 N-terminal lobe domain;PF21091|FACT complex subunit SPT16, C-terminal domain;PF24824|FACT complex subunit SPT16 PH-like domain
EXJ60663	
EXJ60664	
EXJ60665	
EXJ60666	PF15508|beta subunit of N-acylethanolamine-hydrolyzing acid amidase
EXJ60668	PF01253|Translation initiation factor SUI1;PF25304|eIF2D winged helix domain;PF26292|elF2D, PUA domain
EXJ60669	PF06884|Protein of unknown function (DUF1264)
EXJ60670	PF13561|Enoyl-(Acyl carrier protein) reductase
EXJ60671	
EXJ60672	PF08510|PIG-P
EXJ60673	
EXJ60674	PF04479|RTA1 like protein
EXJ60675	PF01717|Cobalamin-independent synthase, Catalytic domain
EXJ60676	PF01757|Acyltransferase domain
EXJ60677	
EXJ62102	PF00176|SNF2-related domain;PF00271|Helicase conserved C-terminal domain;PF14773|Helicase-associated putative binding domain, C-terminal;PF25806|ERCC6L2-like, ribbon-helix-helix domain
EXJ62103	PF10336|Protein of unknown function (DUF2420)
EXJ62104	PF01773|Na+ dependent nucleoside transporter N-terminus;PF07662|Na+ dependent nucleoside transporter C-terminus;PF07670|Nucleoside recognition
EXJ62105	PF02582|RMND1/Sif2-Sif3/Mrx10, DUF155
EXJ62106	PF11374|Protein of unknown function (DUF3176)
EXJ62107	PF00083|Sugar (and other) transporter
EXJ62108	PF00083|Sugar (and other) transporter
EXJ62109	
EXJ62110	PF04117|Mpv17 / PMP22 family
EXJ62111	PF12937|F-box-like
EXJ62113	PF00638|RanBP1 domain
EXJ62114	PF01198|Ribosomal protein L31e
EXJ62115	PF00795|Carbon-nitrogen hydrolase
EXJ62116	
EXJ62117	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain
EXJ62118	PF00719|Inorganic pyrophosphatase
EXJ62119	PF00928|Adaptor complexes medium subunit family;PF01217|Clathrin adaptor complex small chain
EXJ62120	PF00150|Cellulase (glycosyl hydrolase family 5)
EXJ62121	PF13476|AAA domain;PF13558|SbcC/RAD50-like, Walker B motif
EXJ62122	PF00320|GATA zinc finger;PF08447|PAS fold
EXJ70098	PF14622|Ribonuclease-III-like
EXJ70099	PF00890|FAD binding domain;PF02910|Fumarate reductase flavoprotein C-term
EXJ70100	PF00328|Histidine phosphatase superfamily (branch 2)
EXJ70101	
EXJ70102	
EXJ70103	PF00106|short chain dehydrogenase;PF11754|Velvet factor
EXJ70104	PF03033|Glycosyltransferase family 28 N-terminal domain;PF06722|Erythromycin biosynthesis protein CIII-like, C-terminal domain
EXJ70105	PF01284|Membrane-associating domain
EXJ70106	PF06884|Protein of unknown function (DUF1264)
EXJ70107	PF01253|Translation initiation factor SUI1;PF25304|eIF2D winged helix domain;PF26292|elF2D, PUA domain
EXJ70109	PF15508|beta subunit of N-acylethanolamine-hydrolyzing acid amidase
EXJ70110	
EXJ70111	
EXJ70112	PF00557|Metallopeptidase family M24;PF08512|Histone chaperone Rttp106-like, middle domain;PF08644|FACT complex subunit (SPT16/CDC68);PF14826|FACT complex subunit SPT16 N-terminal lobe domain;PF21091|FACT complex subunit SPT16, C-terminal domain;PF24824|FACT complex subunit SPT16 PH-like domain
EXJ70113	PF00153|Mitochondrial carrier protein
EXJ70114	
