protein_id	pfam
ABL72694	PF07690|Major Facilitator Superfamily
ABL72695	PF00144|Beta-lactamase
ABL72696	PF07171|MlrC C-terminus;PF07364|Metallopeptidase family M81
ABL72697	PF00883|Cytosol aminopeptidase family, catalytic domain
ABL72698	PF05343|M42 glutamyl aminopeptidase
ABL72699	PF04966|Carbohydrate-selective porin, OprB family
ABL72700	PF02423|Ornithine cyclodeaminase/mu-crystallin family
ABL72701	
ABL72702	
ABL72703	PF26676|Domain of unknown function (DUF8225)
ABL72705	PF01037|Lrp/AsnC ligand binding domain;PF13412|Winged helix-turn-helix DNA-binding
ABL72706	PF00440|Bacterial regulatory proteins, tetR family;PF17939|Tetracyclin repressor-like, C-terminal domain
ABL72707	PF04199|Putative cyclase
ABL72708	PF07690|Major Facilitator Superfamily
ABL72709	PF05853|beta-keto acid cleavage enzyme
ABL72710	PF13416|Bacterial extracellular solute-binding protein
ABL72711	PF00528|Binding-protein-dependent transport system inner membrane component
ABL72712	PF00005|ABC transporter;PF08402|TOBE domain
ABL72713	PF00459|Inositol monophosphatase family
ABL72714	PF01380|SIS domain;PF01418|Helix-turn-helix domain, rpiR family
AIB36146	PF03934|Type II secretion system (T2SS), protein K;PF21687|Type II secretion system (T2SS), protein K
AIB36147	PF12693|GspL periplasmic domain
AIB36148	PF04612|Type II secretion system (T2SS), protein M
AIB36149	PF00263|Bacterial type II and III secretion system protein;PF03958|Bacterial type II/III secretion system short domain;PF21305|GspD-like, N0 domain
AIB36150	PF00437|Type II/IV secretion system protein;PF22341|GSPII protein E, N1E domain
AIB36151	PF00482|Type II secretion system (T2SS), protein F;PF28597|Type II secretion system protein F, N-terminal domain
AIB36152	PF12849|PBP superfamily domain
AIB36153	PF05860|TPS secretion domain;PF12545|Filamentous haemagglutinin family outer membrane protein
AIB36154	
AIB36155	PF26676|Domain of unknown function (DUF8225)
AIB36157	PF01037|Lrp/AsnC ligand binding domain;PF13404|AsnC-type helix-turn-helix domain
AIB36158	PF05598|Transposase domain (DUF772)
AIB36159	PF03865|Haemolysin secretion/activation protein ShlB/FhaC/HecB;PF08479|POTRA domain, ShlB-type
AIB36160	PF01618|MotA/TolQ/ExbB proton channel family;PF10102|Domain of unknown function (DUF2341);PF13385|Concanavalin A-like lectin/glucanases superfamily
AIB36161	PF02472|Biopolymer transport protein ExbD/TolR
AIB36162	
AIB36163	PF16930|Putative porin
AIB36164	
AIB36165	PF10722|Putative bacterial sensory transduction regulator
AIB36166	PF00639|PPIC-type PPIASE domain
ASY66257	PF00571|CBS domain;PF01380|SIS domain
ASY66258	PF00483|Nucleotidyl transferase;PF01050|Mannose-6-phosphate isomerase C-terminal
ASY66259	PF00408|Phosphoglucomutase/phosphomannomutase, C-terminal domain;PF02878|Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I;PF02879|Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II;PF02880|Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
ASY66260	
ASY66261	PF05159|Capsule polysaccharide biosynthesis protein;PF13692|Glycosyl transferases group 1
ASY66262	PF05159|Capsule polysaccharide biosynthesis protein
ASY66263	
ASY66264	
ASY66265	
ASY66266	PF26676|Domain of unknown function (DUF8225)
ASY66268	
ASY66269	PF01037|Lrp/AsnC ligand binding domain;PF13404|AsnC-type helix-turn-helix domain
ASY66270	
ASY66271	PF02604|Antitoxin Phd_YefM, type II toxin-antitoxin system
ASY66272	PF01850|PIN domain
ASY66273	
ASY66274	
ASY66275	
ASY66276	
ASY66277	PF14231|GXWXG protein;PF14232|Domain of unknown function (DUF4334)
BCR87532	
BCR87533	
BCR87534	
BCR87535	PF07883|Cupin domain
BCR87536	PF08240|Alcohol dehydrogenase GroES-like domain;PF13602|Zinc-binding dehydrogenase
BCR87537	
BCR87538	
BCR87539	PF20248|Family of unknown function (DUF6603)
BCR87540	PF00501|AMP-binding enzyme;PF00550|Phosphopantetheine attachment site;PF00975|Thioesterase domain
BCR87541	PF01494|FAD binding domain
BCR87543	PF07690|Major Facilitator Superfamily
BCR87544	PF03446|NAD binding domain of 6-phosphogluconate dehydrogenase
BCR87545	PF01593|Flavin containing amine oxidoreductase
BCR87546	PF00106|short chain dehydrogenase
BCR87547	
BCR87548	
BCR87549	
BCR87550	
BCR87551	
BCR87552	
CAC5396268	PF00025|ADP-ribosylation factor family
CAC5396269	PF02798|Glutathione S-transferase, N-terminal domain;PF14497|Glutathione S-transferase, C-terminal domain
CAC5396270	
CAC5396271	PF02798|Glutathione S-transferase, N-terminal domain;PF13843|Transposase IS4
CAC5396272	PF02798|Glutathione S-transferase, N-terminal domain;PF13843|Transposase IS4
CAC5396273	PF07258|COMM domain;PF21672|COMMD2-7/10, HN domain
CAC5396274	PF14497|Glutathione S-transferase, C-terminal domain
CAC5396275	PF14497|Glutathione S-transferase, C-terminal domain
CAC5396276	PF02798|Glutathione S-transferase, N-terminal domain;PF14497|Glutathione S-transferase, C-terminal domain
CAC5396277	
CAC5396278	PF00264|Common central domain of tyrosinase
CAC5396279	
CAC5396280	PF00264|Common central domain of tyrosinase
CAC5396281	PF00264|Common central domain of tyrosinase
CAC5396282	PF00264|Common central domain of tyrosinase
CAC5396283	PF00264|Common central domain of tyrosinase
CAC5396284	PF07004|Sperm-tail PG-rich repeat
CAC5396285	
CAC5396286	PF00041|Fibronectin type III domain;PF07679|Immunoglobulin I-set domain;PF13882|Bravo-like intracellular region;PF13927|Immunoglobulin domain
CAC5396287	PF00041|Fibronectin type III domain;PF07679|Immunoglobulin I-set domain;PF13882|Bravo-like intracellular region;PF13927|Immunoglobulin domain
CAC5396288	PF00041|Fibronectin type III domain;PF07679|Immunoglobulin I-set domain;PF13927|Immunoglobulin domain
CAC5396289	
CAC5396290	
CAC5396291	
CAC5408625	PF03567|Sulfotransferase family
CAC5408626	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408627	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408628	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408629	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408630	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408631	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAC5408632	PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)
CAC5408633	PF14973|TERF1-interacting nuclear factor 2 N-terminus
CAC5408634	
CAC5408636	PF04117|Mpv17 / PMP22 family
CAE7598283	PF00691|OmpA family
CAE7598294	
CAE7598308	PF25295|IFT122, TPR domain
CAE7598313	
CAE7598326	PF12777|Microtubule-binding stalk of dynein motor
CAE7598336	PF10563|Delta carbonic anhydrase
CAE7598351	
CAE7598365	
CAE7598379	
CAE7598391	PF13850|Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
CAE7598418	PF00854|POT family
CAE7598430	
CAE7598440	PF00443|Ubiquitin carboxyl-terminal hydrolase
CAE7598460	
CAE7598470	PF00651|BTB/POZ domain
CAE7598484	PF00651|BTB/POZ domain
CAE7598497	PF01535|PPR repeat;PF13041|PPR repeat family;PF13812|Pentatricopeptide repeat domain
CAE7598512	PF00651|BTB/POZ domain
CAE7598526	
CAE7598539	PF25539|Bacterial/Fungal Bestrophin protein
CAG2102234	PF00005|ABC transporter;PF00664|ABC transporter transmembrane region
CAG2202328	
CAG2202329	
CAG2202330	PF05049|Interferon-inducible GTPase (IIGP)
CAG2202331	PF05049|Interferon-inducible GTPase (IIGP)
CAG2202332	
CAG2202333	
CAG2202334	PF00965|Tissue inhibitor of metalloproteinase
CAG2202335	PF00008|EGF-like domain;PF00084|Sushi repeat (SCR repeat);PF00090|Thrombospondin type 1 domain;PF00439|Bromodomain;PF01607|Chitin binding Peritrophin-A domain;PF12024|Domain of unknown function (DUF3512);PF12661|Human growth factor-like EGF
CAG2202336	PF14973|TERF1-interacting nuclear factor 2 N-terminus
CAG2202337	
CAG2202339	PF04117|Mpv17 / PMP22 family
CAG2202340	
CAG2202341	PF00089|Trypsin;PF00875|DNA photolyase;PF03441|FAD binding domain of DNA photolyase
CAG2228884	PF12796|Ankyrin repeats (3 copies);PF25877|SOWAH N-terminal winged helix-turn-helix domain
CAG2228885	PF13637|Ankyrin repeats (many copies);PF25877|SOWAH N-terminal winged helix-turn-helix domain
CAG2228887	
CAG2228888	
CAG2228889	
CAG2228890	PF00067|Cytochrome P450
CAG2228891	PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)
CAG2228892	PF13472|GDSL-like Lipase/Acylhydrolase family
CAG2228893	
CAG2228894	PF00076|RNA recognition motif
CAG2228896	
CAG2228897	
CAG2228898	
CAG2228899	
CAG2228900	PF00439|Bromodomain;PF12024|Domain of unknown function (DUF3512)
CAG2228901	PF03184|DDE superfamily endonuclease
CAG2228902	PF03567|Sulfotransferase family
CAG2228903	PF00250|Forkhead domain
CAG2228904	PF00051|Kringle domain
CAG2228905	
CAG8276541	PF01992|ATP synthase (C/AC39) subunit
CAG8276589	PF01798|snoRNA binding domain, fibrillarin;PF08156|NOP5NT (NUC127) domain
CAG8276634	PF00083|Sugar (and other) transporter
CAG8276686	PF08450|SMP-30/Gluconolactonase/LRE-like region
CAG8276738	PF00389|D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;PF02826|D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
CAG8276787	PF04909|Amidohydrolase
CAG8276822	PF07690|Major Facilitator Superfamily
CAG8276868	PF03328|HpcH/HpaI aldolase/citrate lyase
CAG8276916	PF00022|Actin
CAG8276963	PF00867|XPG I-region;PF18380|Holliday junction resolvase Gen1 C-terminal domain
CAG8277063	
CAG8277103	PF00378|Enoyl-CoA hydratase/isomerase;PF06792|Uncharacterised protein family (UPF0261) N-terminal domain;PF23189|Uncharacterised protein family (UPF0261) C-terminal domain
CAG8277150	PF09370|Phosphoenolpyruvate hydrolase-like
CAG8277171	
CAG8277221	
CAG8277258	
CAG8277306	PF01145|SPFH domain / Band 7 family
CAG8277348	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF13959|ATP-dependent rRNA helicase SPB4-like, C-terminal extension;PF23681|ATP-dependent rRNA helicase SPB4-like, C-terminal tail
CAG8277395	
CAG8277444	
CAP97781	
CAP97782	PF00389|D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;PF02826|D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
CAP97783	PF06220|U1 zinc finger
CAP97784	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain
CAP97785	PF01302|CAP-Gly domain;PF13516|Leucine Rich repeat
CAP97786	PF12874|Zinc-finger of C2H2 type;PF16835|Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)
CAP97787	PF00069|Protein kinase domain
CAP97788	PF00728|Glycosyl hydrolase family 20, catalytic domain
CAP97790	
CAP97792	PF11711|Inner membrane protein import complex subunit Tim54
CAP97793	PF12569|N-terminal acetyltransferase A, auxiliary subunit;PF13181|Tetratricopeptide repeat
CAP97794	PF09774|Intermembrane space protein MIX23
CAP97795	PF01149|Formamidopyrimidine-DNA glycosylase N-terminal domain;PF06831|Formamidopyrimidine-DNA glycosylase H2TH domain
CAP97797	PF20174|Family of unknown function (DUF6540)
CAP97798	PF10021|Microbial-type PARG, catalytic domain
CAP97799	PF02906|Iron only hydrogenase large subunit, C-terminal domain
CAP97800	PF03604|DNA directed RNA polymerase, 7 kDa subunit
CAP97801	PF00591|Glycosyl transferase family, a/b domain;PF02885|Glycosyl transferase family, helical bundle domain
CAZ85280	
CAZ85281	
CAZ85282	
CAZ85283	PF26676|Domain of unknown function (DUF8225)
CAZ85285	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF04082|Fungal specific transcription factor domain
CAZ85286	
CAZ85287	
CAZ85288	PF00072|Response regulator receiver domain;PF00512|His Kinase A (phospho-acceptor) domain;PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;PF08447|PAS fold
CAZ85289	
CAZ85290	
CAZ85291	PF02656|Domain of unknown function (DUF202)
CAZ85292	PF00728|Glycosyl hydrolase family 20, catalytic domain
CAZ85293	PF05462|Slime mold cyclic AMP receptor
CAZ85294	
CBF79149	PF00891|O-methyltransferase domain;PF08100|O-methyltransferase dimerisation domain
CBF79150	PF01565|FAD binding domain;PF02913|FAD linked oxidases, C-terminal domain
CBF79152	PF00083|Sugar (and other) transporter
CBF79154	PF00067|Cytochrome P450
CBF79156	PF01494|FAD binding domain
CBF79158	PF00903|Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
CBF79160	PF01557|Fumarylacetoacetate (FAA) hydrolase C-terminal
CBF79162	PF00743|Flavin-binding monooxygenase-like
CBF79164	PF03055|Retinal pigment epithelial membrane protein
CBF79166	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF04082|Fungal specific transcription factor domain
CBF79169	PF01042|Endoribonuclease L-PSP
CBF79171	PF00651|BTB/POZ domain
CBF79173	
CBF79175	PF00732|GMC oxidoreductase;PF00890|FAD binding domain;PF05199|GMC oxidoreductase
CBF79176	PF01070|FMN-dependent dehydrogenase
CBF79178	
CBF79180	
CBF79182	
CBF79184	PF01053|Cys/Met metabolism PLP-dependent enzyme
CBF79186	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF04082|Fungal specific transcription factor domain
CEF78448	PF00107|Zinc-binding dehydrogenase;PF08240|Alcohol dehydrogenase GroES-like domain
CEF78449	PF05368|NmrA-like family
CEF78450	PF00657|GDSL-like Lipase/Acylhydrolase
CEF78451	PF28486|AnkG N-terminal domain
CEF78452	PF05426|Alginate lyase
CEF78453	PF05199|GMC oxidoreductase
CEF78454	PF00445|Ribonuclease T2 family;PF01565|FAD binding domain;PF08031|Berberine and berberine like
CEF78455	PF00248|Aldo/keto reductase family
