accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A098SBM4	20	0		0	0	0	0	none
A0A0L0W3I3	20	0		0	0	0	0	none
A0A0L6VMV5	1	0		0	0	0	0	none
A0A212C521	20	0		0	1	0	0	none
A0A284RJ44	20	0		0	1	0	0	none
A0A2B4RIN6	19	0		0	0	0	0	none
A0A2B4RKW6	18	0		0	0	0	0	none
A0A2B4RN75	20	0		0	0	0	0	none
A0A2B4RNC9	15	0		0	0	0	0	none
A0A2B4RPF7	16	0		0	0	0	0	none
A0A2B4RQ59	17	0		0	0	0	0	none
A0A2B4RQQ5	18	0		0	0	0	0	none
A0A2B4SFS2	16	0		0	1	0	0	none
A0A2B4SG55	16	0		0	0	0	0	none
A0A2B4STS7	20	0		0	1	0	0	none
A0A2H3C2Z9	20	0		0	1	0	0	none
A0A2N5SR99	12	0		0	0	0	0	none
A0A2S4VAI6	19	0		0	0	0	0	none
A0A2S4VYL5	20	0		0	0	0	0	none
A0A3M6TCS2	9	0		0	0	1	0	none
A0A3M6U071	20	0		0	0	0	0	none
A0A3M6UE86	8	0		0	0	0	0	none
A0A3M6UM69	20	0		0	0	0	0	none
A0A3M6UR97	3	0		0	0	0	0	none
A0A3M6URF3	3	0		0	0	0	0	none
A0A5B0M872	20	0		0	0	0	0	none
A0A5B0PDE5	20	0		0	0	0	0	none
A0A6S7GH91	8	0		0	0	0	0	none
A0A6S7H2E1	2	0		0	0	0	0	none
A0A6S7H6Z2	2	0		0	0	0	0	none
A0A6S7HJV0	6	0		0	0	0	0	none
A0A6S7IGK9	1	0		0	0	0	0	none
A0A6S7IY75	0	0		0	0	0	0	none
A0A6S7JHU5	1	0		0	0	0	0	none
A0A7D9ED42	1	0		0	0	0	0	none
A0A7D9HKT2	7	0		0	0	1	0	none
A0A7D9IRV5	1	0		0	0	0	0	none
A0A7D9IU48	1	0		0	0	0	0	none
A0A7D9IUI2	1	0		0	0	0	0	none
A0A7D9J4R1	2	0		0	0	0	0	none
A0A7D9J5S3	0	0		0	0	0	0	none
A0A7J7EAG6	20	0		0	0	0	0	none
A0A8J6AKY6	10	0		0	0	0	0	none
A0A9P6NP50	20	0		0	0	0	0	none
A0A9P6NUP1	20	0		0	0	0	0	none
A0A9Q3E4W3	1	0		0	0	0	0	none
A0A9W8YXX2	20	0		0	0	0	0	none
A0A9W9YWR8	20	0		0	0	0	0	none
A0A9W9YWV3	20	0		0	0	0	0	none
A0A9X0CDF4	15	0		0	0	1	0	none
A0AA39JBC8	20	0		0	1	0	0	none
A0AAD9Q3A2	20	0		0	0	0	0	none
A0AAD9QB75	20	0		0	1	0	0	none
A0AAU9WDB8	20	0		0	0	0	0	none
A0AAU9WFJ4	20	0		0	0	0	0	none
A0AAU9WFM1	20	0		0	0	0	0	none
A0AAU9WGN4	20	0		0	0	0	0	none
A0AAU9WHW5	20	0		0	0	1	0	none
A0AAU9WI44	20	0		0	0	0	0	none
A0AAU9WPB8	20	0		0	1	0	0	none
A0AAU9WPJ8	20	0		0	1	0	0	none
A0AAU9Y0L2	18	0		0	0	0	0	none
A0AAV0B387	9	0		0	0	0	0	none
A0ABD3CRY7	20	0		0	0	0	0	none
A0ABN8LKJ6	20	0		0	0	0	0	none
A0ABN8LLM9	11	0		0	0	0	0	none
A0ABN8LP07	20	0		0	0	0	0	none
A0ABN8LPV2	10	0		0	1	0	0	none
A0ABN8LRW2	16	0		0	0	0	0	none
A0ABN8M8J6	13	0		0	0	0	0	none
A0ABN8MSU7	20	0		0	0	0	0	none
A0ABN8MSW1	20	0		0	0	0	0	none
A0ABN8MTH8	20	0		0	0	0	0	none
A0ABN8N3E0	11	0		0	0	0	0	none
A0ABN8NB94	20	0		0	0	0	0	none
A0ABN8NEM0	20	0		0	0	0	0	none
A0ABN8NY44	13	0		0	0	0	0	none
A0ABN8NY53	12	0		0	0	0	0	none
A0ABN8R2Z3	15	0		0	0	0	0	none
A0ABN8RAH9	20	0		0	0	0	0	none
A0ABN8RHG1	20	0		0	0	0	0	none
A0ABN8RK39	6	0		0	0	0	0	none
A0ABN8RM19	6	0		0	0	0	0	none
A0ABN8RND1	20	0		0	0	0	0	none
A0ABN8SN36	3	0		0	0	0	0	none
A0ABN8SRU8	3	0		0	0	0	0	none
A7SSF6	18	0		0	0	0	0	none
E3KSA5	19	0		0	0	0	0	none
F4S769	20	0		0	0	0	0	none
F4S770	20	0		0	0	0	0	none
