product	n_queries	freq_all	freq_with_data	total
monocarboxylate transporter	10	0.070	0.123	10
amino acid permease/ slc12a domain-containing protein	9	0.063	0.111	9
n-acetyl-alpha-d-glucosaminyl l-malate synthase bsha	8	0.056	0.099	8
sugar transferase	8	0.056	0.099	9
vacuolar calcium ion transporter	8	0.056	0.099	13
nad binding domain of 6-phosphogluconate dehydrogenase-domain-containing protein	8	0.056	0.099	8
pectin lyase d	7	0.049	0.086	7
general substrate transporter	7	0.049	0.086	7
major facilitator superfamily domain-containing protein	7	0.049	0.086	7
alpha/beta hydrolase protein	7	0.049	0.086	7
putative amino acid permease	6	0.042	0.074	6
fibronectin type iii domain-containing protein	6	0.042	0.074	6
tonb-dependent receptor	6	0.042	0.074	6
ywtd domain-containing protein	6	0.042	0.074	6
acetyltransferase	6	0.042	0.074	6
cof synthetase	5	0.035	0.062	7
3-hydroxyacyl-coa dehyrogenase	5	0.035	0.062	5
kinesin light chain 3	5	0.035	0.062	5
plasma membrane calcium-transporting atpase	5	0.035	0.062	5
short chain dehydrogenase	5	0.035	0.062	5
alpha methylacyl-coa racemase	5	0.035	0.062	5
ompa family protein	5	0.035	0.062	5
peptidase family m28-domain-containing protein	5	0.035	0.062	5
phenylalanyl-trna synthetase	5	0.035	0.062	5
fungal-specific transcription factor domain-containing protein	5	0.035	0.062	5
heterokaryon incompatibility protein-domain-containing protein	5	0.035	0.062	7
phenylacetate-coa ligase	4	0.028	0.049	5
4fe-4s dicluster domain-containing protein	4	0.028	0.049	4
mfs allantoate transporter	4	0.028	0.049	4
glycosyltransferase family 4 protein	4	0.028	0.049	5
calcium-transporting atpase 2	4	0.028	0.049	4
abc-2 type transporter-domain-containing protein	4	0.028	0.049	4
kinase-like domain-containing protein	4	0.028	0.049	6
integral membrane protein	3	0.021	0.037	3
sugar o-acyltransferase, sialic acid o-acetyltransferase neud family	3	0.021	0.037	5
copper chaperone copz	3	0.021	0.037	3
metal transporter	3	0.021	0.037	3
s-adenosyl-l-methionine-dependent methyltransferase	3	0.021	0.037	3
alpha/beta-hydrolase	3	0.021	0.037	4
purine and uridine phosphorylase	3	0.021	0.037	3
p-loop containing nucleoside triphosphate hydrolase protein	3	0.021	0.037	3
cytochrome p450	3	0.021	0.037	3
heavy-metal-associated domain-containing protein	3	0.021	0.037	3
chalcone synthase b	3	0.021	0.037	3
transferase family-domain-containing protein	3	0.021	0.037	3
glycosyltransferase	3	0.021	0.037	4
atp-grasp domain-containing protein	3	0.021	0.037	3
acetate permease a	3	0.021	0.037	3
putative sterigmatocystin biosynthesis protein stct	3	0.021	0.037	3
tyrosinase ustq	3	0.021	0.037	3
minor extracellular protease vpr	3	0.021	0.037	3
(fe-s)-binding protein	3	0.021	0.037	3
abc transporter atpase	3	0.021	0.037	3
amidase signature domain-containing protein	3	0.021	0.037	3
40s ribosomal protein s2	3	0.021	0.037	3
magnesium transporter nipa-domain-containing protein	3	0.021	0.037	4
terpenoid synthase	3	0.021	0.037	3
fad binding domain protein	2	0.014	0.025	2
sugar transferase involved in lps biosynthesis (colanic, teichoic acid)	2	0.014	0.025	3
beta-glucosidase	2	0.014	0.025	2
outer membrane receptor for ferrienterochelin and colicins	2	0.014	0.025	2
gdp-l-fucose synthase	2	0.014	0.025	2
gdp-mannose 4,6-dehydratase	2	0.014	0.025	2
tpr-like protein	2	0.014	0.025	2
maltose permease	2	0.014	0.025	2
nad(p)-binding protein	2	0.014	0.025	2
