accession	pool	length	ndom_chainsaw	n_pfam_domains	architecture	extra_domains	extra_pfam_ids
A0A010Q293	canonical	343	1	1	Tyrosinase(80-266)	none	none
A0A010Q4B9	canonical	404	1	1	Tyrosinase(111-343)	none	none
A0A010QAA5	canonical	403	2	1	Tyrosinase(109-346)	none	none
A0A010QHN9	canonical	399	1	1	Tyrosinase(113-339)	none	none
A0A010QIY5	discarded	415	3	1	Tyrosinase(53-237)	none	none
A0A010QL93	canonical	324	1	1	Tyrosinase(67-249)	none	none
A0A010QPL7	canonical	361	1	1	Tyrosinase(75-297)	none	none
A0A010QXZ0	canonical	368	1	1	Tyrosinase(65-291)	none	none
A0A010QYY8	canonical	363	1	1	Tyrosinase(77-299)	none	none
A0A010R234	discarded	623	2	2	Tyrosinase(62-311) | Tyrosinase_C(451-578)	none	none
A0A010R9A2	canonical	409	2	1	Tyrosinase(113-349)	none	none
A0A010RBA2	canonical	549	2	1	Tyrosinase(75-314)	none	none
A0A010RL70	canonical	415	1	1	Tyrosinase(118-357)	none	none
A0A010RM53	canonical	338	1	1	Tyrosinase(70-282)	none	none
A0A010RPY0	canonical	383	1	1	Tyrosinase(97-326)	none	none
A0A010RQ21	canonical	392	1	1	Tyrosinase(104-335)	none	none
A0A010RR72	discarded	596	2	2	Tyrosinase(56-324) | Tyrosinase_C(409-548)	none	none
A0A010RUM6	canonical	516	2	1	Tyrosinase(36-324)	none	none
A0A010RV53	noncanonical	488	1	1	Tyrosinase(195-431)	none	none
A0A010RV80	canonical	353	1	1	Tyrosinase(79-273)	none	none
A0A010RY59	canonical	764	3	3	Tyrosinase(73-324) | Tyrosinase_C(465-580) | LSM(647-712)	LSM(647-712)	PF01423
A0A010RYF3	canonical	750	3	1	Tyrosinase(489-693)	none	none
A0A010S1R5	discarded	684	2	2	Tyrosinase(67-337) | Tyrosinase_C(511-637)	none	none
A0A010S6Q2	canonical	380	1	1	Tyrosinase(95-323)	none	none
A0A010SFQ0	canonical	348	1	1	Tyrosinase(74-285)	none	none
A0A010SKU6	canonical	529	2	1	Tyrosinase(42-328)	none	none
A0A010SMB4	canonical	330	1	1	Tyrosinase(65-254)	none	none
A0A010SNL7	canonical	410	2	1	Tyrosinase(111-349)	none	none
A0A014N831	noncanonical	391	1	1	Tyrosinase(131-332)	none	none
A0A014P1F1	canonical	378	2	1	Tyrosinase(98-321)	none	none
A0A014P933	discarded	638	2	2	Tyrosinase(145-386) | Tyrosinase_C(485-611)	none	none
A0A014PGS4	discarded	315	1	1	Tyrosinase(69-263)	none	none
A0A014PNW6	canonical	618	2	2	Tyrosinase(70-363) | Tyrosinase_C(462-586)	none	none
A0A014QX88	canonical	382	1	1	Tyrosinase(106-325)	none	none
