query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A6A3Q4B5	QXGB01003602.1	-1	0	2	173	+	KAE9169895.1	PF005_g27779	hypothetical protein
A0A6A3Q4B5	QXGB01003602.1	0	1	785	2692	+	KAE9169894.1	PF005_g27780	hypothetical protein
A0A6A3Q4B5	QXGB01003602.1	1	0	3115	3998	+	KAE9169893.1	PF005_g27781	hypothetical protein
A0A6A3HLB0	QXGC01003312.1	-1	0	1	972	+	KAE9176694.1	PF004_g25992	hypothetical protein
A0A6A3HLB0	QXGC01003312.1	0	1	1584	3491	+	KAE9176695.1	PF004_g25993	hypothetical protein
A0A6A3HLB0	QXGC01003312.1	1	0	3915	4798	+	KAE9176696.1	PF004_g25994	hypothetical protein
A0A6G0QFF2	QXFY01003439.1	-1	0	71	632	+	KAE9285140.1	PF008_g26988	hypothetical protein
A0A6G0QFF2	QXFY01003439.1	0	1	1244	3151	+	KAE9285141.1	PF008_g26989	hypothetical protein
A0A6G0QFF2	QXFY01003439.1	1	0	3575	4440	+	KAE9285142.1	PF008_g26990	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	-10	0	8470646	8471665	-	KAL0443676.1	Slati_2090300	9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	-9	0	8471776	8472438	-	KAL0443677.1	Slati_2090400	9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	-8	0	8503233	8505341	+	KAL0443678.1	Slati_2090500	Ethylene receptor 1
A0AAW2WSM8	JACGWN010000007.1	-7	0	8513281	8514969	+	KAL0443679.1	Slati_2090600	Polyadenylate-binding protein-interacting protein 9
A0AAW2WSM8	JACGWN010000007.1	-6	0	8519929	8521053	+	KAL0443680.1	Slati_2090700	Exopolygalacturonase
A0AAW2WSM8	JACGWN010000007.1	-5	0	8526128	8527776	+	KAL0443681.1	Slati_2090800	Coiled-coil domain-containing protein SCD2
A0AAW2WSM8	JACGWN010000007.1	-4	0	8539224	8539487	+	KAL0443682.1	Slati_2090900	VQ motif-containing protein 1
A0AAW2WSM8	JACGWN010000007.1	-3	0	8556240	8559571	+	KAL0443683.1	Slati_2091000	E3 ubiquitin-protein ligase GW2
A0AAW2WSM8	JACGWN010000007.1	-2	0	8577013	8578697	+	KAL0443684.1	Slati_2091100	cytochrome
A0AAW2WSM8	JACGWN010000007.1	-1	0	8596557	8598301	+	KAL0443685.1	Slati_2091200	Polyphenol oxidase, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	0	1	8613879	8615605	+	KAL0443686.1	Slati_2091300	Polyphenol oxidase, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	1	0	8646336	8647304	+	KAL0443687.1	Slati_2091400	E3 ubiquitin-protein ligase DA2
A0AAW2WSM8	JACGWN010000007.1	2	0	8659394	8659984	-	KAL0443688.1	Slati_2091500	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	3	0	8660355	8661261	-	KAL0443689.1	Slati_2091600	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	4	0	8661538	8661777	-	KAL0443690.1	Slati_2091700	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	5	0	8662586	8662984	-	KAL0443691.1	Slati_2091800	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	6	0	8674615	8676358	+	KAL0443692.1	Slati_2091900	Polyphenol oxidase II, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	7	0	8686287	8686763	+	KAL0443693.1	Slati_2092000	Catechol oxidase B, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	8	0	8686809	8687828	+	KAL0443694.1	Slati_2092100	Polyphenol oxidase I, chloroplastic
A0AAW2WSM8	JACGWN010000007.1	9	0	8688653	8689363	+	KAL0443695.1	Slati_2092200	hypothetical protein
A0AAW2WSM8	JACGWN010000007.1	10	0	8691575	8691838	+	KAL0443696.1	Slati_2092300	hypothetical protein
